q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13
18;6;18;45;-4;-20;-17;-10
4;17;35;43;-2;-19;-17;-9
28;37;44;45;-14;-18;-2;-17
13;21;42;3;-18;-15;-15;-15
29;21;30;19;-16;-16;-5;-2
24;10;45;27;-20;-7;-2;-9
26;35;47;10;-17;0;-3;-9
5;42;11;11;-5;-10;-20;-11
41;24;5;10;-19;-6;-14;-17
21;15;45;11;-3;-12;-18;-16
11;37;19;37;-17;-11;-12;-7
39;28;5;14;-1;-19;-9;-8
8;6;2;24;-19;-2;-14;-13
26;21;25;5;-4;-8;-11;-10
12;26;14;15;0;-13;-7;-11
33;47;43;28;-11;-17;-4;-6
33;1;19;4;-2;-7;-13;-6
3;11;39;37;-18;-5;-9;-18
49;8;13;34;-7;-3;-9;-16
33;47;9;44;-2;-9;0;-3
9;41;33;30;-6;-1;-3;-17
47;47;45;6;-15;-1;-14;-16
37;8;5;33;-7;0;-13;-8
23;22;5;38;-3;-7;-16;-12
37;26;5;33;-11;-4;-7;-19
13;34;42;40;-3;-4;-20;-7
35;13;37;38;-16;-19;-20;-13
36;22;27;38;-16;-12;0;-10
15;12;12;47;-9;-3;-9;-20
43;40;12;18;-6;-9;-10;-14
41;18;31;11;-4;-13;-14;-19
4;7;12;9;-16;0;-5;-6
1;27;13;32;-17;-9;-14;-7
45;21;0;22;-1;-8;-17;-20
46;24;15;20;-9;-4;-9;-16
17;28;45;36;-20;-20;-2;-11
43;27;10;48;-10;-16;-20;-6
32;30;35;11;-18;-15;-12;-8
2;20;5;15;-5;0;-17;0
7;32;45;7;-12;-17;-8;-1
30;30;43;45;-5;0;0;-7
9;7;11;26;-12;-11;-12;-20
10;15;0;44;-12;-13;-17;-16
47;38;48;8;-2;-17;-6;-4
35;35;45;30;-9;-19;-3;-15
5;9;28;13;-15;-20;-18;0
2;21;27;45;-2;-4;-18;-8
8;36;27;41;-13;-2;-6;-8
3;7;48;35;-1;-12;-14;-16
35;10;15;18;-19;-11;-17;-12
2;36;49;1;-4;-16;-11;-14
12;49;23;10;-6;-11;-19;-3
16;5;23;15;-1;-5;-12;-13
5;36;9;38;-4;-8;-6;-19
3;17;34;10;-7;-3;-15;-12
30;38;29;36;-16;-13;-9;-10
23;45;13;42;-6;-3;-13;-8
37;36;12;41;-17;-20;-20;-9
13;33;31;46;-7;-19;0;-19
10;26;35;18;-6;-2;-12;-16
46;21;42;18;-6;-9;-4;-16
24;8;7;11;-5;-13;-8;-8
28;4;21;2;-13;-12;-19;-14
37;27;36;1;-14;-12;-12;-2
45;7;41;7;-17;-4;-14;-14
33;2;28;43;-1;-5;-8;-6
9;12;26;7;-14;-2;-14;-10
40;26;1;6;0;-3;-1;-10
37;6;31;34;-13;-17;-12;0
37;19;6;25;-11;-16;-1;-13
39;41;36;46;-12;-6;-18;-6
42;38;20;14;-17;-8;-9;-17
40;10;4;3;-1;-6;-7;-14
2;4;9;39;-6;-8;-17;-3
17;11;44;5;-2;-9;-18;-2
22;42;25;27;-13;-20;-5;-8
18;30;36;31;-4;-6;-6;0
49;48;0;34;-12;-7;-9;-13
35;18;47;20;0;-20;-12;-17
18;47;24;4;-1;-5;-2;-15
34;35;42;49;-18;-7;-2;-14
30;36;38;4;-3;-1;-9;-8
30;47;29;29;-2;0;-4;-10
46;9;2;18;-4;-9;-12;-1
42;39;21;20;-11;-3;-17;-15
22;25;6;3;-16;-11;-9;-7
34;49;29;15;-14;-2;-19;-1
14;8;23;23;-14;-3;-13;-1
49;13;5;12;-1;-17;-16;-10
17;13;12;35;-6;-11;-6;-1
35;35;36;42;-10;-4;0;-9
39;7;12;14;-19;-2;-7;-20
5;48;18;49;-18;-10;-20;-10
47;7;28;1;0;-9;-2;-19
20;6;13;6;-3;-6;-11;-9
5;44;17;6;-12;-17;-18;-2
48;2;9;36;-15;-20;-16;-5
24;17;17;1;-1;-3;-7;-1
15;2;45;12;-18;-13;-15;-19
19;6;39;26;-19;-6;-13;-4
22;7;6;9;-2;-13;-4;-5
20;31;32;28;-20;-14;-18;-1
28;46;25;26;-3;-13;-18;-10
36;25;2;0;-12;-17;-18;-19
46;36;29;2;-12;-16;-15;-8
26;49;35;10;-18;-10;0;-5
7;29;43;25;-6;-14;-1;-6
13;46;42;49;-8;-7;-15;-4
46;40;39;47;-10;-16;-16;-5
32;24;2;30;-16;-3;-12;-14
20;46;9;3;-15;-15;-8;-18
39;35;20;36;-2;-8;-14;-3
25;21;14;1;-20;-1;-17;-19
35;35;32;18;-15;-6;-18;-17
48;24;5;29;-14;-1;-7;-15
6;5;49;29;-15;-11;-3;-6
21;6;28;38;-20;-17;-17;-15
16;43;12;5;-1;-16;-20;-10
47;19;11;16;-4;-18;-4;-3
12;13;33;2;-6;-12;-12;-9
20;31;46;35;-17;-15;-12;-2
47;5;45;6;-1;-6;-16;-4
46;47;3;33;-15;-4;-19;-16
45;32;22;6;-5;-11;-17;-11
11;33;40;14;-17;-7;-17;-19
9;15;34;32;-5;-11;-3;-11
30;24;44;20;-13;-9;-11;-2
25;28;20;33;-8;-20;0;-2
18;21;14;47;-16;-17;0;-13
1;11;2;41;-5;-7;-20;-6
44;27;17;7;-13;-13;-20;-19
43;6;38;6;-9;-17;-5;-20
26;19;17;49;-17;-9;-13;-20
37;0;35;21;-17;-5;0;0
21;17;22;21;-19;-7;-12;-10
23;42;16;43;-10;-4;-12;-15
14;13;21;46;-3;-14;-9;-18
10;38;7;47;-10;-18;-4;-1
40;15;30;13;-11;-15;-3;-17
42;40;34;39;-5;-2;-6;-10
29;6;9;24;-5;0;-19;-1
37;14;35;6;-16;-14;-5;-1
11;5;49;18;-14;-2;-13;-10
7;5;17;27;-18;-1;-4;-4
32;30;19;27;-10;-4;-3;-20
8;7;27;24;-17;-8;-12;-3
23;20;21;42;-16;-5;-15;-16
22;23;42;49;-11;-5;-12;-4
3;49;20;30;-15;-12;-6;-13
6;11;6;1;-16;-11;-11;-10
2;8;7;19;-11;-15;-6;-4
7;28;13;16;-8;-7;-10;-11
9;5;5;43;-18;-13;-3;-14
16;30;8;48;-12;-16;-20;-12
4;27;39;35;-19;-2;-8;-6
0;8;18;25;-12;-10;0;-3
4;39;46;21;-18;-6;-17;-10
4;12;29;14;-18;-12;-20;-6
1;26;26;27;-6;-1;-7;-2
48;5;3;20;-3;-15;-7;-3
2;1;27;7;-13;-11;-20;-16
13;30;9;48;-6;-18;-15;-14
27;11;27;1;-18;-10;-15;-5
40;42;41;27;-9;-3;-4;-11
10;39;32;12;-1;-19;-17;-3
17;21;2;20;-2;-12;-4;-6
13;17;5;34;-16;-18;-2;0
34;16;5;24;-8;-11;-3;-3
44;4;10;22;-12;-2;-4;0
28;27;32;17;-8;-14;-12;-15
24;32;28;35;-17;-5;-3;-13
11;27;39;37;-9;-5;-11;-3
2;43;35;14;-6;-4;-9;-13
24;5;47;18;-7;-10;-15;-6
36;7;38;30;-4;-14;-4;-4
47;39;34;41;-7;-9;-5;-15
11;11;39;38;-13;-9;-2;-10
26;29;27;3;-3;-2;-19;-7
17;31;24;0;-4;-16;-4;-2
33;28;23;37;-8;-18;-18;-5
15;30;15;7;-16;-4;-20;-13
29;5;3;6;-20;-1;-20;-13
40;38;9;19;-9;-15;-5;-20
26;6;5;23;-18;-6;-17;-16
25;40;17;21;-10;-17;-6;-3
26;28;31;28;-1;-10;-13;-18
14;25;0;38;-7;-4;-20;-17
0;9;9;41;-17;-4;-18;-16
36;45;14;39;-6;-3;-5;-11
35;34;8;23;-18;-16;-13;-11
23;10;48;9;-7;-19;0;-20
22;12;41;48;-12;-7;-20;-19
41;40;8;47;-11;-12;0;-8
19;7;26;10;-14;-19;-13;-17
32;4;33;26;-4;-20;-15;-11
46;24;27;28;-9;-6;-14;-9
43;33;30;39;-10;-10;-7;-3
47;40;21;41;-20;-1;-10;-8
17;14;33;21;-15;-16;-9;-5
35;26;42;14;-3;-5;-18;-6
7;3;13;20;-8;-6;-5;-17
17;31;3;27;-18;-2;-8;-3
43;26;24;13;-17;-13;-2;-15
1;40;36;29;-11;-6;-7;-15
1;9;48;15;-9;-19;-18;-4
16;4;40;10;-16;-18;-20;-9
32;16;10;15;-8;-11;-12;-10
42;8;18;6;-15;-13;-10;-19
27;34;19;33;-19;-18;-13;-9
22;35;20;7;-20;-19;-3;-12
23;23;41;8;-18;-7;-13;-20
6;7;10;40;-17;-17;-15;-2
14;41;23;18;-9;-13;-7;-4
6;10;39;39;-3;-13;-1;-19
17;18;43;30;-8;-9;-4;-11
44;30;3;49;-7;-14;-8;-10
36;14;19;45;-4;-15;-14;-9
1;45;41;44;-9;-5;-18;-10
18;22;38;26;-19;-5;-20;-4
3;5;6;33;-20;-2;-9;-11
3;45;24;4;-20;-11;-9;-17
33;27;13;30;-3;-8;-9;-7
48;5;25;19;0;-18;-2;-18
15;0;11;26;-3;-6;-16;-8
19;26;27;15;-11;-16;-2;-6
7;38;26;12;-14;-11;-19;-6
32;16;49;14;-14;-7;-5;-4
12;21;0;3;-19;-15;-3;-1
13;21;48;29;-7;-10;-1;-8
4;27;6;47;-14;-11;-20;-14
9;41;0;33;-10;-2;0;-16
9;5;17;31;-4;-12;-7;-7
4;8;48;12;-5;-6;-20;-3
35;5;46;19;-5;-17;0;-17
21;37;33;21;-20;-10;-10;-9
29;49;5;30;-18;-19;-10;-12
46;39;1;30;-12;-18;-13;-2
17;3;32;43;-3;-3;-3;-2
31;3;43;27;-10;-10;-1;-3
47;27;4;18;-4;-1;-11;-15
16;5;29;14;-2;-3;-6;-9
41;36;8;47;-1;-15;-16;-3
43;14;22;19;-10;-20;-13;-10
40;38;28;40;-18;-16;-11;-1
0;43;0;35;-18;-11;-9;-11
37;36;41;16;-11;-5;-9;-18
0;5;19;47;-15;-19;-14;-15
26;8;49;35;-17;-13;-18;-18
4;28;24;22;-17;0;-6;-1
27;45;10;27;-4;0;-6;-2
3;20;35;15;-19;-11;-6;-4
33;35;22;22;-7;-9;-6;-20
48;36;27;16;-16;0;-1;-12
28;34;42;46;-3;-1;-11;-8
17;9;46;47;-7;-19;-19;-10
13;31;27;15;-6;-18;0;-11
45;4;44;15;-14;-4;-20;-5
10;47;36;42;-19;-10;-6;-3
44;40;39;24;-17;-3;-5;-14
4;32;44;46;-7;-8;-9;-18
34;13;27;21;0;-13;-10;-6
47;27;4;44;-6;-8;-2;-4
12;40;39;29;-8;-18;-14;-12
33;15;4;26;-12;0;-18;-6
20;38;12;13;-12;-12;-19;-2
35;4;34;13;-15;-10;-1;-2
11;10;16;19;-14;-18;-3;-12
16;45;7;21;-8;-12;-19;-4
5;24;40;4;-14;-6;-20;-1
7;46;49;36;-9;-17;-10;-10
25;39;27;24;-6;-12;-6;-18
6;30;2;35;-4;-14;-17;-5
0;31;18;45;-11;-2;-15;-17
39;35;9;45;-12;-14;-3;-2
38;14;42;8;-2;-18;-16;-2
41;0;44;43;-7;-3;-13;-4
30;43;27;28;-7;-11;-13;-2
4;28;8;40;-8;-12;-14;-15
24;33;21;26;-2;-18;-5;-16
1;19;4;18;-17;-16;-10;-3
24;14;6;14;-17;-13;-11;-5
36;8;2;17;-20;-8;-9;-16
42;34;24;40;-15;-2;-11;-19
21;3;20;42;-2;-15;-7;-19
19;4;49;13;-5;-1;-20;-19
44;1;27;46;-19;-4;-2;-3
9;15;12;13;-4;-5;-14;-1
32;9;13;34;-7;-9;0;-10
39;6;9;44;-2;-4;-17;-13
26;14;12;15;-9;-11;-14;-14
45;28;33;2;-14;-9;-20;-20
16;18;3;19;-3;-17;-9;-14
34;40;4;21;-20;-11;-4;-1
3;46;28;27;-18;-14;-12;-6
3;13;22;44;-1;-10;-9;-6
23;43;23;25;-7;-4;-3;-18
3;31;5;11;-3;-12;-19;-16
14;44;26;34;-15;-12;-7;-7
49;25;28;48;-4;-3;-1;-9
48;6;31;6;-13;-5;-19;-4
34;1;0;39;-18;-7;-14;-8
2;1;44;17;-14;0;-9;-10
44;34;3;48;-19;-13;-7;-11
39;49;11;23;-9;-5;-9;-10
34;4;45;30;-8;-16;-12;-10
7;12;0;1;-14;-20;-16;-11
32;39;0;18;-20;-11;-7;-10
27;44;39;14;-5;-6;-6;-6
29;2;32;27;-7;-11;-17;-17
7;22;8;13;-10;-17;-16;-16
48;12;15;44;-2;-20;-14;-2
23;13;34;44;-14;-11;-16;-7
3;23;18;40;-19;-9;-9;-20
29;1;48;7;-19;-9;-9;-2
3;40;36;8;-3;-17;-14;-17
25;7;19;20;-11;-1;-3;-8
41;31;46;32;-1;-12;-18;-8
35;26;3;22;-12;-7;-3;-11
46;39;18;6;-1;-7;-1;-10
41;41;25;22;-3;-8;-7;-20
15;44;18;49;-3;0;-8;-12
11;40;31;13;0;0;-8;-10
21;17;25;10;-15;-10;-9;-10
9;16;40;38;0;0;-17;-1
42;2;25;3;-20;-1;-16;-17
29;48;29;19;-20;0;-9;-12
10;37;5;17;-17;-14;-2;-9
5;2;6;12;0;-12;-2;0
29;45;20;44;-7;-18;-7;-13
27;27;6;7;-3;-19;-13;-11
0;12;20;1;-15;-16;-8;-2
16;23;27;15;-7;-15;-16;-11
30;46;29;43;-2;-13;-17;-8
5;21;13;32;-14;-4;-14;-7
33;32;14;42;-16;-11;-7;-6
20;28;31;38;-3;-14;-20;-16
28;36;46;43;-11;-2;-3;-12
0;45;12;7;-4;-5;-3;-7
29;14;16;44;-11;-15;-20;-12
3;32;12;37;-10;-18;-1;-8
45;22;6;26;-3;-5;-3;-14
11;18;14;6;-7;0;-6;-5
35;8;19;36;-18;-17;-4;-11
17;42;1;27;-16;-13;-2;-18
18;8;24;16;-20;-6;-6;-3
5;36;22;15;-17;-8;-11;-6
49;36;9;12;-15;-16;-14;-9
24;43;13;22;-11;-7;-3;-18
33;31;38;16;-15;-2;-15;-10
5;44;38;41;-2;-15;-18;-8
19;12;36;34;-19;-13;-10;-10
14;10;0;47;-1;-4;-7;-7
17;4;33;3;-18;-8;-11;-1
9;37;10;48;-2;0;-17;-6
16;2;7;7;-17;-7;-14;-16
9;35;34;27;-15;-13;-10;-1
31;46;19;49;-17;-12;-10;-13
10;4;30;12;-11;-15;-11;-2
3;32;3;28;-12;-17;-17;-18
37;36;49;13;-18;-4;0;-19
4;6;38;31;-3;-2;-18;-10
49;23;22;6;-16;-15;-12;-15
12;42;21;14;0;-12;0;-7
34;26;25;29;-20;-12;-17;-6
0;26;19;6;0;-11;-15;-2
49;20;40;21;-8;-1;-8;-11
24;12;31;9;-19;-5;-6;-15
31;44;32;13;-13;-11;-5;-17
5;24;29;36;-2;-17;-15;-7
46;17;3;14;-4;-11;-19;-7
28;17;7;29;-20;-10;-17;-8
38;27;15;4;-6;-19;-5;-20
37;29;12;35;-4;-19;-8;-14
1;36;33;27;-18;-20;-5;-7
12;49;16;34;-6;-20;-20;-8
31;30;2;28;-1;-6;-16;-14
6;47;42;49;-14;-20;-6;-9
13;28;44;9;-5;0;0;-8
28;25;19;7;-20;-19;-18;-18
16;28;7;40;-14;-6;-12;-20
46;48;36;8;-17;-5;-19;-2
34;2;10;46;-7;-17;-19;-4
44;47;11;34;-8;-9;-16;-3
31;48;37;31;-18;-19;-7;-1
45;22;17;2;-10;-9;-4;-6
9;0;32;14;-16;-8;-5;-12
31;15;14;8;-8;-11;0;-19
44;9;33;31;-12;-19;-20;-4
49;32;20;41;-14;-2;-15;-7
28;20;42;37;-17;-4;-1;0
18;31;15;0;-1;-6;-7;-18
33;47;29;40;-3;-16;-5;-1
35;6;13;48;-16;-15;-20;-4
32;34;29;28;-9;-14;-14;0
0;2;13;41;-14;-11;-8;-8
12;1;31;10;-2;-2;-6;-9
41;46;37;14;-15;-7;-11;-4
49;15;12;40;-20;-6;-20;-18
20;30;25;38;-1;-7;-4;-18
3;0;46;43;-10;-2;-7;-11
42;30;17;35;-4;-19;-2;-8
46;31;10;22;-6;-1;-9;-7
25;1;11;24;-7;-3;-3;-19
4;8;15;33;-17;-4;-10;-2
5;48;30;30;-5;-19;-9;-13
11;12;20;18;-18;-4;-19;-17
48;28;38;2;0;-8;-2;-12
29;38;2;17;-17;-3;-19;-13
6;24;43;25;-4;-18;-9;-8
10;17;47;27;-12;-17;-16;-20
0;2;25;44;-9;-6;-6;-16
3;7;29;19;-16;-1;-18;-15
23;0;1;5;-14;-8;-8;-2
19;38;43;16;-4;-9;-2;-9
28;18;7;16;-5;-8;-17;-12
49;1;48;23;-13;-13;-17;-4
23;16;42;3;-17;-10;-19;-12
36;43;31;1;-16;-10;-12;-9
49;21;18;38;-8;-12;-13;-19
4;6;13;9;-14;-5;-11;-3
30;6;42;44;-10;-9;-20;-4
34;0;42;12;-9;-17;-11;-11
17;31;13;47;-20;-16;-5;-8
38;33;45;13;-7;-4;-2;-3
3;36;32;29;-4;-10;-8;-5
1;18;10;49;-3;-10;-3;-19
20;44;48;29;-5;-19;-2;-12
44;21;15;22;-10;-13;-12;-1
38;18;6;21;-14;-2;-2;-12
19;28;24;14;-20;0;-19;-10
23;36;25;15;-19;-6;-19;-6
44;21;40;46;-11;-11;-13;-17
20;20;26;48;0;-1;-7;-4
21;35;35;25;-19;-13;-3;-12
13;32;1;36;-3;-1;-3;-7
9;37;39;49;-20;-6;0;-17
28;33;5;7;-6;-16;-4;-18
48;26;22;13;-12;-19;-20;-12
27;18;29;8;-11;-2;-2;-3
34;5;26;49;-17;-11;-16;-6
41;40;8;41;-4;-12;-14;-2
11;25;16;19;-13;-16;-19;-16
33;49;47;18;-15;-14;-5;-8
45;45;5;0;-20;-6;-4;-6
21;6;37;35;-1;-16;0;-7
26;38;39;7;-8;-6;-5;-15
28;44;15;31;-1;-15;-9;-19
7;38;6;19;-15;-11;0;-13
24;1;27;23;-11;-10;-4;-9
43;41;2;8;-5;-19;-3;-6
14;34;20;26;-3;-7;-1;-9
28;26;30;0;-6;-15;-9;-16
13;45;30;7;0;0;-20;-16
13;10;9;26;-2;-13;-7;-9
36;27;25;29;-1;-4;-7;0
4;32;49;40;-10;0;-4;-6
41;46;11;21;-9;-6;-1;-11
6;39;28;37;0;0;-18;-18
15;10;49;0;-1;-20;-16;-13
48;23;49;16;-17;-14;-3;-11
35;8;38;29;-4;-17;-16;-4
45;28;42;2;-12;-13;-9;-7
41;25;47;26;-15;-10;-3;-3
0;33;29;35;-12;-4;-19;-2
42;49;39;16;-8;-16;0;-10
25;32;13;34;-4;-18;-20;-17
8;48;46;0;-2;-3;-11;-9
28;19;40;39;0;-8;-6;-15
13;2;18;47;-13;-14;-7;-3
36;18;2;42;-5;0;-3;-13
43;38;21;8;-4;-16;-12;-16
2;19;30;37;-4;-4;-13;-2
30;45;20;41;-19;-3;-15;-18
44;22;21;24;-18;-16;-7;-20
37;23;29;41;-8;0;-13;-5
26;49;12;36;-14;-3;-20;-11
37;32;13;41;-3;-17;-11;-8
14;18;15;49;-18;-2;-16;-5
24;48;41;18;-11;-19;-14;-16
31;30;34;27;-14;-10;-6;-1
12;49;48;27;-11;-15;-7;-4
7;21;39;23;-5;-6;-10;-11
26;7;19;24;-10;-4;-2;-1
4;33;33;38;-5;-12;-9;-6
27;4;25;19;-7;-4;-5;-19
46;43;28;47;-1;-11;-18;-17
25;17;39;33;-12;-4;-18;-2
49;30;37;0;0;-8;-1;-5
48;3;2;40;-8;-3;-2;-18
28;1;4;26;-5;-17;-5;-13
29;5;20;31;-15;-2;-8;-6
24;24;34;3;-7;-5;-17;-14
22;17;3;30;-14;-4;0;0
11;21;7;27;-14;-6;-16;-5
21;48;36;38;-7;-3;-13;-12
42;30;42;12;-15;-2;-6;-4
48;5;15;31;-2;0;-2;-9
41;47;42;40;-13;-20;0;-7
37;42;10;25;-12;-13;-15;-10
8;14;15;12;-9;-5;-16;-17
39;27;43;3;-9;-19;-15;-16
20;13;11;34;-16;-6;0;-20
19;16;34;22;-12;-1;-2;-3
46;20;33;37;-15;-1;-18;-14
17;6;14;2;-5;-16;-10;-5
45;30;23;42;-20;-7;0;-3
21;43;48;3;-13;0;-10;-12
13;34;15;35;-11;-3;-2;-15
48;2;4;21;-12;-7;-9;-13
22;16;0;26;-13;-10;-15;-12
18;28;41;10;-14;-12;-4;-2
16;18;9;48;-19;-13;-4;-20
41;17;29;19;-8;-1;-11;-15
36;39;18;49;-2;-13;-3;-9
8;18;14;19;-12;-9;0;-13
8;16;41;30;-11;-14;-20;-3
1;0;23;6;-6;-20;-8;-2
12;12;42;33;-5;-2;-12;-19
14;29;10;34;-7;-5;-17;-16
13;43;34;43;-19;0;-5;-8
14;14;29;3;0;-18;-7;-2
43;35;0;15;-1;-18;-4;-16
41;6;37;27;-6;-9;-17;-18
21;48;8;46;-1;-20;-3;-9
42;7;29;39;-8;-2;-8;-8
36;4;31;15;-4;-1;-16;-12
25;20;18;29;-14;-10;-10;-6
4;1;35;17;-13;-5;-11;-8
19;34;2;49;-3;-7;-9;-5
14;8;44;1;-8;-19;-7;-9
37;18;22;12;-9;-19;0;-5
24;17;24;22;-2;-5;-16;-9
22;23;33;42;-4;0;-10;-8
27;43;45;35;-15;-6;-19;-1
18;6;18;6;-12;-4;-6;-3
16;46;39;31;-2;-1;-8;-8
6;10;22;11;-10;-13;-12;-18
36;32;30;39;-17;-7;-11;-1
17;16;42;34;-10;-3;-6;-6
6;27;0;32;-6;0;-12;-10
47;40;45;31;-5;-11;-6;-2
48;20;48;7;-14;-16;-2;-8
31;14;45;28;-20;-4;-17;-18
8;7;1;22;-19;-12;-3;-13
46;7;38;11;-15;-4;-9;-15
48;12;32;46;-18;-6;-2;-17
10;19;1;34;0;-7;-7;-16
5;17;25;27;-14;-13;-4;-5
39;39;45;14;-12;-17;-3;-13
17;33;17;29;-1;-6;0;-10
31;49;29;39;-4;-19;-10;-12
31;17;34;42;-7;-19;-2;-4
26;1;4;43;-6;-13;-6;-8
36;28;17;43;-6;-9;-10;-3
41;40;7;17;-17;-9;-16;-14
39;7;24;15;-7;-7;-9;-4
3;29;1;5;-12;0;-1;-1
32;38;26;38;-15;-15;-14;-8
46;19;40;29;-17;-2;-2;-20
40;49;32;34;-5;-19;-18;-11
24;0;44;48;-8;-13;-1;-1
34;40;0;10;-20;-9;-11;-19
26;32;15;10;-20;-4;-10;-19
6;45;37;17;0;0;-15;-14
31;11;9;1;-17;-16;-1;-10
18;5;14;30;-6;-3;-9;-10
37;0;7;27;0;-11;-10;-6
49;3;38;31;-6;-14;-1;-10
3;41;16;32;-13;-5;-7;-14
38;6;23;43;-18;-2;-16;-15
26;17;3;6;-5;-18;-15;-13
41;29;43;18;-9;-14;-15;-8
21;1;45;13;-1;-12;-20;-3
28;8;24;39;-1;-5;-14;-7
8;32;34;10;-8;-18;-5;-19
29;17;17;46;0;-5;-13;-9
7;44;32;18;-6;-12;-20;-16
46;40;42;10;-12;-12;-17;-13
34;5;1;36;-11;-20;-9;-5
23;32;45;19;-16;-9;-15;-1
37;24;16;32;-4;-13;-11;-17
39;48;15;9;-18;-9;0;-15
26;33;10;26;-9;-14;-12;-7
25;35;4;7;-3;-4;-10;-20
0;30;19;2;-1;-4;-19;-10
42;44;44;26;-12;-5;-5;-2
9;44;17;42;-14;-11;-3;-2
5;13;38;30;-20;-18;-9;-18
19;39;41;1;-7;-9;-3;-6
25;35;20;5;-15;-3;-17;-17
30;6;4;38;-6;-3;-20;-11
44;27;44;32;-18;-2;-17;0
36;12;7;42;-9;-15;-3;-16
1;28;3;12;0;-7;-1;-12
20;25;25;12;-13;-8;-6;-13
17;10;29;24;-17;-9;-12;-12
45;3;24;28;-11;-17;-15;-20
30;34;9;44;-7;-13;-1;-4
14;34;4;5;-8;-1;-14;-1
25;2;45;43;-18;-13;-13;-3
43;12;42;24;-17;-17;-7;-14
34;47;35;41;-5;-5;-6;-6
49;26;45;43;-2;-19;0;-19
28;4;40;7;-12;-1;0;-17
8;16;33;45;-13;-4;-3;-2
28;18;42;32;-16;-20;-18;-17
3;13;18;14;-20;-7;-4;-11
