q0p0;q0p1;q0p2;q1p0;q1p1;q1p2;s[0, 3];s[0, 4];s[0, 5];s[1, 3];s[1, 4];s[1, 5];s[2, 3];s[2, 4];s[2, 5];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8
47;39;2;47;17;8;93;48;52;72;41;39;42;17;7;7;17;39;41;42;48;52;72;93
11;41;16;30;33;29;33;37;23;52;57;62;35;43;38;23;33;35;37;38;43;52;57;62
14;40;43;20;22;8;22;27;19;52;60;32;53;47;38;19;22;27;32;38;47;52;53;60
24;37;39;12;15;27;19;31;47;40;33;63;39;46;50;19;31;33;39;40;46;47;50;63
37;30;21;27;45;19;58;69;51;55;55;34;37;50;36;34;36;37;50;51;55;55;58;69
41;16;31;43;49;35;82;72;75;41;65;45;74;69;59;41;45;59;65;69;72;74;75;82
25;10;7;2;41;38;11;62;56;5;48;29;-11;31;28;-11;5;11;28;29;31;48;56;62
12;7;26;20;42;13;16;49;15;23;44;18;42;50;22;15;16;18;22;23;42;44;49;50
35;23;34;19;0;20;42;31;44;25;22;32;44;32;44;22;25;31;32;32;42;44;44;44
23;35;27;24;10;22;29;23;38;47;40;55;47;19;44;19;23;29;38;40;44;47;47;55
4;21;17;22;20;21;8;21;13;39;27;33;23;25;30;8;13;21;23;25;27;30;33;39
48;5;18;7;17;43;46;48;81;1;19;34;15;16;42;1;15;16;19;34;42;46;48;81
35;3;21;23;40;37;44;60;64;26;24;28;41;58;54;24;26;28;41;44;54;58;60;64
22;5;22;8;3;2;10;19;20;3;-12;-7;18;19;20;-12;-7;3;10;18;19;19;20;20
21;46;45;15;30;20;20;34;35;61;67;64;50;70;59;20;34;35;50;59;61;64;67;70
2;33;24;10;32;18;8;30;15;29;63;34;19;37;26;8;15;19;26;29;30;34;37;63
46;35;27;48;27;41;83;57;85;69;48;56;72;43;65;43;48;56;57;65;69;72;83;85
14;45;42;32;15;8;35;14;21;59;59;52;72;44;46;14;21;35;44;46;52;59;59;72
31;28;14;10;44;16;22;58;28;18;63;28;14;56;16;14;16;18;22;28;28;56;58;63
18;0;5;40;46;3;51;47;9;26;34;-10;26;40;7;-10;7;9;26;26;34;40;47;51
4;41;9;32;41;26;28;38;17;70;66;60;40;33;24;17;24;28;33;38;40;60;66;70
16;13;2;14;23;35;22;22;50;26;32;40;7;11;36;7;11;22;22;26;32;36;40;50
4;6;8;49;14;47;39;-2;37;55;20;43;38;18;38;-2;18;20;37;38;38;39;43;55
36;44;48;48;15;46;75;39;79;73;58;89;76;50;74;39;50;58;73;74;75;76;79;89
26;48;45;47;48;7;68;60;18;75;88;35;80;93;37;18;35;37;60;68;75;80;88;93
3;12;19;5;11;23;0;5;21;12;18;34;12;10;27;0;5;10;12;12;18;21;27;34
32;49;20;15;3;48;27;15;77;49;50;92;31;11;50;11;15;27;31;49;50;50;77;92
42;4;23;23;8;7;53;41;37;13;-5;-6;30;17;16;-6;-5;13;16;17;30;37;41;53
33;24;47;35;30;35;58;59;56;59;54;44;63;68;62;44;54;56;58;59;59;62;63;68
10;10;6;21;0;42;25;7;35;21;-6;47;25;-9;43;-9;-6;7;21;25;25;35;43;47
44;6;17;31;0;42;61;25;81;35;-8;48;37;-2;58;-8;-2;25;35;37;48;58;61;81
33;29;16;18;45;35;31;60;64;32;54;63;33;52;49;31;32;33;49;52;54;60;63;64
8;2;27;23;2;1;12;-7;-2;17;-11;-4;31;21;27;-11;-7;-4;-2;12;17;21;27;31
37;22;23;10;35;0;34;55;31;31;51;4;17;43;6;4;6;17;31;31;34;43;51;55
11;42;17;33;45;13;29;53;18;71;75;38;42;52;28;18;28;29;38;42;52;53;71;75
37;6;37;20;16;18;50;48;49;18;14;6;47;36;50;6;14;18;36;47;48;49;50;50
23;37;49;28;3;9;48;25;28;48;30;31;73;38;39;25;28;30;31;38;39;48;48;73
24;23;4;17;49;45;35;53;69;36;55;59;2;42;45;2;35;36;42;45;53;55;59;69
20;32;14;11;46;35;13;46;44;41;60;67;22;59;40;13;22;40;41;44;46;59;60;67
5;13;46;33;26;1;28;21;-11;41;36;0;66;69;45;-11;0;21;28;36;41;45;66;69
11;12;35;11;42;6;19;39;0;10;49;13;33;57;22;0;10;13;19;22;33;39;49;57
34;43;24;22;12;38;42;27;72;60;36;69;45;25;50;25;27;36;42;45;50;60;69;72
21;24;45;39;27;12;54;41;14;54;44;25;68;53;55;14;25;41;44;53;54;54;55;68
6;45;13;9;21;35;12;19;27;49;61;65;17;15;41;12;15;17;19;27;41;49;61;65
11;0;2;10;31;33;8;34;43;-4;16;25;12;19;25;-4;8;12;16;19;25;25;34;43
27;13;8;38;24;20;45;39;28;42;22;13;28;22;18;13;18;22;22;28;28;39;42;45
7;44;15;16;26;12;11;33;12;48;55;49;12;35;8;8;11;12;12;33;35;48;49;55
3;23;32;7;16;10;-10;13;13;12;20;29;37;29;26;-10;12;13;13;20;26;29;29;37
12;38;2;40;13;0;50;5;-4;59;42;24;42;-4;-14;-14;-4;-4;5;24;42;42;50;59
2;29;36;20;48;8;7;38;-6;45;63;26;40;65;31;-6;7;26;31;38;40;45;63;65
46;37;36;18;26;20;59;68;66;40;63;51;39;45;55;39;40;45;51;55;59;63;66;68
25;19;18;16;27;17;35;38;36;29;39;34;21;29;25;21;25;29;29;34;35;36;38;39
8;10;18;48;13;8;48;17;7;58;19;15;66;30;6;6;7;15;17;19;30;48;58;66
2;20;46;17;45;10;5;46;-7;18;48;16;52;79;52;-7;5;16;18;46;48;52;52;79
24;48;3;42;41;1;51;64;23;71;86;33;41;41;-10;-10;23;33;41;41;51;64;71;86
25;8;20;28;5;1;44;12;26;18;3;-5;28;15;11;-5;3;11;12;15;18;26;28;44
28;39;41;43;26;33;56;34;44;62;56;59;76;56;72;34;44;56;56;56;59;62;72;76
37;25;44;36;16;25;55;53;51;60;29;31;72;52;57;29;31;51;52;53;55;57;60;72
25;26;47;2;20;29;7;34;36;23;41;42;33;58;72;7;23;33;34;36;41;42;58;72
0;30;27;40;5;44;37;-1;26;53;22;71;54;22;70;-1;22;22;26;37;53;54;70;71
32;19;34;8;40;18;34;68;35;14;53;26;32;56;48;14;26;32;34;35;48;53;56;68
47;6;49;24;7;44;60;37;88;30;-5;47;56;36;89;-5;30;36;37;47;56;60;88;89
45;16;35;5;2;24;34;33;51;12;5;35;36;19;49;5;12;19;33;34;35;36;49;51
4;14;42;11;5;11;11;8;-4;22;18;18;40;39;47;-4;8;11;18;18;22;39;40;47
18;26;1;42;31;39;60;35;57;57;40;51;39;12;37;12;35;37;39;40;51;57;57;60
30;45;40;12;28;13;35;57;25;55;55;43;50;65;38;25;35;38;43;50;55;55;57;65
17;22;38;14;36;30;19;42;45;28;50;43;39;55;68;19;28;39;42;43;45;50;55;68
1;18;37;25;37;13;15;28;8;36;54;29;43;67;45;8;15;28;29;36;43;45;54;67
38;2;49;11;36;24;45;60;52;7;32;6;51;65;60;6;7;32;45;51;52;60;60;65
28;25;27;44;43;4;68;63;32;62;61;27;51;68;16;16;27;32;51;61;62;63;68;68
10;33;34;41;42;38;35;33;46;59;73;57;63;60;55;33;35;46;55;57;59;60;63;73
5;19;47;1;29;19;-14;26;17;8;35;29;35;75;51;-14;8;17;26;29;35;35;51;75
18;39;29;13;35;16;11;38;18;42;69;42;37;46;38;11;18;37;38;38;42;42;46;69
5;47;11;25;49;43;10;39;41;53;84;75;18;53;52;10;18;39;41;52;53;53;75;84
44;18;35;24;12;26;64;55;52;22;22;38;47;27;59;22;22;27;38;47;52;55;59;64
42;28;4;24;17;36;49;46;62;33;45;47;15;15;31;15;15;31;33;45;46;47;49;62
36;40;18;38;18;5;55;40;39;59;48;29;46;26;6;6;26;29;39;40;46;48;55;59
34;27;0;5;13;2;25;40;28;17;31;19;5;9;-13;-13;5;9;17;19;25;28;31;40
33;22;42;8;3;41;40;23;64;14;20;49;35;37;78;14;20;23;35;37;40;49;64;78
2;17;5;42;20;45;38;4;46;45;21;46;32;10;39;4;10;21;32;38;39;45;46;46
17;44;45;44;40;16;52;50;22;83;74;58;71;83;49;22;49;50;52;58;71;74;83;83
1;37;44;34;1;13;31;-18;12;64;35;35;59;44;50;-18;12;31;35;35;44;50;59;64
15;26;34;46;28;4;50;43;4;56;53;26;65;49;31;4;26;31;43;49;50;53;56;65
38;13;10;11;41;4;49;76;34;21;34;12;11;37;14;11;12;14;21;34;34;37;49;76
17;38;3;10;31;44;16;48;51;36;67;72;12;26;41;12;16;26;36;41;48;51;67;72
45;26;29;32;6;44;66;39;81;49;26;66;54;33;60;26;33;39;49;54;60;66;66;81
22;14;36;9;34;37;16;48;50;13;37;49;27;61;72;13;16;27;37;48;49;50;61;72
41;32;34;19;6;11;52;27;51;47;18;36;33;34;42;18;27;33;34;36;42;47;51;52
45;36;26;49;13;4;80;49;43;68;41;36;58;19;18;18;19;36;41;43;49;58;68;80
34;2;11;18;36;6;43;60;23;7;24;2;12;47;6;2;6;7;12;23;24;43;47;60
43;23;4;37;30;5;66;60;47;50;34;28;21;15;0;0;15;21;28;34;47;50;60;66
32;14;28;12;42;24;29;61;51;20;45;26;31;59;52;20;26;29;31;45;51;52;59;61
31;29;4;19;48;19;49;75;33;45;64;48;5;35;19;5;19;33;35;45;48;49;64;75
48;1;40;42;41;41;81;76;76;38;28;25;68;71;73;25;28;38;68;71;73;76;76;81
13;23;9;29;20;27;40;27;22;39;23;47;32;15;25;15;22;23;25;27;32;39;40;47
33;30;2;38;23;5;67;36;25;66;45;32;22;11;-12;-12;11;22;25;32;36;45;66;67
18;13;43;16;9;36;14;13;39;17;14;39;46;51;73;13;14;14;17;39;39;46;51;73
3;38;18;0;29;3;-5;19;-3;33;48;23;3;32;4;-5;-3;3;4;19;23;32;33;48
30;9;39;7;35;19;30;54;41;0;33;23;31;61;45;0;23;30;31;33;41;45;54;61
25;42;23;18;16;5;34;21;23;51;42;28;35;34;13;13;21;23;28;34;34;35;42;51
5;4;42;16;23;19;5;24;6;7;26;22;40;53;47;5;6;7;22;24;26;40;47;53
12;31;0;48;29;32;44;38;25;66;60;60;35;10;19;10;19;25;35;38;44;60;60;66
36;1;46;42;15;49;73;38;82;25;5;31;87;51;79;5;25;31;38;51;73;79;82;87
32;18;36;18;9;37;49;31;50;31;7;36;42;40;53;7;31;31;36;40;42;49;50;53
33;12;10;42;26;49;74;40;68;41;27;45;33;24;42;24;27;33;40;41;42;45;68;74
21;41;39;0;45;5;21;56;8;24;68;42;22;68;41;8;21;22;24;41;42;56;68;68
26;12;32;8;19;33;26;43;52;17;23;39;36;38;57;17;23;26;36;38;39;43;52;57
40;21;28;12;36;2;50;58;26;19;44;11;36;61;30;11;19;26;30;36;44;50;58;61
45;40;14;6;32;23;42;66;62;28;61;63;15;33;36;15;28;33;36;42;61;62;63;66
46;2;21;16;4;29;60;42;56;5;-1;17;29;20;50;-1;5;17;20;29;42;50;56;60
14;20;19;28;24;7;24;37;6;48;42;20;45;28;10;6;10;20;24;28;37;42;45;48
12;2;7;38;6;12;32;6;20;38;0;2;29;7;18;0;2;6;7;18;20;29;32;38
5;22;30;36;34;7;38;37;2;47;41;21;63;50;28;2;21;28;37;38;41;47;50;63
15;8;45;36;24;2;35;27;7;29;23;7;80;54;36;7;7;23;27;29;35;36;54;80
31;17;8;18;12;23;39;26;35;16;19;25;11;20;21;11;16;19;20;21;25;26;35;39
39;2;12;39;32;42;65;59;76;25;29;34;36;43;38;25;29;34;36;38;43;59;65;76
39;15;24;33;29;40;58;63;61;47;36;51;46;45;59;36;45;46;47;51;58;59;61;63
16;2;40;18;37;3;21;44;17;11;36;-2;46;59;40;-2;11;17;21;36;40;44;46;59
31;0;20;1;6;17;29;27;32;-10;-6;15;17;15;26;-10;-6;15;15;17;26;27;29;32
48;29;19;43;31;20;83;74;61;53;51;36;52;35;28;28;35;36;51;52;53;61;74;83
39;47;42;49;13;2;80;40;29;93;60;44;71;48;29;29;29;40;44;48;60;71;80;93
36;19;38;25;2;20;57;27;39;32;19;22;44;39;50;19;22;27;32;39;39;44;50;57
12;47;12;13;29;2;21;40;4;59;58;38;11;32;-3;-3;4;11;21;32;38;40;58;59
8;11;10;38;46;27;43;53;26;30;44;34;32;47;21;21;26;30;32;34;43;44;47;53
28;7;32;3;11;0;28;31;28;-2;0;5;30;35;17;-2;0;5;17;28;28;30;31;35
7;35;13;2;35;1;6;22;-6;22;58;21;-2;39;3;-6;-2;3;6;21;22;22;39;58
30;31;46;28;29;47;50;55;65;39;43;70;63;68;83;39;43;50;55;63;65;68;70;83
36;32;27;21;24;38;48;51;72;47;50;57;29;47;47;29;47;47;47;48;50;51;57;72
39;40;16;35;36;36;57;55;67;72;72;66;45;47;44;44;45;47;55;57;66;67;72;72
45;19;11;49;22;7;90;65;39;49;33;25;58;17;8;8;17;25;33;39;49;58;65;90
1;27;21;43;11;46;38;-3;40;50;34;73;53;23;47;-3;23;34;38;40;47;50;53;73
17;34;38;29;29;0;40;43;10;63;53;23;57;57;31;10;23;31;40;43;53;57;57;63
13;20;45;5;7;34;8;11;35;6;22;43;32;41;70;6;8;11;22;32;35;41;43;70
47;0;33;19;12;44;66;53;73;5;2;35;45;32;73;2;5;32;35;45;53;66;73;73
23;47;8;35;0;45;38;14;64;74;40;77;41;-3;37;-3;14;37;38;40;41;64;74;77
42;39;25;12;5;14;48;40;37;47;30;36;27;24;24;24;24;27;30;36;37;40;47;48
17;19;36;19;46;7;26;47;14;37;63;14;45;75;33;14;14;26;33;37;45;47;63;75
14;13;23;37;29;43;36;34;53;35;33;36;58;38;59;33;34;35;36;36;38;53;58;59
34;30;38;3;38;5;18;65;36;22;59;17;37;70;31;17;18;22;31;36;37;59;65;70
46;8;16;13;8;4;40;36;37;17;1;12;11;9;4;1;4;9;11;12;17;36;37;40
24;40;18;28;34;31;35;56;51;60;63;52;31;43;40;31;35;40;43;51;52;56;60;63
43;3;26;46;25;29;82;61;59;47;24;18;60;49;39;18;24;39;47;49;59;60;61;82
11;44;15;20;47;6;28;45;4;44;81;49;18;57;13;4;13;18;28;44;45;49;57;81
33;23;20;9;2;3;26;16;35;28;5;18;15;11;8;5;8;11;15;16;18;26;28;35
41;22;37;23;21;34;59;60;69;27;23;49;53;51;57;23;27;49;51;53;57;59;60;69
6;20;7;38;31;27;32;37;22;48;47;35;33;20;25;20;22;25;32;33;35;37;47;48
44;27;48;32;17;35;63;48;62;41;26;43;76;63;79;26;41;43;48;62;63;63;76;79
9;45;8;33;6;18;25;13;27;73;33;45;38;-6;17;-6;13;17;25;27;33;38;45;73
4;5;37;16;19;9;12;6;-6;19;8;-2;43;39;36;-6;-2;6;8;12;19;36;39;43
8;11;46;46;0;23;42;5;24;48;10;15;83;39;55;5;10;15;24;39;42;48;55;83
2;1;29;17;38;17;2;27;0;4;30;10;30;48;37;0;2;4;10;27;30;30;37;48
19;19;43;14;12;39;22;23;53;22;30;51;57;41;70;22;22;23;30;41;51;53;57;70
44;48;11;32;7;17;62;44;54;69;55;61;35;13;11;11;13;35;44;54;55;61;62;69
12;35;14;9;11;14;16;23;11;38;26;46;6;19;26;6;11;16;19;23;26;26;38;46
24;48;16;3;11;31;17;32;39;46;39;61;11;21;47;11;17;21;32;39;39;46;47;61
5;6;30;3;17;6;-11;15;8;2;14;4;16;38;29;-11;2;4;8;14;15;16;29;38
48;6;49;0;10;6;29;46;48;-10;0;0;40;47;43;-10;0;0;29;40;43;46;47;48
24;12;37;9;43;39;13;55;60;8;43;45;44;66;68;8;13;43;44;45;55;60;66;68
38;27;19;37;32;10;57;57;34;53;44;34;43;42;29;29;34;34;42;43;44;53;57;57
32;24;14;26;29;32;58;41;47;38;41;48;40;27;36;27;36;38;40;41;41;47;48;58
33;28;3;1;39;8;23;64;37;25;60;17;-15;36;1;-15;1;17;23;25;36;37;60;64
8;24;9;13;44;7;14;34;-2;18;51;27;17;43;9;-2;9;14;17;18;27;34;43;51
48;16;13;37;26;39;74;73;68;34;42;40;46;38;49;34;38;40;42;46;49;68;73;74
13;37;35;34;24;17;39;22;22;70;56;51;51;51;37;22;22;37;39;51;51;51;56;70
15;32;29;0;22;0;2;26;14;18;50;30;24;36;25;2;14;18;24;25;26;30;36;50
10;14;36;49;4;29;44;-3;32;43;11;36;73;39;60;-3;11;32;36;39;43;44;60;73
0;7;2;35;30;10;21;24;1;27;29;5;29;16;4;1;4;5;16;21;24;27;29;29
25;34;46;14;29;3;24;38;17;37;63;27;45;72;44;17;24;27;37;38;44;45;63;72
1;3;9;34;46;26;16;30;7;27;34;13;28;41;15;7;13;15;16;27;28;30;34;41
25;16;44;47;16;21;71;29;36;52;22;23;75;60;52;22;23;29;36;52;52;60;71;75
47;15;34;34;33;31;64;70;62;38;33;43;51;60;53;33;38;43;51;53;60;62;64;70
26;24;33;0;28;45;16;41;70;14;49;53;32;53;62;14;16;32;41;49;53;53;62;70
45;29;7;10;24;1;39;58;46;36;45;13;4;26;-9;-9;4;13;26;36;39;45;46;58
20;49;34;24;46;36;33;50;46;58;95;69;52;78;58;33;46;50;52;58;58;69;78;95
8;11;43;15;48;45;10;37;41;14;57;46;39;71;82;10;14;37;39;41;46;57;71;82
3;45;31;3;19;9;-14;7;0;46;51;50;18;37;34;-14;0;7;18;34;37;46;50;51
41;3;4;32;49;15;54;89;41;28;50;-2;27;52;1;-2;1;27;28;41;50;52;54;89
10;2;14;31;43;22;37;34;28;13;26;4;32;54;26;4;13;26;26;28;32;34;37;54
42;8;30;15;7;33;41;36;61;8;14;21;45;22;57;8;14;21;22;36;41;45;57;61
3;2;48;31;3;35;17;-12;19;27;-8;21;75;49;67;-12;-8;17;19;21;27;49;67;75
2;42;16;49;32;1;37;15;2;73;67;40;63;45;2;2;2;15;37;40;45;63;67;73
48;32;8;12;1;22;47;33;61;24;31;53;10;4;30;4;10;24;30;31;33;47;53;61
27;14;16;24;46;37;49;57;53;20;47;33;31;47;33;20;31;33;33;47;47;49;53;57
14;28;10;6;10;5;17;23;18;23;23;32;16;12;13;12;13;16;17;18;23;23;23;32
0;45;15;49;15;13;38;7;12;79;53;42;61;27;25;7;12;25;27;38;42;53;61;79
8;31;0;48;7;23;56;10;27;59;21;48;38;7;20;7;10;20;21;27;38;48;56;59
30;45;1;44;22;47;58;52;75;76;65;90;43;11;28;11;28;43;52;58;65;75;76;90
7;1;24;12;24;20;-1;29;23;-1;24;2;18;39;27;-1;-1;2;18;23;24;27;29;39
42;30;13;12;8;35;35;32;69;42;29;51;12;14;42;12;14;29;32;35;42;42;51;69
42;49;37;1;41;13;26;68;46;33;81;55;37;72;31;26;31;33;37;46;55;68;72;81
