q0p0;q0p1;q1p0;q1p1;q1p2;s[0, 2];s[0, 3];s[0, 4];s[1, 2];s[1, 3];s[1, 4];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5
20;24;29;36;45;42;45;51;35;44;51;35;42;44;45;51;51
24;45;6;0;20;13;6;41;41;25;55;6;13;25;41;41;55
28;48;42;36;36;60;47;59;81;64;80;47;59;60;64;80;81
49;29;40;37;0;80;71;41;55;55;10;10;41;55;55;71;80
37;11;26;15;39;55;34;73;21;12;49;12;21;34;49;55;73
37;39;35;12;14;61;49;43;67;47;51;43;47;49;51;61;67
21;30;25;14;1;41;26;14;43;44;13;13;14;26;41;43;44
6;18;9;34;22;3;30;9;22;48;32;3;9;22;30;32;48
45;46;28;5;12;59;40;55;61;42;45;40;42;45;55;59;61
48;8;3;41;7;34;88;37;3;34;10;3;10;34;34;37;88
35;18;7;17;31;40;47;63;16;28;35;16;28;35;40;47;63
38;3;1;38;34;37;70;53;2;33;37;2;33;37;37;53;70
22;15;43;28;31;46;37;44;55;41;35;35;37;41;44;46;55
12;42;16;2;24;25;-1;34;43;36;61;-1;25;34;36;43;61
19;17;35;36;6;47;43;19;51;36;23;19;23;36;43;47;51
42;38;49;17;30;75;45;55;77;54;52;45;52;54;55;75;77
0;33;13;28;36;10;15;27;30;41;55;10;15;27;30;41;55
17;24;38;3;40;39;7;54;51;14;61;7;14;39;51;54;61
1;10;20;17;48;3;6;37;19;18;51;3;6;18;19;37;51
11;0;9;16;20;18;9;21;9;-3;11;-3;9;9;11;18;21
42;19;6;7;16;47;30;52;13;7;31;7;13;30;31;47;52
11;19;11;49;6;22;42;-2;17;53;15;-2;15;17;22;42;53
43;40;27;7;30;65;35;54;52;45;58;35;45;52;54;58;65
44;42;46;11;12;76;52;37;84;36;42;36;37;42;52;76;84
2;28;48;44;43;34;43;32;56;72;53;32;34;43;53;56;72
1;32;14;0;46;11;-14;46;36;17;76;-14;11;17;36;46;76
24;48;19;15;14;28;35;25;60;56;56;25;28;35;56;56;60
13;1;47;28;49;59;25;60;42;28;40;25;28;40;42;59;60
26;48;23;13;44;36;21;52;59;56;80;21;36;52;56;59;80
26;16;33;12;38;46;27;63;41;13;42;13;27;41;42;46;63
35;39;15;13;0;38;34;18;35;49;21;18;21;34;35;38;49
22;46;15;32;18;26;45;22;41;66;63;22;26;41;45;63;66
15;41;12;7;12;15;15;26;43;38;41;15;15;26;38;41;43
46;7;7;26;30;34;56;69;-4;15;37;-4;15;34;37;56;69
42;32;39;19;24;76;50;49;63;50;47;47;49;50;50;63;76
39;45;24;48;31;45;73;60;69;85;58;45;58;60;69;73;85
25;4;49;28;14;58;44;21;35;30;14;14;21;30;35;44;58
43;4;17;39;16;56;70;47;18;29;14;14;18;29;47;56;70
5;43;9;43;37;10;47;38;51;79;66;10;38;47;51;66;79
3;45;46;40;46;43;29;37;85;78;91;29;37;43;78;85;91
29;37;8;43;19;32;59;45;28;63;36;28;32;36;45;59;63
12;49;12;14;29;17;9;36;49;48;77;9;17;36;48;49;77
14;22;24;2;3;20;16;13;37;4;8;4;8;13;16;20;37
0;16;36;17;22;25;17;11;38;31;37;11;17;25;31;37;38
8;48;46;42;15;41;35;14;77;75;51;14;35;41;51;75;77
14;43;26;3;22;31;2;20;61;40;54;2;20;31;40;54;61
42;13;31;48;38;64;79;74;37;42;36;36;37;42;64;74;79
29;46;32;36;6;56;57;21;58;67;45;21;45;56;57;58;67
25;45;41;24;8;49;32;31;76;50;33;31;32;33;49;50;76
45;31;30;12;48;55;48;91;55;33;73;33;48;55;55;73;91
32;3;1;36;40;26;63;68;-13;33;38;-13;26;33;38;63;68
38;4;8;42;36;32;61;57;-1;32;26;-1;26;32;32;57;61
49;48;48;5;30;84;51;75;82;50;76;50;51;75;76;82;84
13;3;36;37;12;45;49;16;35;38;-1;-1;16;35;38;45;49
45;40;18;47;35;47;83;66;39;73;55;39;47;55;66;73;83
36;19;45;38;10;68;58;36;44;47;21;21;36;44;47;58;68
42;15;38;21;10;61;52;43;48;21;24;21;24;43;48;52;61
13;30;26;4;35;32;7;34;47;31;55;7;31;32;34;47;55
6;16;29;43;45;28;49;50;45;49;50;28;45;49;49;50;50
22;45;1;17;42;20;36;60;41;59;75;20;36;41;59;60;75
14;24;40;18;49;48;30;53;55;25;66;25;30;48;53;55;66
10;38;28;10;33;35;12;40;56;34;66;12;34;35;40;56;66
20;24;17;16;21;22;22;35;27;28;36;22;22;27;28;35;36
13;0;21;22;41;15;29;41;2;8;34;2;8;15;29;34;41
1;3;12;24;42;-6;17;36;12;16;30;-6;12;16;17;30;36
29;6;17;17;5;40;36;24;15;22;-4;-4;15;22;24;36;40
43;7;19;28;46;46;51;82;19;15;53;15;19;46;51;53;82
29;5;10;16;22;31;41;34;2;2;20;2;2;20;31;34;41
39;24;3;23;9;22;54;36;23;30;16;16;22;23;30;36;54
14;2;43;49;22;54;47;35;31;50;21;21;31;35;47;50;54
9;8;2;25;38;8;21;27;4;25;29;4;8;21;25;27;29
48;49;26;0;46;61;44;86;70;39;94;39;44;61;70;86;94
13;32;0;35;32;1;43;27;25;62;49;1;25;27;43;49;62
10;2;5;47;10;10;39;10;-6;46;2;-6;2;10;10;39;46
42;33;19;15;1;55;55;27;43;46;21;21;27;43;46;55;55
25;12;25;13;14;44;21;35;33;19;20;19;20;21;33;35;44
30;47;43;26;21;67;40;33;84;58;68;33;40;58;67;68;84
38;8;10;32;19;36;58;55;15;30;16;15;16;30;36;55;58
45;14;0;47;22;40;88;65;1;45;26;1;26;40;45;65;88
35;44;35;44;6;60;72;39;67;80;44;39;44;60;67;72;80
7;30;33;6;36;30;1;30;53;21;65;1;21;30;30;53;65
10;39;46;29;46;54;19;36;84;68;85;19;36;54;68;84;85
46;25;45;37;37;78;63;64;55;52;49;49;52;55;63;64;78
44;22;7;19;10;48;54;40;9;38;14;9;14;38;40;48;54
5;34;10;1;23;15;-14;21;34;16;44;-14;15;16;21;34;44
30;7;29;20;22;51;49;39;27;14;24;14;24;27;39;49;51
46;35;44;39;19;83;76;53;59;62;42;42;53;59;62;76;83
13;17;22;36;8;16;35;15;32;39;8;8;15;16;32;35;39
22;21;8;47;25;19;49;36;16;56;43;16;19;36;43;49;56
20;26;45;16;8;61;18;27;70;23;14;14;18;23;27;61;70
29;7;24;34;45;53;44;72;12;38;47;12;38;44;47;53;72
43;27;3;9;31;43;35;68;23;35;49;23;35;35;43;49;68
27;31;49;25;44;66;42;66;68;38;56;38;42;56;66;66;68
21;7;19;1;7;23;8;9;8;5;-6;-6;5;8;8;9;23
24;0;19;20;24;30;27;47;17;17;11;11;17;17;27;30;47
32;0;41;34;8;73;49;20;32;14;-1;-1;14;20;32;49;73
39;40;2;31;11;25;65;46;38;53;36;25;36;38;46;53;65
11;48;35;48;16;32;52;15;69;90;58;15;32;52;58;69;90
20;18;41;46;16;47;60;28;47;60;18;18;28;47;47;60;60
36;38;48;11;25;69;43;59;77;46;46;43;46;46;59;69;77
37;48;10;30;27;32;52;46;39;73;57;32;39;46;52;57;73
49;20;29;32;32;74;63;78;38;37;32;32;37;38;63;74;78
48;15;5;6;13;43;41;47;6;3;22;3;6;22;41;43;47
20;36;38;24;6;58;24;16;55;51;28;16;24;28;51;55;58
14;26;0;17;28;3;19;41;21;43;46;3;19;21;41;43;46
35;27;45;15;39;63;47;72;54;32;49;32;47;49;54;63;72
37;5;12;19;31;49;46;64;7;13;27;7;13;27;46;49;64
46;12;23;23;30;50;52;64;17;23;25;17;23;25;50;52;64
20;48;34;16;30;49;22;34;64;56;75;22;34;49;56;64;75
44;0;12;7;28;56;42;57;7;6;25;6;7;25;42;56;57
18;43;39;48;45;53;64;53;82;81;71;53;53;64;71;81;82
7;40;15;6;0;3;8;6;38;32;31;3;6;8;31;32;38
44;11;31;6;41;65;49;77;29;8;38;8;29;38;49;65;77
37;2;2;4;36;31;31;63;-7;-13;37;-13;-7;31;31;37;63
21;43;48;14;24;69;24;36;82;50;55;24;36;50;55;69;82
14;11;4;36;35;16;36;43;10;30;37;10;16;30;36;37;43
27;36;40;9;7;60;23;19;57;40;31;19;23;31;40;57;60
13;14;6;24;12;11;29;10;18;35;12;10;11;12;18;29;35
7;37;1;40;25;-5;42;30;34;57;48;-5;30;34;42;48;57
14;25;36;12;38;35;9;37;56;32;57;9;32;35;37;56;57
38;47;17;45;23;48;66;47;49;74;52;47;48;49;52;66;74
29;5;10;19;14;35;37;37;-1;14;3;-1;3;14;35;37;37
1;41;42;43;30;36;42;20;72;71;66;20;36;42;66;71;72
19;46;40;34;4;40;42;5;78;79;37;5;37;40;42;78;79
15;8;36;22;29;43;25;42;39;10;31;10;25;31;39;42;43
8;33;48;24;36;37;21;41;62;49;64;21;37;41;49;62;64
34;14;25;13;17;53;28;45;21;14;23;14;21;23;28;45;53
45;10;17;35;31;42;61;56;21;27;37;21;27;37;42;56;61
28;30;4;7;6;29;20;24;24;35;20;20;20;24;24;29;35
10;42;6;28;12;8;24;18;33;50;53;8;18;24;33;50;53
20;25;37;11;17;45;11;17;48;29;38;11;17;29;38;45;48
3;22;32;30;37;16;21;24;45;49;51;16;21;24;45;49;51
31;15;31;7;28;54;29;55;42;18;43;18;29;42;43;54;55
41;8;20;8;22;59;49;60;22;3;13;3;13;22;49;59;60
14;14;32;1;41;44;5;40;30;9;55;5;9;30;40;44;55
42;1;48;39;28;70;66;52;33;39;27;27;33;39;52;66;70
49;37;40;44;17;82;90;64;71;65;45;45;64;65;71;82;90
47;6;18;43;18;50;84;59;15;37;9;9;15;37;50;59;84
6;12;23;39;4;10;37;-5;27;50;6;-5;6;10;27;37;50
34;35;30;2;40;62;17;66;49;20;71;17;20;49;62;66;71
23;4;32;44;30;45;56;41;21;46;33;21;33;41;45;46;56
40;39;1;39;34;38;67;66;22;64;61;22;38;61;64;66;67
31;41;33;1;20;59;27;40;74;31;54;27;31;40;54;59;74
42;28;29;5;35;69;32;73;48;26;56;26;32;48;56;69;73
37;4;47;24;14;65;43;36;51;26;6;6;26;36;43;51;65
28;43;3;13;23;31;23;43;35;39;57;23;31;35;39;43;57
12;6;25;22;19;25;25;26;13;12;12;12;12;13;25;25;26
38;18;17;26;7;51;52;39;18;40;5;5;18;39;40;51;52
20;49;39;2;26;39;3;37;81;50;71;3;37;39;50;71;81
19;18;42;46;36;49;60;55;42;64;38;38;42;49;55;60;64
25;2;41;9;42;65;18;48;36;11;31;11;18;31;36;48;65
19;34;44;34;40;50;39;50;64;56;74;39;50;50;56;64;74
2;1;37;19;28;35;21;24;31;3;18;3;18;21;24;31;35
8;38;11;14;38;2;14;35;40;46;67;2;14;35;40;46;67
7;15;26;4;49;17;11;55;26;-1;47;-1;11;17;26;47;55
17;14;34;25;22;35;28;38;36;19;25;19;25;28;35;36;38
26;35;2;13;23;15;36;48;29;32;38;15;29;32;36;38;48
8;34;11;39;10;3;28;10;41;66;33;3;10;28;33;41;66
23;46;15;34;22;36;37;36;57;71;50;36;36;37;50;57;71
10;39;27;40;15;21;46;25;50;76;48;21;25;46;48;50;76
12;1;36;29;5;45;28;3;30;25;-8;-8;3;25;28;30;45
0;12;43;33;5;35;26;-1;40;42;15;-1;15;26;35;40;42
30;22;40;2;46;65;20;58;54;22;58;20;22;54;58;58;65
6;25;27;42;41;27;35;28;47;47;65;27;28;35;47;47;65
47;40;42;16;7;85;52;42;74;40;30;30;40;42;52;74;85
19;7;47;47;32;58;48;35;54;45;29;29;35;45;48;54;58
44;21;42;4;40;85;33;72;55;24;49;24;33;49;55;72;85
4;4;36;49;34;21;38;30;40;42;27;21;27;30;38;40;42
38;24;3;0;44;30;30;73;8;20;57;8;20;30;30;57;73
11;45;1;48;12;11;41;19;38;92;46;11;19;38;41;46;92
14;38;5;37;36;1;43;39;42;65;72;1;39;42;43;65;72
41;5;1;18;9;34;48;37;-8;21;4;-8;4;21;34;37;48
0;34;47;31;42;30;26;38;75;54;59;26;30;38;54;59;75
7;31;0;6;11;-4;0;10;20;36;38;-4;0;10;20;36;38
0;35;17;33;48;1;28;42;33;59;73;1;28;33;42;59;73
32;10;18;40;5;41;69;32;23;32;-3;-3;23;32;32;41;69
11;2;26;26;30;30;32;36;22;17;13;13;17;22;30;32;36
30;13;36;30;8;64;47;28;34;40;2;2;28;34;40;47;64
32;40;12;49;46;36;61;63;32;69;81;32;36;61;63;69;81
40;37;38;8;37;58;46;68;72;27;70;27;46;58;68;70;72
18;27;10;48;4;21;53;17;34;71;16;16;17;21;34;53;71
19;1;2;44;42;4;58;48;-14;27;36;-14;4;27;36;48;58
30;29;45;21;1;63;31;24;73;40;25;24;25;31;40;63;73
11;17;11;35;29;8;45;39;23;32;38;8;23;32;38;39;45
20;34;11;17;6;15;25;7;28;44;35;7;15;25;28;35;44
48;28;8;8;21;48;50;67;23;19;29;19;23;29;48;50;67
19;20;4;20;23;19;33;25;13;20;29;13;19;20;25;29;33
40;29;40;8;45;60;47;80;69;23;65;23;47;60;65;69;80
9;1;27;27;6;35;22;1;10;11;-8;-8;1;10;11;22;35
29;18;20;13;0;42;24;24;23;27;17;17;23;24;24;27;42
34;18;32;17;27;64;37;60;32;15;30;15;30;32;37;60;64
4;11;43;46;39;35;38;32;39;49;41;32;35;38;39;41;49
10;10;19;29;35;25;27;38;11;31;25;11;25;25;27;31;38
46;34;16;17;27;51;63;72;44;40;56;40;44;51;56;63;72
43;41;40;37;19;80;80;55;62;76;47;47;55;62;76;80;80
24;11;8;3;29;16;9;51;18;12;24;9;12;16;18;24;51
10;45;35;23;32;30;16;29;63;57;62;16;29;30;57;62;63
0;17;4;38;12;0;38;-4;12;55;17;-4;0;12;17;38;55
48;38;8;8;17;46;46;47;30;34;46;30;34;46;46;46;47
12;44;16;20;23;28;30;23;52;55;53;23;28;30;52;53;55
24;17;4;8;8;27;32;12;11;15;21;11;12;15;21;27;32
47;28;33;26;4;78;58;48;61;41;25;25;41;48;58;61;78
48;42;31;49;9;74;86;41;70;73;39;39;41;70;73;74;86
22;47;26;18;3;34;35;13;68;51;45;13;34;35;45;51;68
48;29;36;45;3;84;76;46;53;68;13;13;46;53;68;76;84
25;1;2;47;35;21;52;42;-13;29;16;-13;16;21;29;42;52
44;12;20;43;32;57;85;58;17;42;41;17;41;42;57;58;85
8;17;49;1;27;37;3;23;65;7;35;3;7;23;35;37;65
44;45;37;40;21;69;76;45;80;65;61;45;61;65;69;76;80
30;21;30;48;12;50;61;42;48;61;16;16;42;48;50;61;61
24;44;6;25;5;24;49;16;32;61;39;16;24;32;39;49;61
9;41;11;24;3;6;27;7;52;47;41;6;7;27;41;47;52
31;39;42;14;6;71;36;23;72;33;42;23;33;36;42;71;72
36;33;22;7;38;41;29;59;40;39;53;29;39;40;41;53;59
16;26;11;10;26;10;20;29;18;35;36;10;18;20;29;35;36
30;22;45;11;47;69;37;77;61;13;56;13;37;56;61;69;77
41;8;46;15;28;71;39;50;43;18;28;18;28;39;43;50;71
43;9;1;18;45;27;59;84;2;27;50;2;27;27;50;59;84
24;15;22;43;43;41;62;65;20;58;45;20;41;45;58;62;65
1;37;1;22;46;2;15;44;36;53;71;2;15;36;44;53;71
31;42;21;3;23;44;30;38;48;37;54;30;37;38;44;48;54
14;31;0;40;34;-5;45;31;14;61;49;-5;14;31;45;49;61
47;7;11;10;36;44;47;68;0;15;38;0;15;38;44;47;68
44;0;4;18;14;28;50;39;0;-1;14;-1;0;14;28;39;50
47;36;2;41;7;38;80;34;38;64;37;34;37;38;38;64;80
16;19;47;2;46;43;16;59;49;20;53;16;20;43;49;53;59
8;11;7;16;9;-5;17;4;13;17;17;-5;4;13;17;17;17
24;49;39;40;23;48;53;29;75;85;66;29;48;53;66;75;85
46;4;37;42;26;65;87;65;27;45;11;11;27;45;65;65;87
17;47;31;49;7;32;46;17;63;91;41;17;32;41;46;63;91
1;42;27;30;34;27;26;28;57;52;75;26;27;28;52;57;75
42;46;29;39;14;58;67;53;59;72;46;46;53;58;59;67;72
14;39;17;6;15;31;10;27;43;36;41;10;27;31;36;41;43
15;28;36;8;25;42;21;40;63;30;45;21;30;40;42;45;63
10;34;38;3;9;36;1;13;62;31;39;1;13;31;36;39;62
17;34;26;30;28;31;34;27;46;51;56;27;31;34;46;51;56
19;26;45;20;26;64;21;39;69;38;45;21;38;39;45;64;69
14;3;26;15;17;26;17;22;17;1;5;1;5;17;17;22;26
11;1;42;19;36;53;16;28;32;4;34;4;16;28;32;34;53
24;1;7;45;9;29;63;22;-11;45;-5;-11;-5;22;29;45;63
18;16;49;26;48;64;35;54;56;37;45;35;37;45;54;56;64
25;20;34;43;27;54;58;46;52;56;33;33;46;52;54;56;58
47;21;48;14;38;78;41;75;62;19;57;19;41;57;62;75;78
27;24;17;1;34;40;21;56;36;5;46;5;21;36;40;46;56
36;5;32;11;49;51;45;65;34;0;50;0;34;45;50;51;65
34;46;16;7;10;35;39;44;52;44;37;35;37;39;44;44;52
43;1;23;48;42;55;91;80;4;37;27;4;27;37;55;80;91
4;3;49;17;14;50;10;14;43;4;1;1;4;10;14;43;50
20;8;32;6;45;44;18;64;30;7;48;7;18;30;44;48;64
2;40;11;42;2;11;41;-10;44;69;36;-10;11;36;41;44;69
4;43;23;5;11;25;8;5;66;38;43;5;8;25;38;43;66
14;1;35;37;29;34;42;42;19;23;18;18;19;23;34;42;42
17;19;39;22;1;38;29;7;42;27;3;3;7;27;29;38;42
11;19;3;24;41;6;25;48;22;39;56;6;22;25;39;48;56
28;41;28;23;41;48;49;64;52;59;66;48;49;52;59;64;66
47;21;1;4;26;48;42;57;4;17;47;4;17;42;47;48;57
39;2;39;45;8;74;75;38;34;45;0;0;34;38;45;74;75
18;42;41;32;9;42;34;19;73;70;32;19;32;34;42;70;73
2;15;25;12;47;24;-5;46;40;14;51;-5;14;24;40;46;51
2;1;10;14;0;2;3;-1;9;-1;-11;-11;-1;-1;2;3;9
4;36;26;1;32;14;-8;21;45;32;53;-8;14;21;32;45;53
37;35;13;9;40;47;39;65;34;33;55;33;34;39;47;55;65
12;3;14;49;44;21;45;44;15;47;44;15;21;44;44;45;47
2;31;9;37;39;11;31;39;24;67;69;11;24;31;39;67;69
10;26;21;26;45;17;17;54;40;32;70;17;17;32;40;54;70
16;42;4;8;22;10;16;35;31;34;50;10;16;31;34;35;50
46;21;16;3;22;51;46;53;26;10;39;10;26;39;46;51;53
9;15;48;11;45;44;7;37;57;8;49;7;8;37;44;49;57
21;12;28;6;24;36;14;27;39;4;17;4;14;17;27;36;39
10;19;8;13;33;14;11;24;11;16;49;11;11;14;16;24;49
23;35;21;12;13;24;34;19;48;42;30;19;24;30;34;42;48
41;3;6;44;24;33;67;56;2;35;18;2;18;33;35;56;67
32;37;0;15;11;32;41;39;27;41;28;27;28;32;39;41;41
39;12;41;47;23;65;72;46;35;42;24;24;35;42;46;65;72
40;9;15;34;8;35;68;44;13;42;-3;-3;13;35;42;44;68
26;7;15;28;15;27;35;33;9;22;22;9;22;22;27;33;35
22;20;0;42;1;22;56;9;5;50;4;4;5;9;22;50;56
9;21;34;40;17;32;33;21;36;46;38;21;32;33;36;38;46
21;49;3;31;3;21;34;10;47;78;48;10;21;34;47;48;78
