q0p0;q0p1;q0p2;q0p3;q1p0;q1p1;s[0, 4];s[0, 5];s[1, 4];s[1, 5];s[2, 4];s[2, 5];s[3, 4];s[3, 5];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7
24;3;14;45;46;11;61;20;47;-4;49;21;87;42;-4;20;21;42;47;49;61;87
18;40;38;34;32;29;43;42;55;53;67;63;61;62;42;43;53;55;61;62;63;67
45;23;49;20;17;7;62;32;40;18;62;40;17;11;11;17;18;32;40;40;62;62
15;32;5;12;40;43;38;58;54;74;41;38;46;43;38;38;41;43;46;54;58;74
17;49;5;36;40;38;47;50;81;79;31;41;70;65;31;41;47;50;65;70;79;81
4;31;45;22;3;22;-7;17;25;44;46;59;24;40;-7;17;24;25;40;44;46;59
16;14;30;5;0;16;5;28;11;26;21;33;-4;1;-4;1;5;11;21;26;28;33
16;2;32;28;27;1;36;2;21;-11;41;21;45;29;-11;2;21;21;29;36;41;45
14;45;35;48;24;15;21;27;60;56;58;34;55;48;21;27;34;48;55;56;58;60
5;1;33;30;12;25;15;14;12;18;41;42;23;35;12;14;15;18;23;35;41;42
45;20;48;10;7;21;48;49;25;29;39;68;7;14;7;14;25;29;39;48;49;68
46;41;7;2;42;21;71;60;65;46;38;21;37;12;12;21;37;38;46;60;65;71
35;13;25;37;24;6;42;34;32;11;33;11;61;26;11;11;26;32;33;34;42;61
7;13;20;36;4;21;2;11;9;15;15;26;29;46;2;9;11;15;15;26;29;46
9;24;26;38;16;19;6;26;27;42;25;42;50;47;6;25;26;27;42;42;47;50
23;1;39;34;36;42;52;49;27;25;60;62;58;74;25;27;49;52;58;60;62;74
17;33;7;36;32;40;38;44;49;65;25;42;57;67;25;38;42;44;49;57;65;67
38;17;34;47;48;27;67;48;55;43;63;43;85;73;43;43;48;55;63;67;73;85
41;29;21;1;39;40;80;78;54;49;58;59;39;39;39;39;49;54;58;59;78;80
18;40;2;49;20;7;34;19;56;44;13;2;63;47;2;13;19;34;44;47;56;63
9;0;2;5;43;4;45;3;32;-3;36;0;47;-4;-4;-3;0;3;32;36;45;47
27;5;46;12;31;33;56;49;28;30;61;69;34;34;28;30;34;34;49;56;61;69
20;16;21;28;39;15;42;33;51;13;46;35;55;37;13;33;35;37;42;46;51;55
39;21;18;28;18;25;44;48;25;29;35;28;43;37;25;28;29;35;37;43;44;48
5;12;13;28;19;10;15;12;26;13;26;12;38;30;12;12;13;15;26;26;30;38
37;2;2;49;19;4;55;40;19;-13;21;-3;52;43;-13;-3;19;21;40;43;52;55
27;9;35;17;12;27;24;52;6;19;34;60;24;36;6;19;24;24;34;36;52;60
26;13;18;7;41;39;67;56;48;41;53;41;39;33;33;39;41;41;48;53;56;67
2;34;19;12;32;10;24;11;48;32;51;25;31;17;11;17;24;25;31;32;48;51
34;32;6;18;45;22;70;44;76;43;39;25;63;39;25;39;39;43;44;63;70;76
10;13;32;4;24;5;24;2;32;1;42;29;22;-8;-8;1;2;22;24;29;32;42
5;4;8;45;5;9;7;0;-5;-6;-3;17;35;52;-6;-5;-3;0;7;17;35;52
8;17;14;15;31;17;26;10;34;15;37;12;29;13;10;12;13;15;26;29;34;37
4;24;41;34;27;45;24;43;42;63;48;82;44;68;24;42;43;44;48;63;68;82
17;24;47;36;0;9;0;19;5;31;27;44;18;29;0;5;18;19;27;29;31;44
18;31;16;22;25;4;28;10;51;27;30;17;33;12;10;12;17;27;28;30;33;51
38;39;31;48;34;17;68;49;68;45;46;35;73;64;35;45;46;49;64;68;68;73
14;10;48;11;43;26;54;39;45;18;87;56;39;34;18;34;39;39;45;54;56;87
44;23;10;19;32;21;57;50;39;36;24;22;41;27;22;24;27;36;39;41;50;57
43;37;16;5;8;9;33;32;34;43;24;20;9;-5;-5;9;20;24;32;33;34;43
7;3;37;35;39;10;41;11;23;7;74;42;71;28;7;11;23;28;41;42;71;74
26;39;39;17;4;16;30;42;36;36;35;44;20;18;18;20;30;35;36;36;42;44
30;21;22;20;4;23;20;52;7;24;23;41;13;32;7;13;20;23;24;32;41;52
43;14;1;21;8;23;47;64;7;37;7;6;29;36;6;7;7;29;36;37;47;64
17;10;29;24;14;48;22;54;19;51;33;61;31;55;19;22;31;33;51;54;55;61
40;12;48;27;21;27;45;64;14;36;57;73;32;37;14;32;36;37;45;57;64;73
14;35;5;47;0;24;-5;21;34;41;5;12;31;68;-5;5;12;21;31;34;41;68
31;23;32;39;25;2;36;13;30;7;39;15;54;32;7;13;15;30;32;36;39;54
25;38;23;9;45;14;67;36;73;35;49;22;51;8;8;22;35;36;49;51;67;73
34;26;46;7;11;41;31;65;22;64;38;82;15;33;15;22;31;33;38;64;65;82
42;21;5;25;48;29;74;57;63;39;49;17;61;47;17;39;47;49;57;61;63;74
15;46;30;48;49;38;58;46;91;82;78;48;97;71;46;48;58;71;78;82;91;97
39;3;32;36;36;30;59;53;21;30;64;47;55;50;21;30;47;50;53;55;59;64
24;2;34;6;48;40;52;49;47;28;66;64;50;38;28;38;47;49;50;52;64;66
40;18;21;40;47;43;74;65;59;53;48;47;70;77;47;48;53;59;65;70;74;77
36;40;34;6;24;24;46;50;50;45;53;49;11;28;11;28;45;46;49;50;50;53
3;45;35;41;8;26;11;18;51;67;30;48;46;55;11;18;30;46;48;51;55;67
7;22;16;33;23;2;20;9;26;14;36;11;46;28;9;11;14;20;26;28;36;46
49;46;12;8;40;12;70;58;78;56;48;7;47;4;4;7;47;48;56;58;70;78
33;47;13;38;2;46;29;70;31;88;6;44;36;75;6;29;31;36;44;70;75;88
8;30;25;15;25;43;18;35;38;72;46;52;23;56;18;23;35;38;46;52;56;72
33;45;10;22;44;42;74;66;69;80;43;52;59;56;43;52;56;59;66;69;74;80
11;7;48;16;14;6;15;11;16;6;47;34;14;20;6;11;14;15;16;20;34;47
9;25;32;20;22;12;14;7;46;26;48;42;41;24;7;14;24;26;41;42;46;48
33;27;18;2;33;27;62;54;46;54;42;30;34;14;14;30;34;42;46;54;54;62
3;27;33;24;40;9;42;7;65;33;58;34;60;26;7;26;33;34;42;58;60;65
26;49;32;33;22;34;28;42;51;66;40;57;45;56;28;40;42;45;51;56;57;66
44;47;33;19;4;40;35;75;32;79;17;67;12;50;12;17;32;35;50;67;75;79
16;28;36;1;35;11;41;10;48;20;55;43;34;11;10;11;20;34;41;43;48;55
1;45;24;17;41;25;22;21;73;63;47;37;57;40;21;22;37;40;47;57;63;73
29;21;36;23;26;14;49;24;40;22;61;46;31;18;18;22;24;31;40;46;49;61
3;1;20;6;20;30;16;25;18;20;31;49;6;20;6;16;18;20;20;25;31;49
21;36;25;22;32;1;38;16;60;31;46;6;39;3;3;6;16;31;38;39;46;60
22;17;38;43;43;14;63;33;59;15;68;40;73;43;15;33;40;43;59;63;68;73
13;9;11;25;14;49;27;48;14;49;10;48;32;58;10;14;27;32;48;48;49;58
40;8;22;7;20;30;42;55;9;37;27;46;9;24;9;9;24;27;37;42;46;55
8;48;41;3;18;10;9;6;65;41;41;39;1;13;1;6;9;13;39;41;41;65
15;24;7;34;35;32;50;36;51;44;36;35;58;46;35;36;36;44;46;50;51;58
40;25;0;39;16;47;46;84;37;66;15;43;48;69;15;37;43;46;48;66;69;84
9;44;36;4;14;0;18;9;44;29;40;35;17;-11;-11;9;17;18;29;35;40;44
46;9;39;14;43;38;72;75;39;47;62;60;46;43;39;43;46;47;60;62;72;75
20;12;13;40;11;5;30;6;14;4;19;9;41;39;4;6;9;14;19;30;39;41
36;10;44;2;31;18;67;36;24;9;69;60;32;5;5;9;24;32;36;60;67;69
29;35;31;1;3;31;29;45;21;56;14;48;-15;13;-15;13;14;21;29;45;48;56
8;23;35;25;13;17;13;6;32;25;44;35;31;28;6;13;25;28;31;32;35;44
17;13;17;36;10;9;26;14;19;15;13;19;44;38;13;14;15;19;19;26;38;44
16;12;18;24;18;6;19;10;22;15;33;12;25;18;10;12;15;18;19;22;25;33
26;48;47;15;33;10;45;16;69;47;80;57;47;14;14;16;45;47;47;57;69;80
27;11;36;32;36;1;52;11;28;12;54;32;50;21;11;12;21;28;32;50;52;54
33;32;2;45;44;39;65;72;71;63;42;29;77;64;29;42;63;64;65;71;72;77
2;10;11;8;36;10;31;3;40;11;27;18;28;-1;-1;3;11;18;27;28;31;40
6;49;18;1;38;19;44;14;76;56;53;30;32;7;7;14;30;32;44;53;56;76
28;22;9;30;42;8;55;32;50;25;47;16;62;29;16;25;29;32;47;50;55;62
24;25;20;23;12;3;21;8;18;27;23;16;33;19;8;16;18;19;21;23;27;33
9;18;2;40;19;7;25;14;32;9;6;4;44;31;4;6;9;14;25;31;32;44
42;15;6;3;26;41;66;71;38;44;24;46;10;35;10;24;35;38;44;46;66;71
47;18;32;21;10;8;44;44;26;26;30;35;15;11;11;15;26;26;30;35;44;44
6;4;8;35;11;8;9;11;7;11;17;2;37;31;2;7;9;11;11;17;31;37
15;12;46;18;29;18;25;19;39;23;63;50;38;18;18;19;23;25;38;39;50;63
48;9;22;27;3;46;32;88;12;53;15;66;29;60;12;15;29;32;53;60;66;88
0;40;41;38;9;11;-7;-6;37;45;44;45;40;42;-7;-6;37;40;42;44;45;45
3;31;37;41;45;49;43;40;72;79;66;69;70;76;40;43;66;69;70;72;76;79
8;41;22;13;0;6;-5;11;25;45;7;11;12;0;-5;0;7;11;11;12;25;45
12;47;24;35;15;47;20;58;53;76;35;56;41;70;20;35;41;53;56;58;70;76
35;49;8;26;20;44;51;74;55;87;23;47;29;60;23;29;47;51;55;60;74;87
24;8;45;3;32;23;54;29;39;12;60;62;23;9;9;12;23;29;39;54;60;62
42;46;47;47;13;38;49;63;57;74;48;72;54;73;48;49;54;57;63;72;73;74
30;41;8;34;2;12;26;31;41;37;3;15;18;33;3;15;18;26;31;33;37;41
47;42;12;15;2;38;42;84;35;72;2;32;9;33;2;9;32;33;35;42;72;84
37;6;27;7;3;7;26;33;0;-7;30;32;5;10;-7;0;5;10;26;30;32;33
9;12;33;14;29;2;28;9;27;6;50;17;33;15;6;9;15;17;27;28;33;50
36;47;17;2;41;21;75;56;86;68;56;37;30;17;17;30;37;56;56;68;75;86
1;33;8;26;5;34;-12;23;26;59;-2;28;12;43;-12;-2;12;23;26;28;43;59
48;38;4;27;5;2;36;49;30;23;0;-11;21;12;-11;0;12;21;23;30;36;49
5;11;8;24;40;45;26;37;31;37;33;51;48;57;26;31;33;37;37;48;51;57
40;29;14;14;44;26;64;66;73;50;55;30;49;29;29;30;49;50;55;64;66;73
37;19;2;1;24;26;52;58;43;31;11;14;17;25;11;14;17;25;31;43;52;58
10;3;23;42;44;29;43;21;31;25;62;52;67;53;21;25;31;43;52;53;62;67
48;1;31;17;14;48;58;87;11;31;35;79;21;46;11;21;31;35;46;58;79;87
7;20;48;39;9;20;13;9;23;29;47;66;39;50;9;13;23;29;39;47;50;66
5;18;26;21;2;10;0;-3;7;14;20;29;13;12;-3;0;7;12;13;14;20;29
34;14;15;48;1;48;28;76;3;60;2;43;40;90;2;3;28;40;43;60;76;90
9;21;44;9;24;6;29;13;28;24;66;33;13;5;5;13;13;24;28;29;33;66
14;2;10;30;7;10;21;4;6;2;6;16;23;30;2;4;6;6;16;21;23;30
8;30;0;21;25;10;24;14;49;31;14;-9;29;26;-9;14;14;24;26;29;31;49
40;8;28;37;35;37;58;69;40;45;46;55;60;74;40;45;46;55;58;60;69;74
34;15;32;29;35;35;62;62;42;46;53;51;53;59;42;46;51;53;53;59;62;62
12;33;2;11;15;9;16;19;45;27;2;9;21;17;2;9;16;17;19;21;27;45
18;34;39;39;38;9;44;15;72;39;58;28;74;30;15;28;30;39;44;58;72;74
37;1;15;29;39;45;68;80;22;38;34;54;50;58;22;34;38;50;54;58;68;80
36;36;34;13;22;46;53;74;44;73;40;66;31;50;31;40;44;50;53;66;73;74
24;9;1;0;29;32;51;53;19;27;25;17;17;25;17;17;19;25;25;27;51;53
14;49;24;39;48;29;46;33;86;61;62;36;73;50;33;36;46;50;61;62;73;86
14;47;47;48;25;7;34;2;65;40;61;51;70;48;2;34;40;48;51;61;65;70
19;18;32;1;47;22;60;35;52;25;75;49;40;8;8;25;35;40;49;52;60;75
22;32;14;10;1;0;14;6;22;14;-3;11;2;-1;-3;-1;2;6;11;14;14;22
23;4;24;31;49;49;53;64;35;46;53;69;79;68;35;46;53;53;64;68;69;79
32;36;38;4;24;31;41;45;43;50;47;52;13;19;13;19;41;43;45;47;50;52
14;22;16;27;33;26;33;33;55;46;34;42;41;49;33;33;34;41;42;46;49;55
44;43;47;46;0;39;24;75;23;63;41;83;28;65;23;24;28;41;63;65;75;83
37;21;37;21;25;37;54;54;38;38;61;68;37;52;37;38;38;52;54;54;61;68
2;10;39;39;5;2;-6;0;12;9;28;22;43;31;-6;0;9;12;22;28;31;43
46;21;13;1;41;31;74;68;62;32;42;24;41;27;24;27;32;41;42;62;68;74
33;37;45;47;32;49;50;71;50;82;69;80;77;94;50;50;69;71;77;80;82;94
5;39;27;11;44;39;37;39;64;67;60;51;51;48;37;39;48;51;51;60;64;67
39;26;22;1;1;34;37;57;25;42;11;46;-17;24;-17;11;24;25;37;42;46;57
8;25;26;15;27;17;24;6;34;26;48;23;38;18;6;18;23;24;26;34;38;48
20;33;4;12;33;48;43;56;50;64;31;43;29;47;29;31;43;43;47;50;56;64
4;46;11;21;2;9;-2;-1;34;47;12;20;4;23;-2;-1;4;12;20;23;34;47
6;17;36;25;5;7;4;6;20;23;41;28;15;18;4;6;15;18;20;23;28;41
18;1;44;6;25;38;42;54;20;39;56;63;18;37;18;20;37;39;42;54;56;63
47;20;45;34;37;19;76;53;57;36;68;61;66;42;36;42;53;57;61;66;68;76
39;31;26;18;38;9;73;37;53;23;64;32;52;9;9;23;32;37;52;53;64;73
29;0;12;42;39;19;58;35;24;3;35;23;69;54;3;23;24;35;35;54;58;69
9;32;25;16;33;40;34;38;58;56;57;61;45;54;34;38;45;54;56;57;58;61
0;10;43;4;37;27;36;21;47;30;74;58;39;11;11;21;30;36;39;47;58;74
39;49;8;9;49;21;77;45;97;59;49;29;40;17;17;29;40;45;49;59;77;97
15;29;23;22;15;19;24;20;26;35;32;38;33;34;20;24;26;32;33;34;35;38
7;26;3;4;18;8;17;13;39;26;8;9;7;10;7;8;9;10;13;17;26;39
10;16;29;49;23;6;17;12;37;2;39;23;62;50;2;12;17;23;37;39;50;62
18;31;32;34;7;3;23;8;18;16;32;17;35;27;8;16;17;18;23;27;32;35
29;0;46;33;47;39;68;54;42;36;75;71;61;71;36;42;54;61;68;71;71;75
47;28;39;30;33;20;70;67;58;48;54;51;59;43;43;48;51;54;58;59;67;70
4;15;2;18;38;24;35;17;53;21;34;11;37;24;11;17;21;24;34;35;37;53
25;35;49;33;30;46;42;69;62;66;70;93;54;74;42;54;62;66;69;70;74;93
47;3;15;22;32;21;71;54;26;24;46;36;48;41;24;26;36;41;46;48;54;71
10;45;47;14;34;49;29;54;60;79;80;93;29;53;29;29;53;54;60;79;80;93
39;1;14;4;48;15;72;50;36;12;44;18;42;1;1;12;18;36;42;44;50;72
34;11;26;18;5;3;19;22;12;4;22;23;7;7;4;7;7;12;19;22;22;23
17;17;2;2;26;19;34;35;29;28;23;5;19;17;5;17;19;23;28;29;34;35
10;42;11;44;35;37;36;42;70;73;26;28;61;68;26;28;36;42;61;68;70;73
7;23;36;5;10;47;-1;37;30;59;30;71;15;45;-1;15;30;30;37;45;59;71
43;20;3;19;43;48;86;85;44;68;41;45;60;53;41;44;45;53;60;68;85;86
34;48;22;26;46;42;64;71;90;73;48;48;62;65;48;48;62;64;65;71;73;90
26;10;4;34;7;8;20;28;10;7;0;1;34;23;0;1;7;10;20;23;28;34
40;22;15;43;39;9;76;40;60;25;52;9;76;47;9;25;40;47;52;60;76;76
14;22;34;0;49;20;46;25;55;30;75;36;38;18;18;25;30;36;38;46;55;75
36;20;26;39;43;16;76;50;61;34;51;22;77;47;22;34;47;50;51;61;76;77
17;26;48;47;33;17;43;14;44;42;80;60;68;46;14;42;43;44;46;60;68;80
28;3;23;11;36;25;56;37;33;9;50;33;41;28;9;28;33;33;37;41;50;56
11;31;33;24;42;13;52;15;62;27;72;28;57;33;15;27;28;33;52;57;62;72
20;29;46;12;22;19;28;25;31;30;56;64;17;19;17;19;25;28;30;31;56;64
35;38;1;27;46;29;70;46;73;61;33;30;59;51;30;33;46;51;59;61;70;73
37;28;5;25;16;37;44;61;32;58;18;27;39;53;18;27;32;39;44;53;58;61
23;24;41;41;38;4;49;7;53;8;63;28;64;37;7;8;28;37;49;53;63;64
46;42;45;42;31;24;66;52;71;53;71;58;58;54;52;53;54;58;58;66;71;71
26;18;48;49;13;42;35;66;18;45;46;72;59;71;18;35;45;46;59;66;71;72
32;38;15;31;48;19;75;40;84;39;44;27;72;37;27;37;39;40;44;72;75;84
48;37;21;32;47;9;80;53;81;34;61;14;70;27;14;27;34;53;61;70;80;81
20;25;25;38;46;41;47;59;60;66;65;60;78;78;47;59;60;60;65;66;78;78
1;25;44;38;9;26;5;25;16;39;39;54;34;47;5;16;25;34;39;39;47;54
37;5;20;27;11;11;44;43;-4;6;20;11;25;19;-4;6;11;19;20;25;43;44
10;11;3;40;40;44;32;38;40;50;37;27;66;83;27;32;37;38;40;50;66;83
1;35;36;18;10;37;-6;25;26;54;32;65;18;46;-6;18;25;26;32;46;54;65
24;22;33;8;1;19;16;36;18;25;19;50;3;16;3;16;16;18;19;25;36;50
14;17;35;23;19;41;15;39;18;50;42;63;26;60;15;18;26;39;42;50;60;63
0;34;9;25;42;4;36;-15;71;26;34;-3;54;25;-15;-3;25;26;34;36;54;71
9;47;46;42;43;8;52;-2;79;45;87;44;70;48;-2;44;45;48;52;70;79;87
34;15;35;16;37;46;54;61;38;60;59;63;41;51;38;41;51;54;59;60;61;63
18;13;32;46;33;27;46;40;45;31;45;59;62;62;31;40;45;45;46;59;62;62
11;38;47;36;24;36;19;28;48;60;60;75;51;62;19;28;48;51;60;60;62;75
39;11;24;15;29;20;62;41;36;19;41;38;31;24;19;24;31;36;38;41;41;62
26;13;14;1;26;49;45;56;32;49;39;61;16;34;16;32;34;39;45;49;56;61
35;35;41;22;5;15;34;33;23;40;44;48;22;22;22;22;23;33;34;40;44;48
40;22;32;9;2;10;41;34;21;13;21;40;-8;13;-8;13;13;21;21;34;40;41
15;47;9;28;30;46;37;49;65;82;31;42;54;64;31;37;42;49;54;64;65;82
27;27;27;20;47;25;56;39;65;42;55;37;52;35;35;37;39;42;52;55;56;65
37;40;38;44;11;35;33;72;42;61;34;66;39;72;33;34;39;42;61;66;72;72
29;48;46;46;22;32;46;58;65;66;56;78;63;64;46;56;58;63;64;65;66;78
27;43;8;23;26;35;38;56;61;59;30;34;36;52;30;34;36;38;52;56;59;61
45;43;10;16;29;18;61;56;55;45;19;13;42;30;13;19;30;42;45;55;56;61
19;40;43;18;48;19;56;18;76;59;71;58;58;36;18;36;56;58;58;59;71;76
23;22;18;38;24;48;34;65;28;55;37;49;50;79;28;34;37;49;50;55;65;79
8;39;36;19;38;15;41;6;76;35;55;31;57;21;6;21;31;35;41;55;57;76
6;26;46;12;25;9;19;13;42;24;67;35;22;13;13;13;19;22;24;35;42;67
29;48;25;49;21;30;35;40;68;59;33;52;64;64;33;35;40;52;59;64;64;68
36;37;2;16;15;29;51;65;44;60;1;24;23;38;1;23;24;38;44;51;60;65
17;12;40;24;38;39;40;38;33;34;63;75;55;53;33;34;38;40;53;55;63;75
4;10;37;47;23;25;20;10;17;24;42;52;65;65;10;17;20;24;42;52;65;65
22;24;39;13;30;29;50;37;42;36;55;58;25;28;25;28;36;37;42;50;55;58
27;41;39;1;6;48;25;72;36;78;44;68;-7;45;-7;25;36;44;45;68;72;78
34;38;20;1;26;8;52;23;44;43;44;13;18;3;3;13;18;23;43;44;44;52
38;17;29;4;34;39;61;76;51;48;48;50;35;29;29;35;48;48;50;51;61;76
25;7;36;24;35;13;48;31;29;18;66;42;57;31;18;29;31;31;42;48;57;66
35;7;19;18;12;41;41;65;8;48;17;57;29;43;8;17;29;41;43;48;57;65
47;16;28;8;11;43;46;89;24;52;30;61;13;31;13;24;30;31;46;52;61;89
24;28;7;42;12;25;35;35;34;41;19;20;48;56;19;20;34;35;35;41;48;56
43;28;6;48;4;31;36;66;25;55;-2;32;40;62;-2;25;32;36;40;55;62;66
9;23;38;35;16;16;5;10;36;31;35;48;39;49;5;10;31;35;36;39;48;49
41;11;46;48;4;39;36;75;12;49;35;76;42;77;12;35;36;42;49;75;76;77
12;45;18;48;22;0;19;-1;54;42;38;9;51;30;-1;9;19;30;38;42;51;54
35;6;41;47;44;8;62;30;35;14;75;32;81;46;14;30;32;35;46;62;75;81
34;48;16;44;32;40;55;74;80;88;29;40;74;64;29;40;55;64;74;74;80;88
47;38;48;6;5;39;48;68;23;58;37;76;-8;32;-8;23;32;37;48;58;68;76
33;19;22;4;12;26;44;41;12;34;30;39;2;10;2;10;12;30;34;39;41;44
13;37;14;13;8;46;13;54;32;72;9;51;20;59;9;13;20;32;51;54;59;72
13;25;3;7;19;9;21;21;42;19;9;12;26;5;5;9;12;19;21;21;26;42
28;13;17;12;22;17;50;35;22;27;25;28;22;11;11;22;22;25;27;28;35;50
17;25;10;49;39;37;38;46;49;61;41;36;83;84;36;38;41;46;49;61;83;84
39;2;6;10;16;38;41;58;2;38;18;37;14;43;2;14;18;37;38;41;43;58
27;15;47;42;38;11;60;26;38;15;70;44;73;37;15;26;37;38;44;60;70;73
43;15;26;7;15;35;38;78;27;44;34;50;19;26;19;26;27;34;38;44;50;78
27;41;48;16;32;3;44;14;56;43;70;31;43;5;5;14;31;43;43;44;56;70
22;42;2;21;13;18;20;37;44;45;-1;17;23;38;-1;17;20;23;37;38;44;45
23;7;25;6;18;30;24;45;5;24;39;42;5;21;5;5;21;24;24;39;42;45
18;49;22;20;11;41;12;41;54;84;23;59;27;57;12;23;27;41;54;57;59;84
27;37;34;32;37;49;61;74;70;74;58;77;57;78;57;58;61;70;74;74;77;78
35;26;16;32;42;28;74;54;55;48;55;33;63;50;33;48;50;54;55;55;63;74
21;38;10;45;48;1;62;21;81;29;45;-3;73;42;-3;21;29;42;45;62;73;81
45;37;5;14;27;9;70;51;54;34;26;3;34;4;3;4;26;34;34;51;54;70
37;31;26;8;34;16;61;33;60;32;46;24;36;6;6;24;32;33;36;46;60;61
31;2;38;18;27;44;50;57;10;37;52;69;38;54;10;37;38;50;52;54;57;69
29;7;42;34;25;15;36;36;19;22;60;39;42;35;19;22;35;36;36;39;42;60
10;35;28;39;8;22;13;12;38;45;30;32;45;59;12;13;30;32;38;45;45;59
27;17;49;22;8;31;26;51;18;35;55;65;23;47;18;23;26;35;47;51;55;65
22;31;32;5;2;42;8;45;25;60;26;64;-10;45;-10;8;25;26;45;45;60;64
9;6;46;8;18;18;9;21;23;16;44;53;19;17;9;16;17;19;21;23;44;53
42;39;12;9;17;46;58;80;53;77;13;50;8;45;8;13;45;50;53;58;77;80
7;43;9;2;10;47;1;50;39;76;16;55;1;33;1;1;16;33;39;50;55;76
2;23;27;21;16;15;4;4;35;29;43;37;28;34;4;4;28;29;34;35;37;43
18;45;41;20;37;18;55;17;77;51;72;59;53;36;17;36;51;53;55;59;72;77
7;48;5;11;24;24;25;30;61;65;22;15;18;28;15;18;22;25;28;30;61;65
2;0;42;26;46;34;43;31;29;17;77;56;69;49;17;29;31;43;49;56;69;77
