q0p0;q0p1;q0p2;q0p3;q1p0;q1p1;q1p2;q1p3;s[0, 4];s[0, 5];s[0, 6];s[0, 7];s[1, 4];s[1, 5];s[1, 6];s[1, 7];s[2, 4];s[2, 5];s[2, 6];s[2, 7];s[3, 4];s[3, 5];s[3, 6];s[3, 7];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11;cost_ranking 12;cost_ranking 13;cost_ranking 14;cost_ranking 15
35;38;21;4;48;19;26;17;69;51;43;52;71;40;50;41;58;37;32;23;40;12;18;10;10;12;18;23;32;37;40;40;41;43;50;51;52;58;69;71
1;49;48;21;22;41;30;3;13;34;12;-14;53;83;65;35;52;80;61;38;38;50;33;17;-14;12;13;17;33;34;35;38;38;50;52;53;61;65;80;83
0;15;8;45;31;46;27;45;30;33;16;25;38;57;22;52;34;34;22;36;73;88;72;74;16;22;22;25;30;33;34;34;36;38;52;57;72;73;74;88
13;37;29;42;35;32;31;31;30;30;25;35;67;52;61;54;45;60;40;57;64;54;69;53;25;30;30;35;40;45;52;53;54;54;57;60;61;64;67;69
2;27;12;48;29;1;2;21;20;-13;-15;13;45;8;26;31;41;5;-1;28;77;40;43;63;-15;-13;-1;5;8;13;20;26;28;31;40;41;43;45;63;77
4;33;42;35;5;26;30;16;7;15;20;5;27;46;51;37;33;53;67;51;31;54;52;44;5;7;15;20;27;31;33;37;44;46;51;51;52;53;54;67
6;19;49;14;14;5;39;7;14;-3;40;10;25;4;46;7;46;53;70;42;12;5;53;11;-3;4;5;7;10;11;12;14;25;40;42;46;46;53;53;70
5;10;49;49;18;23;9;14;22;21;-4;7;12;32;17;18;65;62;49;54;60;68;58;61;-4;7;12;17;18;21;22;32;49;54;58;60;61;62;65;68
14;1;32;30;30;16;42;4;36;15;54;6;29;7;38;1;47;40;54;34;51;42;54;22;1;6;7;15;22;29;34;36;38;40;42;47;51;54;54;54
22;20;27;44;29;43;10;34;38;65;18;46;36;58;10;47;53;62;18;49;64;83;47;62;10;18;18;36;38;46;47;47;49;53;58;62;62;64;65;83
26;27;26;49;8;25;15;16;33;48;36;30;22;40;26;33;15;42;39;38;57;55;63;54;15;22;26;30;33;33;36;38;39;40;42;48;54;55;57;63
42;18;40;10;29;5;28;47;54;27;61;82;33;15;37;54;52;45;64;84;25;1;22;56;1;15;22;25;27;33;37;45;52;54;54;56;61;64;82;84
22;46;31;23;44;17;27;35;63;24;35;38;84;47;70;70;70;48;48;65;50;22;38;52;22;24;35;38;38;47;48;48;50;52;63;65;70;70;70;84
43;36;18;26;15;16;40;3;54;55;67;35;41;52;67;25;32;15;55;10;39;39;66;26;10;15;25;26;32;35;39;39;41;52;54;55;55;66;67;67
34;0;27;30;16;14;26;23;50;44;48;48;-1;0;14;9;37;29;36;33;32;44;41;34;-1;0;9;14;29;32;33;34;36;37;41;44;44;48;48;50
32;37;20;10;13;11;45;42;34;42;57;71;39;37;72;79;25;13;65;55;17;13;55;51;13;13;17;25;34;37;39;42;51;55;55;57;65;71;72;79
31;39;14;40;3;32;40;13;15;50;67;29;36;52;76;40;11;28;42;20;34;70;80;33;11;15;20;28;29;33;34;36;40;42;50;52;67;70;76;80
18;26;31;13;36;24;11;31;48;39;12;35;49;41;37;38;51;50;30;54;34;35;22;32;12;22;30;32;34;35;35;37;38;39;41;48;49;50;51;54
13;39;45;31;17;23;6;12;27;33;16;24;54;42;26;43;49;60;51;42;45;41;33;32;16;24;26;27;32;33;33;41;42;42;43;45;49;51;54;60
49;27;42;5;23;1;23;15;68;39;55;44;39;13;48;26;62;34;49;44;15;-8;27;13;-8;13;13;15;26;27;34;39;39;44;44;48;49;55;62;68
21;23;20;48;36;15;41;47;47;27;51;58;48;37;58;58;45;28;45;50;78;52;89;78;27;28;37;45;45;47;48;50;51;52;58;58;58;78;78;89
48;22;26;4;21;18;45;18;60;48;73;54;30;23;53;27;38;44;53;42;23;10;40;19;10;19;23;23;27;30;38;40;42;44;48;53;53;54;60;73
11;36;26;35;43;15;46;42;46;13;54;40;69;40;63;76;53;28;67;66;68;34;78;75;13;28;34;40;40;46;53;54;63;66;67;68;69;75;76;78
18;9;49;38;3;16;22;14;2;30;40;14;11;10;16;9;35;60;58;61;26;36;51;46;2;9;10;11;14;16;26;30;35;36;40;46;51;58;60;61
1;29;25;21;4;26;41;19;-11;12;31;16;17;46;58;48;17;51;55;31;5;44;51;25;-11;5;12;16;17;17;25;31;31;44;46;48;51;51;55;58
36;25;0;44;39;16;5;8;62;42;36;36;54;29;22;32;39;-2;-5;-6;69;53;33;35;-6;-5;-2;22;29;32;33;35;36;36;39;42;53;54;62;69
9;9;10;32;29;40;12;7;26;35;3;-3;23;31;16;16;37;36;3;12;41;63;39;24;-3;3;3;12;16;16;23;24;26;31;35;36;37;39;41;63
41;17;2;17;26;46;28;43;51;67;66;71;41;51;40;51;24;43;28;28;24;54;39;60;24;24;28;28;39;40;41;43;51;51;51;54;60;66;67;71
9;21;9;5;14;12;37;27;10;14;30;36;33;21;51;37;4;15;26;26;10;17;29;13;4;10;10;13;14;15;17;21;26;26;29;30;33;36;37;51
5;31;18;30;46;32;5;3;34;19;-4;0;76;54;29;25;46;48;11;18;57;57;18;27;-4;0;11;18;18;19;25;27;29;34;46;48;54;57;57;76
14;34;0;7;8;5;13;35;12;11;26;40;42;35;34;55;-7;-8;6;16;-5;4;17;30;-8;-7;-5;4;6;11;12;16;17;26;30;34;35;40;42;55
39;46;37;4;26;10;41;32;49;31;79;69;63;45;74;59;47;35;78;61;25;7;42;17;7;17;25;31;35;42;45;47;49;59;61;63;69;74;78;79
10;18;36;7;3;36;47;43;10;43;57;45;17;34;61;44;34;56;68;68;4;41;42;46;4;10;17;34;34;41;42;43;44;45;46;56;57;61;68;68
41;17;15;16;30;0;25;23;55;38;49;51;41;10;35;39;45;8;24;37;34;4;36;25;4;8;10;24;25;34;35;36;37;38;39;41;45;49;51;55
47;1;31;37;9;30;4;17;36;67;45;52;1;14;-7;15;35;61;22;37;45;52;23;50;-7;1;14;15;22;23;35;36;37;45;45;50;52;52;61;67
45;28;5;11;18;9;19;34;61;53;45;69;35;24;30;51;9;5;17;22;23;20;27;27;5;9;17;20;22;23;24;27;27;30;35;45;51;53;61;69
22;23;26;31;34;0;2;37;43;12;5;51;55;6;12;41;52;14;14;46;49;11;19;66;5;6;11;12;12;14;14;19;41;43;46;49;51;52;55;66
2;32;31;12;20;22;25;16;7;17;23;8;39;50;50;34;48;34;37;28;27;15;33;17;7;8;15;17;17;23;27;28;33;34;34;37;39;48;50;50
33;13;15;48;15;27;42;28;44;41;65;41;26;20;40;26;19;41;50;42;56;72;80;64;19;20;26;26;40;41;41;41;42;44;50;56;64;65;72;80
10;37;11;36;42;19;4;26;52;26;-4;17;68;44;34;52;51;25;9;18;58;40;40;44;-4;9;17;18;25;26;34;40;40;44;44;51;52;52;58;68
25;19;12;3;14;18;10;38;35;30;16;54;29;35;13;50;6;30;11;40;-2;16;-2;31;-2;-2;6;11;13;16;16;29;30;30;31;35;35;40;50;54
23;17;12;14;43;25;1;31;65;48;8;48;42;32;9;40;35;34;10;43;46;30;-1;35;-1;8;9;10;30;32;34;35;35;40;42;43;46;48;48;65
15;13;6;1;45;37;36;34;43;42;51;37;49;35;49;27;46;40;33;28;28;37;34;28;27;28;28;28;33;34;35;37;37;40;42;43;46;49;49;51
40;24;13;15;21;38;42;33;59;69;75;63;40;59;53;57;24;44;38;26;26;50;44;34;24;26;26;34;38;40;44;44;50;53;57;59;59;63;69;75
31;36;16;10;40;38;46;14;58;60;72;42;65;68;81;32;38;39;47;18;46;38;56;13;13;18;32;38;38;39;42;46;47;56;58;60;65;68;72;81
2;4;20;18;46;23;5;7;48;15;-3;7;30;18;7;3;51;27;22;8;45;22;5;17;-3;3;5;7;7;8;15;17;18;22;22;27;30;45;48;51
41;31;28;30;45;0;21;25;71;21;45;64;65;24;39;54;66;12;46;33;73;20;49;42;12;20;21;24;33;39;42;45;46;49;54;64;65;66;71;73
22;15;23;10;39;49;17;2;57;55;35;17;47;53;21;2;51;52;22;5;35;48;11;-5;-5;2;5;11;17;21;22;35;35;47;48;51;52;53;55;57
46;7;38;3;47;7;14;13;78;47;47;52;42;5;6;19;85;25;32;47;37;-2;7;-3;-3;-2;5;6;7;19;25;32;37;42;47;47;47;52;78;85
0;47;16;16;7;18;20;43;7;1;8;41;52;60;57;87;3;25;29;39;10;19;27;41;1;3;7;8;10;19;25;27;29;39;41;41;52;57;60;87
45;41;31;9;16;36;43;9;43;65;87;39;46;69;72;50;43;62;60;37;15;44;46;1;1;15;37;39;43;43;44;46;46;50;60;62;65;69;72;87
0;30;2;42;47;3;36;1;38;-1;16;-2;76;26;66;18;33;2;20;0;71;43;66;34;-2;-1;0;2;16;18;20;26;33;34;38;43;66;66;71;76
44;46;47;42;36;20;37;49;71;55;74;76;79;55;63;89;69;53;67;78;63;46;66;88;46;53;55;55;63;63;66;67;69;71;74;76;78;79;88;89
43;49;44;12;28;15;37;6;60;43;74;45;70;44;69;55;72;48;75;41;38;23;40;-2;-2;23;38;40;41;43;44;45;48;55;60;69;70;72;74;75
2;47;0;22;8;33;33;22;-5;34;23;4;39;75;79;61;-1;22;22;2;27;38;48;31;-5;-1;2;4;22;22;23;27;31;34;38;39;48;61;75;79
49;34;28;27;24;10;37;21;60;52;66;63;46;33;56;52;38;24;49;31;47;35;63;39;24;31;33;35;38;39;46;47;49;52;52;56;60;63;63;66
39;10;40;4;7;5;18;8;26;36;57;39;7;3;10;5;33;32;46;39;-1;0;22;-5;-5;-1;0;3;5;7;10;22;26;32;33;36;39;39;46;57
43;30;33;39;45;35;38;27;82;61;74;62;70;54;48;47;71;64;54;50;81;58;59;52;47;48;50;52;54;54;58;59;61;62;64;70;71;74;81;82
45;41;30;44;48;45;43;2;83;85;83;44;75;86;72;32;70;56;59;18;74;74;87;46;18;32;44;46;56;59;70;72;74;74;75;83;83;85;86;87
20;38;31;8;48;38;21;4;66;57;23;14;86;58;42;25;70;62;45;30;36;32;11;-2;-2;11;14;23;25;30;32;36;42;45;57;58;62;66;70;86
27;48;3;42;2;44;8;8;23;61;17;27;43;79;40;53;0;44;7;5;38;72;43;30;0;5;7;17;23;27;30;38;40;43;43;44;53;61;72;79
14;35;30;8;4;7;30;32;13;18;42;45;34;26;51;47;20;22;48;50;-1;-3;23;39;-3;-1;13;18;20;22;23;26;34;39;42;45;47;48;50;51
39;41;35;45;25;17;45;23;47;56;79;61;48;45;81;49;59;40;74;51;56;53;70;63;40;45;47;48;49;51;53;56;56;59;61;63;70;74;79;81
41;26;24;32;12;29;32;30;46;65;60;62;23;39;40;44;22;35;55;52;31;43;54;52;22;23;31;35;39;40;43;44;46;52;52;54;55;60;62;65
3;5;17;33;43;12;8;8;33;5;6;-2;39;16;5;13;41;27;14;20;75;39;33;24;-2;5;5;6;13;14;16;20;24;27;33;33;39;39;41;75
27;41;30;11;37;16;40;3;60;35;49;12;61;54;67;33;51;37;57;31;42;15;31;1;1;12;15;31;31;33;35;37;42;49;51;54;57;60;61;67
35;49;43;21;17;7;2;43;41;33;29;73;62;41;38;76;48;30;37;86;20;23;10;46;10;20;23;29;30;33;37;38;41;41;46;48;62;73;76;86
20;35;22;47;27;7;42;19;46;23;62;25;55;41;69;36;47;28;58;21;58;49;73;56;21;23;25;28;36;41;46;47;49;55;56;58;58;62;69;73
44;5;42;41;37;10;16;36;80;42;56;75;29;1;17;30;76;41;39;61;76;40;46;67;1;17;29;30;39;40;41;42;46;56;61;67;75;76;76;80
19;0;4;32;25;8;36;42;30;13;49;57;9;4;26;38;27;5;40;30;46;22;52;62;4;5;9;13;22;26;27;30;30;38;40;46;49;52;57;62
36;20;24;32;35;16;0;22;53;43;28;55;46;20;12;25;51;29;18;42;62;42;32;43;12;18;20;25;28;29;32;42;42;43;43;46;51;53;55;62
1;9;8;34;26;46;13;30;21;27;1;30;32;46;6;31;23;44;8;22;44;68;28;63;1;6;8;21;22;23;27;28;30;31;32;44;44;46;63;68
11;15;11;22;42;21;14;15;51;24;15;10;46;27;9;19;33;20;25;15;44;27;31;36;9;10;15;15;19;20;24;25;27;27;31;33;36;44;46;51
11;2;27;11;4;34;14;23;2;28;5;34;-11;25;14;8;21;55;37;42;-4;39;7;28;-11;-4;2;5;7;8;14;21;25;28;28;34;37;39;42;55
45;45;37;26;31;36;45;48;75;75;72;86;59;74;85;73;54;70;70;77;44;58;63;58;44;54;58;58;59;63;70;70;72;73;74;75;75;77;85;86
46;19;25;11;49;28;7;7;91;66;46;38;64;40;23;15;72;45;15;15;43;28;12;13;12;13;15;15;15;23;28;38;40;43;45;46;64;66;72;91
4;0;23;24;20;20;16;27;21;18;13;20;5;8;-4;27;30;24;34;39;28;31;37;37;-4;5;8;13;18;20;21;24;27;28;30;31;34;37;37;39
31;1;47;39;17;21;10;29;44;47;37;41;12;3;4;24;60;68;49;75;47;51;34;49;3;4;12;24;34;37;41;44;47;47;49;49;51;60;68;75
33;8;15;39;27;29;33;40;46;61;46;73;31;23;37;46;23;36;30;36;60;49;65;59;23;23;30;31;36;36;37;46;46;46;49;59;60;61;65;73
29;3;11;10;32;38;8;0;59;58;36;25;30;38;-6;-1;31;38;17;4;30;48;5;-7;-7;-6;-1;4;5;17;25;30;30;31;36;38;38;48;58;59
7;17;15;18;38;14;9;2;43;2;14;-9;51;29;7;-1;44;12;5;-1;56;25;16;13;-9;-1;-1;2;5;7;12;13;14;16;25;29;43;44;51;56
10;14;15;29;22;33;22;1;27;32;13;9;33;45;26;15;31;45;17;1;51;58;51;25;1;9;13;15;17;25;26;27;31;32;33;45;45;51;51;58
29;4;2;24;5;23;26;21;25;51;37;38;-4;9;15;9;-6;6;21;20;25;45;47;29;-6;-4;6;9;9;15;20;21;25;25;29;37;38;45;47;51
2;31;16;9;26;45;35;34;15;28;34;32;38;73;46;64;40;60;46;31;20;36;41;31;15;20;28;31;31;32;34;36;38;40;41;46;46;60;64;73
2;29;49;24;14;14;36;45;5;0;27;41;43;36;63;68;49;52;69;93;38;35;60;63;0;5;27;35;36;38;41;43;49;52;60;63;63;68;69;93
3;16;36;17;32;39;6;16;24;29;-4;-1;28;43;10;20;52;58;37;32;42;52;6;13;-4;-1;6;10;13;20;24;28;29;32;37;42;43;52;52;58
24;45;12;18;49;41;20;12;63;51;34;34;88;72;54;38;45;38;32;7;49;47;26;11;7;11;26;32;34;34;38;38;45;47;49;51;54;63;72;88
40;37;7;46;44;22;44;27;66;47;70;57;72;42;72;51;39;29;46;30;87;53;76;66;29;30;39;42;46;47;51;53;57;66;66;70;72;72;76;87
4;17;1;31;27;46;30;43;14;46;24;45;40;48;38;50;21;35;19;25;52;73;61;60;14;19;21;24;25;35;38;40;45;46;48;50;52;60;61;73
31;48;12;10;40;19;0;20;62;34;24;41;88;60;43;65;39;14;6;20;50;14;-2;16;-2;6;14;14;16;20;24;34;39;41;43;50;60;62;65;88
19;37;10;31;16;8;21;9;15;26;36;22;34;31;38;39;20;9;19;14;35;22;45;25;9;14;15;19;20;22;22;25;26;31;34;35;36;38;39;45
33;37;42;22;26;19;17;6;58;32;38;24;46;46;50;37;56;60;43;41;42;25;39;15;15;24;25;32;37;38;39;41;42;43;46;46;50;56;58;60
20;4;31;38;32;17;11;3;50;24;15;23;33;10;-4;-4;47;37;23;30;52;38;39;24;-4;-4;10;15;23;23;24;24;30;33;37;38;39;47;50;52
13;16;6;29;32;42;28;11;43;54;35;18;34;46;29;14;26;31;32;6;42;61;39;22;6;14;18;22;26;29;31;32;34;35;39;42;43;46;54;61
46;26;0;46;25;5;48;7;60;36;85;47;44;17;57;24;17;-15;45;6;70;49;79;36;-15;6;17;17;24;36;36;44;45;47;49;57;60;70;79;85
1;1;0;46;30;48;36;16;27;45;36;12;26;33;28;2;23;32;27;5;68;83;79;58;2;5;12;23;26;27;27;28;32;33;36;45;58;68;79;83
18;10;36;17;21;18;47;0;36;18;54;-2;16;18;49;5;53;37;68;19;31;22;46;3;-2;3;5;16;18;18;19;22;31;36;37;46;49;53;54;68
33;5;36;7;37;34;29;46;52;55;58;76;36;34;22;50;63;70;51;68;25;32;27;43;22;25;27;32;34;36;43;50;51;52;55;58;63;68;70;76
0;32;10;14;28;11;39;38;15;10;36;31;56;33;69;61;27;20;33;36;37;6;48;32;6;10;15;20;27;31;32;33;33;36;36;37;48;56;61;69
14;25;18;42;3;48;40;14;8;60;37;14;27;65;47;36;18;63;52;29;40;80;79;55;8;14;18;27;29;36;37;40;47;52;55;60;63;65;79;80
3;36;30;16;8;25;5;34;5;9;-4;32;28;42;30;60;38;37;22;48;20;27;13;45;-4;5;9;13;20;22;27;28;30;32;37;38;42;45;48;60
40;24;49;28;47;6;35;7;77;44;60;41;59;10;43;19;92;46;67;38;63;21;46;31;10;19;21;31;38;41;43;44;46;46;59;60;63;67;77;92
44;34;7;41;14;45;17;39;47;88;45;73;44;62;51;67;7;32;15;41;48;77;43;69;7;15;32;41;43;44;45;47;48;51;62;67;69;73;77;88
38;36;16;8;6;33;22;36;36;71;57;54;29;61;39;67;11;45;35;40;7;26;17;44;7;11;17;26;29;35;36;39;40;44;45;54;57;61;67;71
13;40;34;49;2;39;10;42;4;36;3;36;23;77;41;63;36;56;37;65;36;70;56;88;3;4;23;36;36;36;36;37;41;56;56;63;65;70;77;88
17;18;29;48;20;1;10;25;24;17;14;42;30;18;10;25;37;26;29;40;64;38;51;72;10;14;17;18;24;25;26;29;30;37;38;40;42;51;64;72
34;38;37;36;20;22;22;9;42;48;47;29;49;50;44;42;57;47;40;33;53;38;40;45;29;33;38;40;40;42;42;44;45;47;47;48;49;50;53;57
19;27;41;10;14;28;14;16;32;33;21;26;35;36;38;38;48;65;38;57;23;23;21;21;21;21;21;23;23;26;32;33;35;36;38;38;38;48;57;65
16;44;30;38;20;20;12;35;20;34;24;51;61;58;42;69;31;46;39;63;45;57;44;60;20;24;31;34;39;42;44;45;46;51;57;58;60;61;63;69
14;16;24;21;18;30;26;14;26;30;24;14;34;28;36;19;34;42;46;37;23;41;32;29;14;19;23;24;26;28;29;30;32;34;34;36;37;41;42;46
19;18;46;27;19;49;46;29;20;54;50;44;29;61;52;34;51;78;85;55;36;73;54;46;20;29;34;36;44;46;50;51;52;54;54;55;61;73;78;85
45;29;7;7;24;26;12;38;59;59;40;70;34;53;22;65;18;14;3;30;31;29;6;43;3;6;14;18;22;29;30;31;34;40;43;53;59;59;65;70
28;26;48;45;24;13;26;0;32;36;43;24;45;30;42;22;70;52;73;34;66;47;60;34;22;24;30;32;34;34;36;42;43;45;47;52;60;66;70;73
12;9;13;28;29;0;21;37;41;10;18;39;32;-1;29;35;34;5;31;35;39;24;37;64;-1;5;10;18;24;29;31;32;34;35;35;37;39;39;41;64
44;42;36;0;17;1;36;11;43;44;76;44;54;38;68;40;49;35;56;43;7;-17;23;-4;-17;-4;7;23;35;38;40;43;43;44;44;49;54;56;68;76
26;42;16;14;46;48;33;5;61;62;59;20;77;76;61;34;51;54;32;10;53;58;33;5;5;10;20;32;33;34;51;53;54;58;59;61;61;62;76;77
14;45;17;44;21;30;1;37;28;30;1;33;66;57;27;66;18;32;14;39;62;57;41;66;1;14;18;27;28;30;32;33;39;41;57;57;62;66;66;66
37;0;1;0;34;10;46;26;67;33;67;58;30;-3;30;26;27;2;33;14;20;-2;44;22;-3;-2;2;14;20;22;26;27;30;30;33;33;44;58;67;67
27;16;17;24;45;30;24;3;58;55;36;13;43;28;30;7;45;42;21;2;65;39;47;11;2;7;11;13;21;28;30;36;39;42;43;45;47;55;58;65
31;38;9;18;8;49;2;39;22;66;15;62;35;70;27;72;11;48;-6;45;17;61;9;43;-6;9;11;15;17;22;27;35;43;45;48;61;62;66;70;72
38;31;43;48;3;22;12;40;26;49;37;73;29;35;32;55;39;61;46;72;40;60;57;73;26;29;32;35;37;39;40;46;49;55;57;60;61;72;73;73
16;44;36;3;41;26;40;42;56;30;44;39;69;55;64;69;67;61;68;58;38;28;42;37;28;30;37;38;39;42;44;55;56;58;61;64;67;68;69;69
10;6;18;21;37;16;43;44;38;13;40;48;42;5;45;43;55;32;41;48;47;31;64;57;5;13;31;32;38;40;41;42;43;45;47;48;48;55;57;64
27;12;31;7;28;14;4;6;37;39;16;20;37;20;-3;0;45;34;16;20;26;7;8;-6;-6;-3;0;7;8;16;16;20;20;20;26;34;37;37;39;45
45;25;29;22;37;39;7;15;63;74;50;57;57;57;28;21;51;50;21;41;48;42;18;33;18;21;21;28;33;41;42;48;50;50;51;57;57;57;63;74
40;4;33;46;1;48;41;2;40;79;70;41;-13;34;45;5;16;77;54;34;44;78;77;28;-13;5;16;28;34;34;40;41;44;45;54;70;77;77;78;79
9;3;2;5;14;4;4;2;16;12;12;6;8;-10;6;3;-3;2;-2;-2;2;-8;-9;-12;-12;-10;-9;-8;-3;-2;-2;2;2;3;6;6;8;12;12;16
22;47;15;27;43;6;42;22;62;25;64;31;77;52;73;50;51;1;43;19;68;28;60;43;1;19;25;28;31;43;43;50;51;52;60;62;64;68;73;77
21;14;35;46;3;12;33;25;15;33;48;44;15;23;30;34;20;32;49;59;40;45;78;64;15;15;20;23;30;32;33;34;40;44;45;48;49;59;64;78
42;35;41;0;46;25;13;15;80;55;51;51;77;45;30;39;82;65;51;56;30;6;10;7;6;7;10;30;30;39;45;51;51;51;55;56;65;77;80;82
34;9;39;44;28;25;3;34;46;58;17;51;19;34;4;39;52;62;25;66;58;52;30;76;4;17;19;25;30;34;39;46;51;52;52;58;58;62;66;76
30;3;49;23;32;35;34;7;53;56;62;17;15;36;28;8;80;77;83;43;35;43;38;11;8;11;15;17;28;35;36;38;43;43;53;56;62;77;80;83
27;39;9;14;37;43;3;9;62;65;29;33;57;70;22;41;31;36;7;8;42;44;7;6;6;7;7;8;22;29;31;33;36;41;42;44;57;62;65;70
38;31;0;12;41;11;43;4;74;44;74;29;68;30;61;31;36;-7;36;-10;45;5;43;2;-10;-7;2;5;29;30;31;36;36;43;44;45;61;68;74;74
35;13;6;38;29;21;47;31;56;51;65;54;28;27;60;41;26;12;44;37;50;39;76;64;12;26;27;28;37;39;41;44;50;51;54;56;60;64;65;76
1;47;22;8;26;8;23;41;13;0;15;37;64;38;67;70;35;13;42;56;27;16;17;32;0;13;13;15;16;17;27;32;35;37;38;42;56;64;67;70
20;25;40;7;27;6;25;21;32;20;45;39;40;24;31;36;48;32;65;54;31;-6;28;24;-6;20;24;24;28;31;31;32;32;36;39;40;45;48;54;65
24;7;6;1;18;29;44;32;25;48;54;40;6;26;47;34;24;15;30;22;16;25;39;26;6;15;16;22;24;25;25;26;26;30;34;39;40;47;48;54
23;33;38;37;46;7;15;28;60;18;30;38;79;36;44;52;64;36;40;47;70;29;35;53;18;29;30;35;36;36;38;40;44;47;52;53;60;64;70;79
39;11;29;11;46;23;34;2;67;55;64;27;57;28;34;7;64;51;63;17;37;24;37;-5;-5;7;17;24;27;28;34;37;37;51;55;57;63;64;64;67
26;13;24;42;3;45;17;44;9;60;32;57;10;46;18;57;26;52;28;49;40;76;48;71;9;10;18;26;28;32;40;46;48;49;52;57;57;60;71;76
6;38;32;21;35;41;37;26;30;30;35;14;55;66;60;50;59;60;55;51;46;56;54;29;14;29;30;30;35;46;50;51;54;55;55;56;59;60;60;66
39;23;3;32;40;28;31;9;67;49;69;46;49;42;51;20;27;23;22;2;72;46;48;32;2;20;22;23;27;32;42;46;46;48;49;49;51;67;69;72
44;29;45;35;25;14;21;21;53;42;53;51;43;31;37;31;54;44;61;46;52;41;51;36;31;31;36;37;41;42;43;44;46;51;51;52;53;53;54;61
