F0,F1,Class
35.0,16.0,1.0,1.0
43.0,9.0,1.0,1.0
33.0,20.0,1.0,1.0
29.0,13.0,1.0,1.0
36.0,11.0,1.0,1.0
51.0,13.0,1.0,0.0
31.0,9.0,1.0,1.0
47.0,11.0,1.0,1.0
40.0,6.0,1.0,0.0
41.0,9.0,1.0,0.0
39.0,4.0,1.0,0.0
32.0,25.0,1.0,1.0
36.0,10.0,1.0,1.0
35.0,10.0,1.0,0.0
43.0,14.0,1.0,1.0
14.0,25.0,0.0,1.0
40.0,6.0,1.0,0.0
39.0,3.0,1.0,0.0
30.0,18.0,1.0,1.0
50.0,7.0,1.0,0.0
43.0,6.0,1.0,0.0
36.0,25.0,0.0,1.0
46.0,19.0,1.0,1.0
36.0,8.0,1.0,0.0
47.0,3.0,1.0,0.0
31.0,18.0,1.0,1.0
37.0,14.0,1.0,1.0
43.0,7.0,1.0,0.0
40.0,16.0,1.0,1.0
29.0,11.0,1.0,1.0
41.0,2.0,1.0,0.0
33.0,13.0,1.0,1.0
50.0,6.0,1.0,0.0
40.0,15.0,1.0,1.0
21.0,22.0,0.0,1.0
41.0,10.0,1.0,1.0
42.0,16.0,1.0,1.0
45.0,23.0,1.0,1.0
27.0,21.0,0.0,1.0
51.0,6.0,1.0,0.0
36.0,13.0,1.0,1.0
37.0,13.0,1.0,1.0
33.0,10.0,1.0,1.0
51.0,6.0,1.0,0.0
48.0,6.0,1.0,0.0
44.0,15.0,1.0,1.0
30.0,9.0,1.0,1.0
29.0,8.0,1.0,1.0
24.0,8.0,1.0,1.0
46.0,11.0,1.0,0.0
36.0,5.0,1.0,0.0
32.0,11.0,1.0,1.0
29.0,15.0,1.0,1.0
50.0,6.0,1.0,0.0
45.0,7.0,1.0,0.0
48.0,19.0,1.0,1.0
32.0,26.0,0.0,1.0
31.0,7.0,1.0,0.0
29.0,13.0,1.0,1.0
47.0,4.0,1.0,0.0
37.0,4.0,1.0,0.0
39.0,7.0,1.0,0.0
46.0,6.0,1.0,0.0
39.0,12.0,1.0,1.0
39.0,8.0,1.0,0.0
36.0,4.0,1.0,0.0
51.0,6.0,1.0,0.0
27.0,10.0,1.0,1.0
45.0,4.0,1.0,0.0
33.0,22.0,1.0,1.0
32.0,17.0,1.0,1.0
45.0,6.0,1.0,0.0
45.0,15.0,1.0,1.0
32.0,12.0,1.0,1.0
32.0,7.0,1.0,0.0
32.0,12.0,1.0,1.0
34.0,4.0,1.0,0.0
33.0,18.0,1.0,1.0
40.0,14.0,1.0,0.0
36.0,17.0,1.0,1.0
46.0,19.0,1.0,1.0
37.0,16.0,1.0,1.0
20.0,24.0,0.0,1.0
38.0,5.0,1.0,0.0
58.0,6.0,1.0,0.0
31.0,18.0,1.0,1.0
27.0,12.0,1.0,1.0
47.0,5.0,1.0,0.0
40.0,7.0,1.0,0.0
40.0,6.0,1.0,0.0
38.0,7.0,1.0,0.0
35.0,24.0,1.0,1.0
44.0,14.0,1.0,1.0
36.0,25.0,0.0,1.0
47.0,1.0,1.0,0.0
34.0,12.0,1.0,1.0
36.0,9.0,1.0,1.0
31.0,8.0,1.0,0.0
33.0,14.0,1.0,1.0
48.0,10.0,1.0,0.0
42.0,15.0,1.0,1.0
46.0,11.0,1.0,0.0
43.0,7.0,1.0,0.0
39.0,6.0,1.0,0.0
38.0,6.0,1.0,1.0
29.0,15.0,1.0,1.0
32.0,19.0,1.0,1.0
40.0,5.0,1.0,0.0
42.0,5.0,1.0,1.0
30.0,15.0,1.0,1.0
59.0,8.0,1.0,0.0
30.0,18.0,1.0,1.0
36.0,16.0,1.0,1.0
30.0,14.0,1.0,1.0
33.0,14.0,1.0,1.0
47.0,9.0,1.0,0.0
27.0,11.0,1.0,1.0
42.0,13.0,1.0,1.0
40.0,8.0,1.0,1.0
47.0,4.0,1.0,0.0
46.0,16.0,1.0,1.0
33.0,16.0,1.0,1.0
25.0,18.0,0.0,1.0
49.0,3.0,1.0,0.0
43.0,14.0,1.0,1.0
44.0,5.0,1.0,1.0
49.0,6.0,1.0,0.0
49.0,4.0,1.0,0.0
