q0p0;q0p1;q0p2;q1p0;q1p1;q1p2;q2p0;q2p1;q2p2;s[0, 3];s[0, 4];s[0, 5];s[0, 6];s[0, 7];s[0, 8];s[1, 3];s[1, 4];s[1, 5];s[1, 6];s[1, 7];s[1, 8];s[2, 3];s[2, 4];s[2, 5];s[2, 6];s[2, 7];s[2, 8];s[3, 6];s[3, 7];s[3, 8];s[4, 6];s[4, 7];s[4, 8];s[5, 6];s[5, 7];s[5, 8];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11;cost_ranking 12;cost_ranking 13;cost_ranking 14;cost_ranking 15;cost_ranking 16;cost_ranking 17;cost_ranking 18;cost_ranking 19;cost_ranking 20;cost_ranking 21;cost_ranking 22;cost_ranking 23;cost_ranking 24;cost_ranking 25;cost_ranking 26
6;2;23;22;23;15;49;2;42;26;29;21;35;-10;28;22;11;10;45;-7;32;45;44;23;71;9;64;71;4;64;67;14;63;61;-2;54;-10;-7;-2;4;9;10;11;14;21;22;23;26;28;29;32;35;44;45;45;54;61;63;64;64;67;71;71
49;24;44;1;11;4;30;36;36;50;59;44;78;81;74;10;31;9;49;41;54;25;53;46;66;73;67;16;26;36;24;32;39;25;25;40;9;10;16;24;25;25;25;26;31;32;36;39;40;41;44;46;49;50;53;54;59;66;67;73;74;78;81
47;21;16;6;29;30;6;16;23;47;70;72;40;53;70;13;35;45;25;25;32;10;41;31;7;14;27;1;9;29;16;38;46;23;35;51;1;7;9;10;13;14;16;23;25;25;27;29;31;32;35;35;38;40;41;45;46;47;51;53;70;70;72
9;12;46;5;45;10;37;10;43;-2;49;14;38;8;32;13;40;10;32;2;54;41;87;49;70;55;84;30;-1;34;72;42;79;33;3;50;-2;-1;2;3;8;10;13;14;30;32;32;33;34;38;40;41;42;49;49;50;54;55;70;72;79;84;87
40;31;10;24;22;27;13;34;35;50;45;49;33;61;61;42;36;58;36;61;64;24;30;25;6;31;37;23;44;39;23;38;50;33;55;51;6;23;23;24;25;30;31;33;33;36;36;37;38;39;42;44;45;49;50;50;51;55;58;61;61;61;64
45;42;39;24;8;18;30;40;41;62;45;63;71;70;85;61;38;60;60;73;82;45;29;39;50;76;75;53;57;59;22;33;45;44;38;58;22;29;33;38;38;39;44;45;45;45;50;53;57;58;59;60;60;61;62;63;70;71;73;75;76;82;85
37;7;8;8;12;2;2;44;22;28;29;38;35;63;44;-5;17;3;-3;35;22;6;14;7;4;33;30;3;45;12;11;36;18;-13;34;20;-13;-5;-3;3;3;4;6;7;11;12;14;17;18;20;22;28;29;30;33;34;35;35;36;38;44;45;63
37;26;1;44;19;14;31;23;49;65;51;38;67;51;84;53;41;27;50;31;59;45;13;6;29;18;47;70;52;77;43;42;50;30;26;54;6;13;18;26;27;29;30;31;38;41;42;43;45;47;50;50;51;51;52;53;54;59;65;67;70;77;84
23;34;44;13;42;44;41;19;30;30;47;64;53;41;42;46;64;65;57;47;53;57;86;76;74;47;67;45;28;36;70;58;55;69;55;63;28;30;36;41;42;45;46;47;47;47;53;53;55;55;57;57;58;63;64;64;65;67;69;70;74;76;86
41;27;42;30;19;6;26;20;27;71;55;47;53;53;64;38;42;16;34;33;36;54;52;34;67;55;62;42;37;55;37;37;41;23;6;33;6;16;23;33;33;34;34;36;37;37;37;38;41;42;42;47;52;53;53;54;55;55;55;62;64;67;71
31;26;46;9;19;27;29;8;47;36;39;56;53;38;78;18;26;49;52;15;55;55;59;65;63;38;93;37;11;47;44;27;64;51;17;66;11;15;17;18;26;27;36;37;38;38;39;44;47;49;51;52;53;55;55;56;59;63;64;65;66;78;93
45;45;35;39;20;16;6;8;8;80;51;53;42;52;46;81;51;43;43;39;33;54;48;31;27;39;43;31;37;44;21;11;16;14;14;4;4;11;14;14;16;21;27;31;31;33;37;39;39;42;43;43;43;44;46;48;51;51;52;53;54;80;81
28;34;47;31;4;2;6;48;22;44;22;24;15;64;43;51;29;16;27;78;48;66;35;37;46;85;65;33;60;35;7;34;17;-1;38;18;-1;7;15;16;17;18;22;24;27;29;33;34;35;35;37;38;43;44;46;48;51;60;64;65;66;78;85
1;37;5;23;46;25;10;27;1;12;36;17;7;19;-7;41;63;43;28;56;29;17;38;14;5;18;-10;26;37;17;41;59;32;23;40;18;-10;-7;5;7;12;14;17;17;17;18;18;19;23;26;28;29;32;36;37;38;40;41;41;43;56;59;63
34;41;37;43;35;49;42;19;39;73;56;81;71;43;57;66;65;73;66;51;63;61;54;67;61;46;59;73;54;77;63;54;60;72;52;69;43;46;51;52;54;54;54;56;57;59;60;61;61;63;63;65;66;66;67;69;71;72;73;73;73;77;81
3;31;6;0;14;48;45;15;32;-10;5;48;40;8;16;20;32;64;59;40;57;-5;12;38;38;13;37;37;5;17;42;24;39;84;44;65;-10;-5;5;5;8;12;13;16;17;20;24;32;37;37;38;38;39;40;40;42;44;48;57;59;64;65;84
42;11;45;21;34;38;39;3;9;44;66;77;69;41;45;25;33;44;41;13;17;50;79;73;65;40;53;59;13;10;66;25;26;63;32;45;10;13;13;17;25;25;26;32;33;40;41;41;44;44;45;45;50;53;59;63;65;66;66;69;73;77;79
33;0;5;1;35;11;6;13;40;26;51;43;38;45;67;-5;29;8;-11;2;26;6;38;12;11;5;42;-5;4;33;41;48;69;10;19;50;-11;-5;-5;2;4;5;6;8;10;11;12;19;26;26;29;33;38;38;41;42;43;45;48;50;51;67;69
34;16;8;2;29;19;25;24;0;17;43;35;58;41;24;16;27;16;22;39;2;-1;27;11;29;31;-11;13;12;2;53;51;14;40;28;17;-11;-1;2;2;11;12;13;14;16;16;17;17;22;24;27;27;28;29;31;35;39;40;41;43;51;53;58
0;1;45;15;5;43;30;0;32;15;5;34;17;0;30;1;2;44;29;-17;27;47;33;85;73;34;74;28;-1;30;26;-12;34;64;43;61;-17;-12;-1;0;1;2;5;15;17;26;27;28;29;30;30;33;34;34;34;43;44;47;61;64;73;74;85
37;18;15;44;25;21;27;30;41;72;62;51;53;50;58;52;23;35;34;42;45;42;26;23;29;34;47;64;57;85;42;46;58;46;46;49;23;23;26;29;34;34;35;42;42;42;45;46;46;46;47;49;50;51;52;53;57;58;58;62;64;72;85
1;26;8;28;23;5;37;21;15;21;19;-9;27;10;9;51;29;30;58;37;32;23;26;2;25;20;10;54;47;25;57;29;23;39;7;5;-9;2;5;7;9;10;10;19;20;21;23;23;25;25;26;27;29;29;30;32;37;39;47;51;54;57;58
24;0;13;44;1;0;49;49;28;55;12;8;57;61;51;34;-16;-20;43;36;21;50;-5;0;47;52;39;85;87;70;39;48;17;41;32;18;-20;-16;-5;0;8;12;17;18;21;32;34;36;39;39;41;43;47;48;50;51;52;55;57;61;70;85;87
44;16;28;43;25;9;16;44;38;83;64;35;50;84;77;57;29;18;32;56;47;68;37;18;40;71;64;39;83;80;30;67;43;11;36;43;11;18;18;29;30;32;35;36;37;39;40;43;43;47;50;56;57;64;64;67;68;71;77;80;83;83;84
41;1;8;39;44;3;48;19;43;75;68;42;89;50;70;20;28;-8;34;14;28;44;50;1;56;25;47;77;46;76;76;61;83;36;5;29;-8;1;5;14;20;25;28;28;29;34;36;42;44;46;47;50;50;56;61;68;70;75;76;76;77;83;89
44;30;17;9;11;33;9;39;44;51;54;62;36;64;78;27;33;51;30;58;55;21;24;43;14;38;49;10;33;36;18;31;44;26;59;68;10;14;18;21;24;26;27;30;31;33;33;36;36;38;43;44;49;51;51;54;55;58;59;62;64;68;78
16;31;17;34;15;42;36;49;4;33;22;46;36;64;4;50;44;54;50;77;15;45;17;50;52;56;2;52;80;30;33;46;6;61;91;43;2;4;6;15;17;22;30;33;33;36;43;44;45;46;46;50;50;50;52;52;54;56;61;64;77;80;91
20;10;33;42;22;1;13;15;23;44;30;13;33;20;26;52;29;4;20;12;30;72;39;30;36;40;47;55;38;56;17;23;27;-2;-4;14;-4;-2;4;12;13;14;17;20;20;23;26;27;29;30;30;30;33;36;38;39;40;44;47;52;55;56;72
48;23;31;34;40;37;34;28;27;78;74;80;70;63;66;47;61;57;42;44;48;65;61;64;64;45;38;51;42;47;59;55;50;70;48;48;38;42;42;44;45;47;47;48;48;48;50;51;55;57;59;61;61;63;64;64;65;66;70;70;74;78;80
0;25;6;44;40;34;35;10;9;29;40;31;35;6;8;67;61;45;59;28;17;36;29;32;38;7;12;70;53;42;64;50;38;60;25;43;6;7;8;12;17;25;28;29;29;31;32;35;36;38;38;40;42;43;45;50;53;59;60;61;64;67;70
48;31;21;15;22;31;45;32;37;49;56;65;73;73;71;36;50;50;62;47;52;25;34;46;48;36;49;59;34;34;67;36;50;61;48;58;25;34;34;34;36;36;36;46;47;48;48;49;49;50;50;50;52;56;58;59;61;62;65;67;71;73;73
20;11;27;13;20;10;20;33;5;18;34;10;39;41;16;17;22;6;26;35;9;33;27;23;35;54;23;15;34;9;29;52;15;11;26;7;6;7;9;9;10;11;15;15;16;17;18;22;23;23;26;26;27;29;33;34;34;35;35;39;41;52;54
30;34;22;27;11;31;22;22;34;48;25;61;41;47;51;52;45;58;38;42;50;31;25;39;32;37;44;32;38;43;22;16;39;44;51;65;16;22;25;25;31;32;32;37;38;38;39;39;41;42;43;44;44;45;47;48;50;51;51;52;58;61;65
11;1;43;13;15;7;30;19;18;4;21;7;21;16;13;13;1;-7;17;13;9;55;49;46;69;46;47;23;23;13;36;22;19;23;10;6;-7;1;4;6;7;9;10;13;13;13;13;16;17;19;21;21;22;23;23;23;36;46;46;47;49;55;69
42;14;15;25;44;47;5;28;22;54;70;76;27;66;59;39;42;54;6;38;36;38;41;59;15;34;35;14;37;27;44;53;61;34;72;58;6;14;15;27;27;34;34;35;36;37;38;38;39;41;42;44;53;54;54;58;59;59;61;66;70;72;76
6;29;49;11;46;3;33;28;33;15;41;-6;35;29;19;38;61;26;58;42;46;49;84;50;72;77;64;40;19;43;72;70;65;35;30;24;-6;15;19;19;24;26;29;30;35;35;38;40;41;42;43;46;49;50;58;61;64;65;70;72;72;77;84
17;45;1;23;49;28;18;32;45;33;51;31;21;32;51;50;77;68;51;60;82;13;44;27;3;17;33;21;37;57;60;65;82;44;47;69;3;13;17;21;21;27;31;32;33;33;37;44;44;47;50;51;51;51;57;60;60;65;68;69;77;82;82
34;7;34;38;31;31;21;3;49;53;65;48;37;32;71;36;19;30;12;5;44;72;65;51;50;17;68;53;31;86;34;27;71;34;27;73;5;12;17;19;27;27;30;31;32;34;34;36;37;44;48;50;51;53;53;65;65;68;71;71;72;73;86
18;28;11;28;42;25;42;30;16;35;57;27;52;35;28;45;69;47;59;51;33;29;40;18;50;31;22;57;57;33;81;54;46;57;49;29;18;22;27;28;29;29;31;33;33;35;35;40;45;46;47;49;50;51;52;54;57;57;57;57;59;69;81
49;20;34;44;43;42;10;12;10;90;76;73;51;47;54;63;53;43;27;28;10;73;65;61;44;32;32;52;48;35;53;41;46;49;53;32;10;27;28;32;32;32;35;41;43;44;46;47;48;49;51;52;53;53;53;54;61;63;65;73;73;76;90
18;24;16;17;35;38;9;34;0;25;48;40;19;34;15;38;56;50;31;48;21;16;46;42;16;45;-4;25;38;8;39;50;35;33;69;29;-4;8;15;16;16;19;21;25;25;29;31;33;34;35;38;38;39;40;42;45;46;48;48;50;50;56;69
46;32;12;32;15;45;14;3;22;58;52;85;56;33;60;63;43;67;38;24;51;32;27;41;9;5;17;30;20;42;13;17;18;50;42;62;5;9;13;17;17;18;20;24;27;30;32;33;38;41;42;42;43;50;51;52;56;58;60;62;63;67;85
44;46;14;22;38;19;13;26;47;64;81;46;57;51;75;61;79;63;50;70;76;24;34;24;26;33;59;35;41;52;50;59;66;20;25;47;20;24;24;25;26;33;34;35;41;46;47;50;50;51;52;57;59;59;61;63;64;66;70;75;76;79;81
21;10;13;13;3;17;24;9;23;26;5;22;31;19;37;21;11;24;23;9;24;23;10;19;20;17;25;31;20;29;24;-6;15;30;19;23;-6;5;9;10;11;15;17;19;19;19;20;20;21;22;23;23;23;24;24;24;25;26;29;30;31;31;37
32;42;22;32;26;0;47;14;48;56;55;25;76;34;61;68;68;41;79;48;81;44;31;12;60;32;69;65;40;69;67;35;62;35;-4;42;-4;12;25;31;32;34;35;35;40;41;42;44;48;55;56;60;61;62;65;67;68;68;69;69;76;79;81
2;20;38;45;22;21;32;49;47;42;17;21;23;43;32;56;28;41;51;60;56;68;43;51;64;82;70;57;92;74;54;57;66;40;65;52;17;21;23;28;32;40;41;42;43;43;51;51;52;54;56;56;57;57;60;64;65;66;68;70;74;82;92
24;10;8;31;30;2;42;0;23;50;39;14;47;5;44;37;29;5;47;-3;18;20;30;-10;36;-7;28;59;22;47;53;10;41;42;-10;24;-10;-10;-7;-3;5;5;10;14;18;20;22;24;28;29;30;36;37;39;41;42;44;47;47;47;50;53;59
40;46;10;20;27;28;45;5;3;56;65;63;81;38;29;63;66;64;82;44;37;18;18;37;52;2;11;48;20;15;57;15;11;69;23;12;2;11;11;12;15;15;18;18;20;23;29;37;37;38;44;48;52;56;57;63;63;64;65;66;69;81;82
45;28;0;17;4;25;45;36;17;42;47;58;78;78;59;31;14;40;56;48;44;3;-13;13;28;28;11;46;42;14;32;35;20;70;56;27;-13;3;11;13;14;14;20;27;28;28;31;32;35;40;42;42;44;46;47;48;56;56;58;59;70;78;78
3;0;12;27;49;0;35;29;18;17;34;-8;25;20;1;8;32;-6;18;13;0;37;57;2;38;28;18;45;50;25;82;62;51;24;18;17;-8;-6;0;1;2;8;13;17;17;18;18;18;20;24;25;25;28;32;34;37;38;45;50;51;57;62;82
33;6;20;45;48;49;13;22;27;64;76;76;29;54;58;38;53;45;13;28;15;58;55;66;15;37;29;57;67;57;43;58;55;48;65;56;13;15;15;28;29;29;37;38;43;45;48;53;54;55;55;56;57;57;58;58;58;64;65;66;67;76;76
9;32;5;26;35;15;1;19;27;25;26;11;-7;16;24;49;62;31;31;49;40;25;25;17;-4;13;32;11;39;44;26;49;59;13;14;40;-7;-4;11;11;13;13;14;16;17;24;25;25;25;26;26;31;31;32;39;40;40;44;49;49;49;59;62
30;36;26;33;40;41;42;6;47;53;52;61;65;32;63;67;72;68;65;31;74;39;64;47;56;20;54;59;36;64;75;39;69;73;34;83;20;31;32;34;36;39;39;47;52;53;54;56;59;61;63;64;64;65;65;67;68;69;72;73;74;75;83
0;7;0;29;22;33;23;24;24;28;16;33;19;18;7;35;20;32;15;15;21;9;4;33;8;10;23;35;40;36;36;40;46;46;43;40;4;7;8;9;10;15;15;16;18;19;20;21;23;28;32;33;33;35;35;36;36;40;40;40;43;46;46
22;20;42;21;43;2;15;11;31;41;45;15;36;23;34;36;55;2;21;18;48;55;77;35;54;36;67;17;20;52;44;51;54;17;9;19;2;9;15;17;17;18;19;20;21;23;34;35;36;36;36;41;44;45;48;51;52;54;54;55;55;67;77
35;23;12;7;36;48;4;0;18;25;61;63;24;31;44;20;44;56;19;22;39;6;45;55;7;9;13;10;-12;19;27;26;51;32;39;64;-12;6;7;9;10;13;19;19;20;22;24;25;26;27;31;32;39;39;44;44;45;51;55;56;61;63;64
12;10;45;18;6;19;37;32;11;17;5;17;47;41;22;8;0;27;30;25;10;62;50;64;62;73;52;54;44;10;29;35;0;37;44;22;0;0;5;8;10;10;17;17;22;22;25;27;29;30;35;37;41;44;44;47;50;52;54;62;62;64;73
38;35;45;12;31;47;1;45;6;41;59;79;35;80;30;34;52;75;32;69;21;57;56;86;44;74;39;-5;40;16;12;57;34;38;88;48;-5;12;16;21;30;32;34;34;35;38;39;40;41;44;48;52;56;57;57;59;69;74;75;79;80;86;88
19;20;32;9;40;14;8;37;47;21;52;21;17;38;66;27;47;24;10;40;47;24;67;34;39;64;78;13;33;38;41;71;71;20;37;59;10;13;17;20;21;21;24;24;27;33;34;37;38;38;39;40;41;47;47;52;59;64;66;67;71;71;78
14;32;37;5;34;10;36;24;22;-1;42;12;47;23;30;33;61;23;60;49;45;24;57;46;67;44;44;37;25;7;55;53;44;46;17;14;-1;7;12;14;17;23;23;24;25;30;33;37;42;44;44;44;45;46;46;47;49;53;55;57;60;61;67
45;33;17;7;2;7;18;19;40;36;42;52;43;58;81;27;20;40;50;52;58;24;4;6;32;32;37;5;15;44;2;18;41;9;14;36;2;4;5;6;9;14;15;18;20;24;27;32;32;36;36;37;40;41;42;43;44;50;52;52;58;58;81
23;43;28;48;14;40;41;49;48;57;31;52;49;65;60;72;41;68;74;79;73;61;24;68;66;67;74;84;80;77;49;43;55;67;82;83;24;31;41;43;49;49;52;55;57;60;61;65;66;67;67;68;68;72;73;74;74;77;79;80;82;83;84
49;35;1;11;13;44;14;43;38;51;44;85;44;86;84;27;46;73;41;65;73;-8;11;30;7;24;20;16;36;42;16;52;31;38;68;62;-8;7;11;16;16;20;24;27;30;31;36;38;41;42;44;44;46;51;52;62;65;68;73;73;84;85;86
7;29;3;9;19;10;20;4;40;8;19;2;11;8;27;31;28;39;43;18;53;-4;9;-5;10;-11;31;21;-3;42;27;18;59;23;1;33;-11;-5;-4;-3;1;2;8;8;9;10;11;18;18;19;21;23;27;27;28;31;31;33;39;42;43;53;59
19;38;32;44;4;16;28;13;49;47;22;16;40;31;49;66;23;43;53;51;73;68;34;33;45;32;80;55;47;80;12;17;44;40;14;47;12;14;16;17;22;23;31;32;33;34;40;40;43;44;45;47;47;47;49;51;53;55;66;68;73;80;80
4;44;41;34;22;9;7;14;41;33;10;11;11;-2;40;65;49;38;32;39;79;63;54;32;40;40;75;40;36;59;27;31;63;16;19;44;-2;10;11;11;16;19;27;31;32;32;33;36;38;39;40;40;40;40;44;49;54;59;63;63;65;75;79
13;43;6;17;15;19;46;9;44;24;24;25;44;14;52;40;45;48;86;45;72;4;17;25;50;-4;40;52;7;49;45;10;50;48;11;63;-4;4;7;10;11;14;17;24;24;25;25;40;40;44;45;45;45;48;48;49;50;50;52;52;63;72;86
14;9;5;19;24;49;23;20;14;29;38;47;23;14;24;12;22;53;20;17;16;5;26;35;21;18;1;23;24;15;28;36;37;55;61;44;1;5;12;14;15;16;17;18;20;21;22;23;23;24;24;26;28;29;35;36;37;38;44;47;53;55;61
18;31;12;2;25;40;22;46;42;1;38;42;36;50;48;21;38;61;36;76;62;14;37;41;26;51;45;11;48;34;33;55;66;56;74;68;1;11;14;21;26;33;34;36;36;37;38;38;41;42;45;48;48;50;51;55;56;61;62;66;68;74;76
42;8;28;4;8;10;8;2;46;27;43;39;38;40;87;5;9;0;11;1;40;18;35;27;30;26;70;0;1;47;-2;10;42;11;3;52;-2;0;0;1;1;3;5;9;10;11;11;18;26;27;27;30;35;38;39;40;40;42;43;47;52;70;87
28;13;35;25;19;7;42;32;3;48;44;22;56;60;31;37;14;15;45;25;13;48;38;26;60;65;29;55;38;20;44;42;4;43;22;4;4;4;13;14;15;20;22;22;25;26;29;31;37;38;38;42;43;44;44;45;48;48;55;56;60;60;65
25;31;35;27;46;1;34;12;21;52;63;6;59;28;32;49;60;32;45;24;50;42;66;35;65;28;55;57;28;34;69;50;49;34;6;6;6;6;6;24;28;28;28;32;32;34;34;35;42;45;49;49;50;50;52;55;57;59;60;63;65;66;69
47;27;25;14;5;2;24;3;18;53;33;35;62;39;54;32;22;25;50;15;41;26;11;9;44;18;41;37;0;31;17;-4;15;17;3;8;-4;0;3;8;9;11;15;15;17;17;18;22;25;26;31;32;33;35;37;39;41;41;44;50;53;54;62
34;38;4;7;32;34;7;7;5;38;57;55;25;27;32;32;66;68;38;26;25;7;29;37;-9;-6;-7;6;0;12;32;26;27;24;29;24;-9;-7;-6;0;6;7;12;24;24;25;25;26;26;27;27;29;29;32;32;32;37;38;38;55;57;66;68
8;11;45;46;26;21;35;49;29;53;21;23;26;49;37;53;27;19;31;52;21;76;70;50;60;86;65;66;80;55;46;74;45;39;57;34;19;21;21;23;26;27;31;34;37;39;45;46;49;50;52;53;53;55;57;60;65;66;70;74;76;80;86
15;10;11;37;29;16;9;11;20;34;37;23;6;7;19;44;30;22;11;6;18;47;40;24;14;19;15;36;47;52;20;25;45;14;11;35;6;6;7;11;11;14;14;15;18;19;19;20;22;23;24;25;30;34;35;36;37;40;44;45;47;47;52
43;35;48;35;22;0;41;34;39;67;57;30;79;75;70;67;39;25;74;53;65;64;50;45;84;62;86;72;69;59;43;55;41;25;16;25;16;25;25;25;30;39;41;43;45;50;53;55;57;59;62;64;65;67;67;69;70;72;74;75;79;84;86
32;6;9;5;1;19;37;26;48;36;24;31;50;50;69;7;4;9;26;32;43;10;7;24;35;29;47;23;17;48;29;8;38;36;42;55;4;7;7;8;9;10;17;23;24;24;26;29;29;31;32;35;36;36;38;42;43;47;48;50;50;55;69
34;48;22;28;35;18;2;35;19;43;65;44;18;62;38;61;81;56;31;68;50;39;56;31;13;38;22;29;56;42;32;68;50;17;34;25;13;17;18;22;25;29;31;31;32;34;38;38;39;42;43;44;50;50;56;56;56;61;62;65;68;68;81
42;45;9;8;29;5;38;30;46;47;52;33;72;55;82;40;66;30;80;69;71;14;29;-2;37;31;46;31;18;49;54;58;74;30;29;31;-2;14;18;29;29;30;30;31;31;31;33;37;40;46;47;49;52;54;55;58;66;69;71;72;74;80;82
4;0;41;9;9;23;46;23;5;-2;5;9;47;25;4;-4;-4;19;45;19;-9;39;40;52;80;46;44;40;31;-2;51;30;3;57;34;14;-9;-4;-4;-2;-2;3;4;5;9;14;19;19;25;30;31;34;39;40;40;44;45;46;47;51;52;57;80
31;13;13;9;23;28;35;0;31;34;36;52;61;14;47;8;20;27;42;7;41;4;32;25;33;2;37;38;-6;34;44;20;49;62;25;53;-6;2;4;7;8;14;20;20;25;25;27;32;33;34;34;36;37;38;41;42;44;47;49;52;53;61;62
43;30;1;15;17;16;31;35;48;56;42;55;54;68;81;25;35;32;51;53;73;12;7;5;12;22;35;31;49;45;46;46;52;36;32;61;5;7;12;12;22;25;31;32;32;35;35;36;42;45;46;46;49;51;52;53;54;55;56;61;68;73;81
5;37;47;17;46;10;8;45;19;6;36;2;7;38;12;41;71;31;28;66;50;61;91;44;55;74;48;17;48;36;45;74;45;0;46;14;0;2;6;7;12;14;17;28;31;36;36;38;41;44;45;45;46;48;48;50;55;61;66;71;74;74;91
4;34;20;32;48;35;6;16;49;33;39;36;3;10;46;62;64;59;23;50;73;36;62;45;23;16;58;34;34;80;51;50;78;34;38;82;3;10;16;23;23;33;34;34;34;36;36;38;39;45;46;50;50;51;58;59;62;62;64;73;78;80;82
9;25;34;37;47;24;21;12;27;40;41;15;13;4;27;52;70;49;29;26;49;70;67;56;44;31;46;52;49;59;53;55;59;35;30;36;4;13;15;26;27;29;30;31;35;36;40;41;44;46;49;49;49;52;52;53;55;56;59;59;67;70;70
24;8;23;4;7;13;40;12;18;18;25;19;61;23;26;-5;2;17;35;18;14;24;10;17;55;27;40;37;15;9;44;11;24;53;22;18;-5;2;9;10;11;14;15;17;17;18;18;18;19;22;23;24;24;25;26;27;35;37;40;44;53;55;61
