q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13
27;11;28;21;-16;-4;-17;-4
14;20;3;27;-20;-12;-20;0
7;33;29;35;-13;-14;-4;-7
39;3;40;32;-2;-15;-18;-16
40;28;30;10;-11;-9;-18;-12
21;47;44;18;-5;-6;-9;-16
39;12;2;14;-12;-10;-9;-3
0;14;30;27;-9;-8;-20;-6
25;15;10;38;-16;-17;-15;-12
32;5;8;45;-15;-7;-3;-16
35;48;15;11;0;-6;-2;-17
33;19;4;2;-17;-19;-15;-14
42;6;46;39;-16;-7;-1;-12
0;28;15;37;-5;-4;0;0
42;44;45;9;-16;-20;-11;-16
13;34;44;36;-8;-3;-17;-13
13;28;32;31;-14;-3;-16;-5
5;26;9;28;-3;-9;-17;-13
36;26;13;18;-4;-6;-15;-17
43;30;1;19;-15;-11;-17;-6
29;17;32;2;-12;-17;-12;-8
42;15;20;16;-20;-11;-12;-15
1;37;11;34;-13;-3;-10;-11
22;13;23;4;-19;-10;-2;-2
25;31;10;14;-16;-20;-17;-20
15;31;0;40;-1;0;-3;-3
38;6;18;18;-8;-20;-10;-11
44;21;40;34;-6;-4;-4;-19
15;14;39;15;-4;0;-16;-12
38;9;25;27;-4;-10;-9;-6
7;45;33;43;-1;0;-2;-5
48;28;16;42;-20;-10;-7;-4
17;11;17;26;-4;-8;-6;-19
16;31;32;14;-15;-13;-10;-11
27;39;49;31;-12;-18;-6;-7
40;9;6;10;-7;-7;-1;-8
2;49;32;24;-15;-20;-14;-11
35;36;22;31;-6;-2;-9;-3
39;49;4;37;-2;-16;-12;-8
40;45;5;34;-19;-12;-1;-20
24;36;17;20;-20;-17;-5;-1
6;18;26;15;-16;-9;-20;-12
36;49;3;13;-18;-17;-14;-19
48;19;44;26;-19;-16;-14;-8
21;14;10;21;-5;-7;-5;-2
26;14;0;22;-10;-12;-18;-19
41;12;12;5;-20;-14;-6;-11
20;49;10;4;-19;-12;-1;-11
46;37;40;13;-2;-1;-9;-7
27;1;34;26;-12;-20;-6;-10
40;22;19;37;-14;-9;-15;-6
31;24;32;12;-3;-12;-10;-7
46;10;8;15;-3;0;0;-5
29;12;26;17;-14;-17;-5;-5
40;40;9;48;-4;-5;-6;-9
12;42;40;1;-10;-2;-15;-2
25;12;41;24;-20;-18;-6;-4
39;7;36;0;-18;0;-2;-4
25;5;26;18;0;-15;-2;-8
3;34;40;23;-5;-8;-17;-14
20;15;23;12;-8;-6;-13;-20
32;33;11;6;-18;-7;-1;-4
37;16;20;41;-6;-14;-19;-9
27;13;27;44;-20;-4;-14;-16
3;29;23;16;-13;-9;-4;-16
40;17;26;11;-20;-7;-2;-3
12;44;0;46;-18;-19;-19;0
28;10;32;29;-18;0;-17;-8
40;31;12;21;-12;-11;0;-15
24;38;39;31;-5;-12;-3;-20
48;7;48;40;-19;-2;-10;-7
12;4;22;2;-6;-12;-8;-16
29;13;24;12;-1;0;-11;-1
45;34;15;36;-4;-17;-16;-3
33;7;37;35;-10;-14;-10;-12
0;15;46;11;-5;-9;-16;-4
4;10;28;11;-8;0;-7;0
12;9;9;14;-9;-16;-4;-2
0;44;43;32;-14;-13;-20;-13
30;27;47;40;-7;-4;-20;-3
31;35;10;33;-13;-20;-18;-17
0;37;30;43;-11;-5;-15;-20
39;44;25;19;-16;-17;-20;-10
41;8;32;2;-14;-13;-17;-15
35;38;13;44;-2;-10;-11;-7
32;10;39;14;-17;-18;-11;-17
44;31;2;8;-19;-18;-18;-16
13;13;24;49;-16;-2;0;-8
47;27;29;30;-1;-18;-13;0
30;4;39;30;-17;-16;-12;-7
7;42;35;43;-13;-17;-12;-10
39;36;6;12;0;-14;-4;-7
9;32;13;17;-4;-7;-3;0
3;27;22;1;-12;-9;0;-13
3;44;38;18;-5;-16;-7;-4
15;26;29;26;-4;-16;-9;-14
20;31;37;6;-9;-10;-17;-11
34;39;33;22;-10;-11;-9;-12
38;14;15;45;-11;-19;-14;-12
0;46;15;31;-10;-11;-18;-16
14;45;35;21;-18;-4;-19;-3
7;48;24;21;-13;-4;-2;-8
40;33;22;10;-2;-4;-8;-3
41;5;34;18;0;-1;-2;-4
48;33;39;15;-2;-7;-8;-16
11;31;3;5;-9;-9;-16;-4
42;5;20;19;-5;-12;-11;-5
10;18;48;22;-18;0;-14;-4
49;3;11;49;-11;-1;-2;-11
15;0;0;7;-13;-13;-13;-4
24;41;45;13;-2;-1;-11;-17
39;31;37;4;-6;-8;-10;-11
4;44;10;33;-13;-5;-2;-18
2;35;11;27;-10;-17;-16;-6
26;35;16;1;-14;-3;-16;-17
48;9;2;37;-15;-1;-9;-19
8;34;2;21;-15;-9;-7;-8
42;31;34;14;-15;-15;-5;-16
44;48;47;11;-1;-2;-13;-6
37;31;36;29;-2;-18;0;-12
29;16;41;30;-10;-16;-2;-11
31;12;34;5;-2;-8;-8;-7
43;49;2;24;-17;-19;-13;-8
44;11;16;3;-10;-20;-3;-12
1;20;45;29;-12;-1;-19;-9
16;3;42;33;-9;-20;-7;-4
1;2;13;22;-6;0;-4;-4
1;40;2;21;-13;0;-17;-19
5;15;26;26;-8;-15;-4;-4
9;29;22;11;-5;-14;-9;-15
10;1;22;48;-4;-16;-13;-8
8;44;39;20;-15;0;-15;-18
33;30;33;42;-10;-9;-15;-17
9;36;47;6;-5;-4;-17;-12
2;0;39;46;-12;-8;-9;-15
14;9;18;17;-15;-6;-16;-8
10;47;22;0;-18;-2;0;-9
25;5;28;29;-19;-11;-18;-2
28;0;24;19;-17;-11;-17;-8
47;36;35;48;-9;-5;-6;-19
6;2;14;21;-4;-14;0;-10
20;10;29;0;-3;-6;-2;-16
33;24;39;8;-6;-18;-4;-11
32;37;16;9;-1;-8;-9;-17
2;14;38;22;-12;-7;-17;-15
1;49;5;37;-11;-16;-4;-4
37;10;38;9;-12;-8;-18;-12
5;42;22;8;-13;-18;0;-19
6;37;29;5;-8;-10;-18;-14
37;32;29;44;-12;-6;-15;-20
32;28;29;8;-12;-16;-13;-6
29;13;43;43;-3;-14;-3;-20
34;13;49;45;0;-8;-4;-10
17;31;44;21;-3;0;0;-3
11;30;2;41;0;-1;-1;0
16;15;30;1;-20;-1;-17;-18
19;4;43;0;-3;-7;-4;-9
45;10;33;27;-11;-16;-10;-13
49;5;31;24;-15;-20;0;-7
13;3;12;14;-20;-13;-7;-3
35;38;19;9;-12;0;0;-3
3;42;14;37;-10;-13;-16;-20
47;0;30;35;-7;-6;-16;-5
10;26;17;13;-8;-5;-1;-5
49;25;23;17;-15;-10;-4;-14
43;39;27;10;-19;-17;0;-7
45;19;2;41;-1;-1;0;-6
24;43;46;19;-15;-13;-2;-5
2;26;16;42;-18;-8;-16;-20
42;15;35;32;-4;-6;-14;-14
14;2;33;44;-12;-10;-13;-18
31;22;47;24;-7;-19;-6;-2
39;34;28;46;-13;-7;-4;-13
40;0;49;28;-8;-19;-7;-16
35;32;38;1;-19;-13;-9;-13
16;8;18;9;-11;-13;-13;-1
17;33;39;14;-17;-13;-11;-2
7;12;11;20;-9;-19;-1;-15
20;33;23;28;-17;-19;-5;-14
0;24;1;40;-1;-19;-2;-2
15;36;39;6;0;-19;-4;-17
48;5;5;20;-3;-20;-8;-7
43;34;12;43;-2;-2;-10;-6
39;9;47;16;-8;-17;-15;-14
4;37;3;28;-16;-8;-7;-11
15;5;44;20;-4;-19;0;-20
0;39;25;33;-17;-5;-13;-4
40;16;28;40;-3;-10;-4;-3
20;8;5;33;-20;-16;-20;-17
15;16;22;9;-13;-20;-14;-9
19;13;33;22;-17;-14;-7;-8
22;27;25;9;-9;-1;-17;-13
4;0;36;34;0;-1;-12;-2
35;7;38;25;-8;-18;-8;-18
15;48;34;12;-10;-9;-11;-7
26;8;19;31;-7;-9;-15;-2
6;19;47;17;-10;-15;-17;-2
46;13;5;14;-9;-4;-4;-11
35;32;30;18;-5;-4;-10;-8
38;39;29;22;-19;-3;0;-19
49;1;3;5;-10;-11;-13;-7
15;18;13;33;-9;-19;-1;-11
10;34;20;16;-18;-7;-2;0
5;37;35;21;-13;-3;-11;-16
22;48;26;2;-6;-19;-10;-1
39;35;25;10;-20;-6;-10;-16
29;46;6;2;-5;-17;-10;-13
32;9;42;3;-10;-17;-9;-1
12;39;10;44;-12;-3;-5;-1
13;22;26;32;0;-18;-10;-2
21;6;40;48;-11;-18;-14;-6
17;9;48;24;-19;-4;-6;-12
28;15;1;14;-11;-16;-4;-13
6;4;41;12;-2;-14;-19;-10
30;39;40;4;0;-16;-16;-5
3;48;5;23;-9;-18;-7;-17
30;22;17;24;-18;-16;-8;-12
40;31;49;47;-10;-1;-8;-12
49;21;7;3;-13;-20;-2;-13
27;25;8;36;-14;-3;-10;-4
12;27;24;40;-6;-2;-2;0
11;37;5;43;-11;-4;-15;-7
12;36;15;4;-4;-15;-20;-8
39;2;25;42;-5;-17;-14;-4
46;19;19;17;-8;-14;-9;-8
29;40;25;24;-20;-10;-15;-14
24;30;26;29;-12;-11;-3;0
1;15;36;11;-18;-19;-16;-4
9;1;10;39;-19;-13;-1;-17
48;9;39;27;-13;-15;-8;-3
30;13;38;32;-3;-3;-16;-10
38;4;26;46;-20;-8;-3;-19
37;15;18;40;-1;-1;-5;-19
23;31;0;14;0;-14;-20;-12
6;0;48;27;-2;-11;-1;-5
7;11;21;2;-14;-2;-1;-1
6;30;31;47;-16;0;-1;-5
34;27;34;41;-9;-7;-15;-6
38;0;13;11;-14;-13;-15;-18
13;37;47;29;-19;-5;-1;-15
43;17;20;41;-8;-10;-12;-13
5;24;37;21;-2;-3;-5;-6
2;15;44;6;-2;0;-17;-13
28;0;17;11;-14;-16;-13;-15
9;27;48;48;-1;0;-10;-10
10;3;28;15;-1;-15;-8;-10
2;41;4;26;-13;-18;-11;-6
5;0;22;48;-12;-18;-11;-5
32;3;32;7;-9;-18;-14;-14
49;32;16;41;-2;-15;-17;0
19;13;44;9;-18;0;-18;0
43;25;6;41;-16;-20;0;-5
0;38;23;0;-1;-6;-11;-16
28;6;16;13;-9;-14;-19;-16
6;23;13;37;-9;-3;-8;-5
19;46;3;22;-19;-14;-18;-12
16;43;32;5;-12;-7;-3;-13
30;29;29;14;-12;-11;-2;-4
30;49;43;1;-8;-8;-15;-19
1;8;7;1;0;-11;-16;0
47;12;11;39;-9;-1;-3;-1
0;16;43;14;-8;-10;-1;-16
39;20;9;48;-5;-12;-7;-9
22;17;0;25;-11;-11;-3;-16
29;17;21;18;-20;-8;-3;-4
33;3;15;19;-20;-1;-19;-7
17;16;41;29;-19;-12;-6;-2
9;39;6;41;-14;-19;0;0
13;18;23;9;-19;-6;-20;-1
34;8;19;11;-3;-4;-19;-4
43;36;18;43;-13;-17;0;-13
46;18;17;6;0;-13;-3;-19
13;46;17;10;-13;-9;-8;-5
13;37;6;30;-12;-13;-9;-9
22;13;23;15;-14;-2;-5;-14
42;47;13;33;-14;-14;-7;-8
7;19;0;7;-17;-16;-4;-19
38;6;41;40;-9;-18;-6;-10
9;44;37;6;-4;-7;-12;-1
34;45;19;12;-9;-19;-1;-3
33;23;6;19;-8;-14;0;0
29;45;12;0;-20;-1;-6;-18
14;35;40;30;-1;-17;-5;-2
22;48;38;23;-3;0;-8;-2
9;48;16;12;0;-18;-5;-3
39;26;42;45;-17;-8;-11;-4
29;24;46;16;-10;-12;-7;-17
6;36;40;23;-13;-19;-2;-2
10;14;31;38;-16;-5;-20;-17
5;36;32;11;-12;-4;-17;-5
42;23;17;37;-11;-20;-11;-20
41;28;37;33;-13;-20;-8;-7
9;45;13;27;-4;-6;-18;-19
15;17;12;43;-18;0;-20;-17
24;33;16;34;-1;-13;-18;-13
45;29;40;25;-16;-12;-10;-7
11;4;3;39;-7;-5;-18;-20
21;35;23;25;-18;-10;-11;-10
2;3;20;47;-14;-13;-14;-14
41;19;8;38;-11;-13;-13;-14
11;34;47;29;-9;-10;-20;-12
40;31;6;46;-7;-11;-9;-15
1;24;15;16;-10;0;-4;-6
10;3;46;25;-9;-18;-17;-18
13;29;25;16;-11;-9;-1;-11
45;34;23;23;-1;-20;0;-6
24;24;45;41;-17;-18;-7;-8
16;46;33;12;-9;-15;-13;-9
2;23;1;49;-5;-20;-19;-3
16;15;6;48;-4;-1;-1;-6
26;45;23;32;-3;-14;-3;-16
11;2;0;13;-18;-17;-20;-14
26;14;15;35;-19;-4;-16;-11
31;37;36;48;-18;-4;-12;-3
32;39;39;46;-8;-16;-13;-16
48;45;34;7;-13;-7;-20;-14
17;25;49;28;-7;-13;-1;-18
37;6;21;17;-18;-12;-20;-13
41;11;28;30;-3;-14;-16;-13
34;20;26;47;-1;-16;-15;-11
47;33;38;35;-17;-15;-20;-8
28;30;23;22;-14;-3;-3;-14
41;45;21;28;-9;-10;-17;-6
2;46;29;19;-5;-18;-15;-1
19;8;2;45;-15;-5;-13;-20
45;20;40;47;-13;-14;-13;-3
46;29;13;1;-7;-4;0;-13
38;33;15;33;-15;-9;-15;-17
45;10;34;16;-17;-10;-17;-6
19;9;9;34;-17;-17;-19;-18
13;44;28;26;-18;-5;-9;-1
27;17;28;27;-6;-18;-16;0
16;25;34;31;-1;-10;-1;-5
34;6;48;17;-4;-10;-8;-1
16;38;19;35;-7;-20;0;-18
4;10;37;18;-10;-18;-20;-13
11;37;32;21;-6;-14;-11;-7
15;12;47;22;-10;-15;-7;-7
33;7;9;5;-20;-9;-4;-3
28;45;3;19;-3;-6;-9;-11
0;24;28;33;-8;-6;-10;-16
27;29;36;7;-10;-10;-9;-20
3;6;44;1;-8;-12;-4;-15
36;20;36;6;-20;-6;-6;-19
11;47;2;18;-18;-9;-13;-10
13;18;44;8;-20;-9;-12;-8
3;45;43;25;-13;-9;-14;-4
34;3;30;41;-5;-20;-8;-3
33;17;41;6;-17;0;-2;-14
5;34;18;28;-1;-1;-20;-2
46;46;38;31;-13;-1;-11;-14
27;1;49;22;-14;-6;-15;-4
26;8;21;25;-5;-14;-5;-11
20;7;30;31;-12;-2;-14;-7
33;36;12;39;-12;-17;-1;-17
28;10;9;15;-8;-8;-13;-6
12;9;40;43;0;-6;-13;-4
37;9;41;41;-18;-20;-7;-15
30;29;35;16;-6;-4;-8;-8
45;17;48;30;-6;-4;-1;-2
21;12;11;32;-13;-8;-16;0
32;41;0;35;-12;-1;-1;-7
14;3;17;46;-8;-15;0;0
8;44;42;7;-5;-5;-16;-11
40;38;37;30;-16;-20;-9;-20
47;44;36;45;-17;-19;-14;-11
40;45;6;31;-8;-1;-13;-11
9;2;3;17;-20;-8;-1;-14
16;28;17;8;-18;-18;-4;-18
12;48;8;28;-17;0;-11;-14
4;10;38;18;-11;-20;-2;-11
3;47;5;34;-2;0;-17;-19
47;48;12;36;-3;0;-20;-14
13;15;4;5;-7;-14;-18;-14
4;46;18;41;-5;-8;-20;-10
27;36;16;40;-2;-13;-18;-13
40;30;14;24;-16;-20;-14;-5
34;31;34;17;-8;-1;-5;-15
0;19;12;42;-9;-19;-9;-5
32;0;7;22;-2;-11;-1;-17
35;18;23;48;-4;-20;-15;-9
0;18;28;30;-2;-14;-17;-1
41;13;21;4;-17;-4;-8;-13
21;31;14;6;-5;-4;-13;0
48;18;21;4;-4;-14;-1;-13
21;38;38;1;-9;-10;-8;-18
46;10;21;23;0;-6;-7;-18
44;47;35;22;-8;-4;-7;-17
8;28;45;49;-11;-18;-4;0
8;29;43;34;-18;-17;-9;-20
18;8;48;30;-7;-18;-17;-19
31;3;48;31;-10;-5;-11;-6
44;27;14;36;0;-2;-9;-4
1;38;35;8;-8;-6;-11;-5
19;43;31;34;-16;-16;-17;-8
34;46;0;13;-12;0;-13;-19
10;40;34;41;-17;-10;-4;-5
3;3;7;10;-9;-14;-11;-14
28;29;33;41;-11;-16;-4;-19
19;38;32;7;-10;-11;-11;-19
49;16;19;47;-8;-4;-3;-2
34;19;34;48;-20;-16;-12;-20
2;47;7;16;0;-14;-20;-10
48;28;7;10;-19;-9;-10;-20
4;36;13;27;-17;-14;-12;-5
48;45;29;45;-1;-9;-2;-14
35;11;2;5;-7;-3;-2;0
35;37;38;47;-13;-16;0;-13
18;32;34;10;0;-2;-17;-19
19;0;2;42;-2;-16;-3;-1
39;23;22;42;-1;-2;0;-15
49;23;20;21;-7;-10;0;-14
15;27;16;34;-2;-19;-18;-10
30;36;44;2;-9;-13;0;-17
20;11;16;44;-3;-9;-14;-4
46;38;3;46;-17;-14;0;-7
36;27;1;34;-8;-14;-18;-13
21;2;19;26;-20;-16;-3;-19
38;34;19;12;-4;-9;-19;-3
22;43;16;47;-2;-8;-15;-12
11;20;44;43;-6;-13;-2;-17
28;31;22;1;-8;-7;-5;-10
30;47;21;38;-3;-20;-5;-17
12;34;8;23;-12;-1;-11;-18
41;44;2;44;-4;-12;-8;-4
17;30;26;18;-11;-19;-4;-7
32;28;42;19;-14;-1;-16;-1
15;42;26;22;-6;-9;-10;-4
10;28;7;7;-5;-6;-7;-14
21;31;17;45;-2;-11;-3;-10
36;38;26;48;-18;-1;-18;-17
3;47;24;46;-4;-9;-17;-2
20;12;32;28;-12;-13;-6;-7
4;27;45;38;-13;-11;-12;-16
1;12;2;41;-11;-5;-13;-9
20;41;33;4;-10;-5;-12;-13
17;17;1;13;-12;-11;-12;-1
32;25;15;46;0;-3;-18;-5
36;28;30;1;-5;-19;-7;-7
49;39;19;15;-1;-6;-10;-18
28;49;5;11;-1;-16;-7;-15
22;15;26;37;-13;-7;-9;-14
13;17;30;49;-3;-10;-13;-4
26;3;44;29;-12;-4;-14;0
13;36;27;22;-8;-1;-13;-5
27;30;26;5;-13;-12;-9;-13
13;10;40;11;-17;-20;-11;-17
9;13;4;30;-16;-8;-4;-14
21;12;4;37;-18;0;-20;-11
35;3;44;2;-14;-16;-19;-19
11;27;25;47;-7;-4;-17;-8
28;11;17;26;-11;-9;-2;-10
2;31;34;13;-3;-10;-6;-17
42;6;43;30;0;-6;-18;-11
11;21;20;21;-1;-2;-7;-5
39;42;47;37;-18;-15;-8;-6
40;16;47;22;-3;-1;-1;-17
45;2;45;35;-3;-6;-11;-12
8;28;1;33;-20;-1;-15;-8
14;21;33;35;-20;-7;-18;-6
18;35;34;43;-9;-19;-9;-6
11;9;23;13;-17;-8;-5;-6
4;15;43;38;-18;-6;-3;-11
42;3;25;5;-11;-8;-14;0
24;36;20;42;-6;-6;-19;-6
9;35;6;23;-13;-11;-9;-11
3;39;24;36;-5;-7;-12;-16
46;16;39;5;-4;-19;-19;-6
41;8;4;11;-2;-16;-8;-20
30;15;25;40;-19;-8;-12;-9
41;19;9;38;-15;-6;-13;-11
26;17;30;26;-13;-13;-20;-10
16;0;36;4;-5;-13;-14;-1
32;1;40;30;-6;-19;-3;-19
44;27;17;14;-13;-19;-2;-7
37;19;23;19;-1;-19;-6;-10
28;9;1;17;-12;-12;-10;-8
17;21;7;18;-13;-2;-17;-16
9;44;33;31;-7;-20;-17;-15
36;29;16;24;-19;-9;-10;-15
36;12;13;14;-3;-17;0;-20
2;49;39;4;-20;-7;-14;-9
8;44;12;45;-9;-2;-20;-4
34;27;49;15;-18;-14;-1;-10
12;24;30;21;-13;-12;-2;0
33;1;38;24;-20;-8;-9;-6
32;39;13;6;-19;-8;-6;-12
46;32;9;0;-18;-20;-12;-18
35;45;2;9;0;-7;-12;-13
2;6;45;28;-20;-20;-18;-1
14;31;30;38;-20;-11;-4;-18
4;21;18;1;-16;-20;-1;-16
34;15;25;28;-20;-12;-18;-18
4;10;28;36;0;-10;-3;-2
37;44;25;13;-1;-5;-12;-16
2;21;12;12;-14;-20;-1;-3
9;25;10;6;-1;-13;-6;-12
37;21;38;19;-2;-11;-6;-6
34;37;45;45;-18;-4;-19;-20
21;26;3;29;-5;-2;-9;-20
17;17;20;20;-7;0;-20;-20
39;14;35;38;-5;-4;-17;-10
24;26;0;30;-10;-10;-6;-16
10;37;41;42;-3;-2;-6;-1
38;6;34;17;-13;-15;-16;-13
0;2;28;4;-15;-16;-15;-20
37;4;9;43;-14;-11;-12;-15
30;46;37;47;-12;-11;-13;-9
1;47;44;20;-16;-4;-11;-14
34;41;11;14;-7;-10;-8;-13
20;6;36;47;-5;-14;-7;-11
1;20;37;45;-14;-20;-17;-7
6;48;5;19;-3;-14;-11;-8
14;31;27;12;-19;-14;-18;-15
34;34;26;13;-10;-6;-16;-14
34;16;6;25;-11;-12;-16;-7
33;2;4;35;-15;-3;-19;-11
27;0;46;12;-6;-10;-9;-1
31;43;39;21;-2;-19;-19;-5
12;46;45;48;-16;-15;-20;-7
38;39;5;6;-6;0;-1;-18
28;22;48;0;-8;-6;-18;-17
44;29;49;5;-14;-2;-12;-9
27;20;27;46;-5;-9;-2;-9
24;44;34;10;-2;-4;-2;0
31;43;2;42;-6;-1;-6;-11
6;18;21;47;-7;-19;-19;-7
11;3;10;28;-9;-19;-14;-18
6;26;1;11;-10;-4;-14;-18
20;47;48;18;-12;-19;-6;-13
2;40;10;19;-8;-15;-14;0
29;31;17;21;-17;-9;-7;-10
26;0;35;39;-4;-3;-2;-11
44;23;0;30;-7;-20;-12;-10
11;36;14;5;-2;-14;-2;-12
29;4;47;29;-8;-15;-12;-8
20;33;40;32;-17;-18;0;-6
40;31;12;31;-7;-9;-9;-4
35;24;15;28;-7;-7;-11;-10
16;26;35;47;-15;-18;-14;-4
45;6;12;38;-3;-10;-13;-19
22;0;4;32;-18;-3;-1;-19
28;15;0;32;-5;-20;-2;-19
8;1;40;7;-8;-15;-14;-2
14;33;40;14;-8;-18;-3;-18
41;6;10;24;-15;-10;-2;-12
0;38;43;6;-1;-1;-10;0
26;37;10;27;-15;-2;0;-19
30;1;38;47;-6;-4;-6;-1
48;49;6;49;-8;-20;-18;-18
16;14;21;23;-11;-12;-13;-11
46;18;8;3;-1;-6;-3;-6
10;22;17;0;-16;-6;-17;0
10;33;11;46;-13;-17;-13;-5
42;41;41;32;-14;-5;-15;-8
17;39;49;31;-8;-16;-17;-11
44;35;11;8;-19;-15;-3;-10
42;38;25;1;-17;-3;-7;-16
31;24;2;20;-7;-17;-9;-14
33;40;20;6;-11;-5;-9;-3
35;31;14;20;-12;-9;-20;-17
8;25;35;4;-14;-10;-12;-12
11;37;10;3;-11;-14;-13;-11
22;38;45;27;-14;-3;-9;-20
37;34;42;32;-6;-7;-20;-8
3;16;7;40;-12;-11;-5;-17
23;21;35;42;-11;-12;-16;-9
10;19;3;47;-15;-9;-11;0
39;33;21;12;-15;-3;-2;0
10;21;21;7;-8;-12;-15;-10
19;24;10;45;-9;0;-13;-5
20;19;30;10;-6;0;-20;-15
8;33;24;25;-15;-20;-17;-14
35;45;5;38;-10;-20;-4;-16
40;47;11;19;0;-7;-10;-16
35;44;28;43;-11;-1;-14;-18
37;38;19;7;-17;-18;-20;-20
48;21;45;2;-19;-3;-18;-9
13;6;8;17;-5;-1;-2;-9
39;13;12;38;-13;-19;0;0
25;30;46;0;-8;-19;-4;-11
43;11;22;28;-18;-18;-11;-10
1;36;24;31;-1;-10;-7;-15
38;44;46;37;-3;-7;-1;-17
6;16;45;4;-14;-20;-9;-4
10;30;6;35;-7;-3;-17;-15
25;8;30;12;-6;-4;-3;-19
27;46;43;0;-12;-18;-5;-19
18;43;49;25;-8;-10;-19;-10
45;13;40;32;-18;-2;-15;0
34;23;41;16;-17;-3;-13;-18
30;13;13;38;-5;-20;-17;-15
44;4;30;47;-12;0;0;-3
22;5;25;37;-3;-3;-1;-18
5;24;40;34;-16;-20;-7;-11
26;6;20;25;-14;-20;-4;-9
36;27;6;49;-9;-18;-1;-4
7;49;14;21;-16;-13;-13;-14
14;47;47;13;-3;-4;-7;-11
12;33;42;0;-9;-15;-1;-8
26;20;20;29;-13;-8;-10;-19
45;25;31;36;-9;-16;-11;-12
47;38;37;38;-20;-20;-5;-16
46;32;18;21;-7;-9;-8;-9
16;26;23;8;-3;0;0;-16
12;24;18;38;-4;-14;-16;0
42;25;37;35;-4;-13;-10;-13
8;10;34;6;-1;-2;-11;-18
14;36;37;10;-11;-16;-9;-10
