q0p0;q0p1;q0p2;q1p0;q1p1;q1p2;q2p0;q2p1;q2p2;s[0, 3];s[0, 4];s[0, 5];s[0, 6];s[0, 7];s[0, 8];s[1, 3];s[1, 4];s[1, 5];s[1, 6];s[1, 7];s[1, 8];s[2, 3];s[2, 4];s[2, 5];s[2, 6];s[2, 7];s[2, 8];s[3, 6];s[3, 7];s[3, 8];s[4, 6];s[4, 7];s[4, 8];s[5, 6];s[5, 7];s[5, 8];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11;cost_ranking 12;cost_ranking 13;cost_ranking 14;cost_ranking 15;cost_ranking 16;cost_ranking 17;cost_ranking 18;cost_ranking 19;cost_ranking 20;cost_ranking 21;cost_ranking 22;cost_ranking 23;cost_ranking 24;cost_ranking 25;cost_ranking 26
43;3;16;27;37;41;14;40;43;53;69;80;53;64;67;15;39;35;-2;28;44;32;46;57;16;36;52;32;51;68;37;66;73;36;61;82;-2;15;16;28;32;32;35;36;36;37;39;44;46;51;52;53;53;57;61;64;66;67;68;69;73;80;82
39;41;45;14;19;5;37;37;45;51;41;30;66;68;80;36;45;33;68;65;82;46;45;50;72;75;72;41;47;59;49;38;46;32;29;50;29;30;32;33;36;38;41;41;45;45;46;46;47;49;50;50;51;59;65;66;68;68;72;72;75;80;82
35;14;35;19;11;46;46;3;11;38;43;75;63;29;28;22;15;47;49;8;13;46;27;79;70;22;45;64;22;21;41;0;18;75;43;44;0;8;13;15;18;21;22;22;22;27;28;29;38;41;43;43;44;45;46;47;49;63;64;70;75;75;79
11;47;11;39;37;43;3;38;9;46;29;50;2;38;19;83;82;82;40;71;53;30;45;39;12;34;12;33;60;37;36;60;31;29;63;40;2;12;12;19;29;29;30;31;33;34;36;37;38;39;40;40;45;46;50;53;60;60;63;71;82;82;83
46;48;43;29;32;49;31;49;26;65;78;78;72;95;72;76;61;95;69;77;73;71;66;79;54;89;50;49;65;36;56;73;45;75;79;69;36;45;49;50;54;56;61;65;65;66;69;69;71;72;72;73;73;75;76;77;78;78;79;79;89;95;95
48;38;41;18;43;35;3;24;31;52;80;79;33;70;74;53;69;53;23;62;69;54;80;76;27;52;64;20;37;31;43;47;68;23;50;57;20;23;23;27;31;33;37;43;47;50;52;52;53;53;54;57;62;64;68;69;69;70;74;76;79;80;80
46;46;34;22;44;26;1;48;15;68;88;62;28;84;46;51;79;62;40;82;49;41;65;60;27;64;30;5;67;25;26;89;47;22;74;33;5;22;25;26;27;28;30;33;40;41;46;47;49;51;60;62;62;64;65;67;68;74;79;82;84;88;89
45;40;49;19;0;17;45;27;46;52;44;47;88;70;84;50;37;39;76;53;66;52;44;57;93;62;83;62;46;53;29;26;35;44;43;62;26;29;35;37;39;43;44;44;44;46;47;50;52;52;53;53;57;62;62;62;66;70;76;83;84;88;93
37;18;47;29;19;43;23;31;4;66;42;79;45;52;30;44;17;48;21;29;19;58;62;78;66;63;43;43;43;15;40;36;16;50;63;29;15;16;17;19;21;29;29;30;36;40;42;43;43;43;44;45;48;50;52;58;62;63;63;66;66;78;79
0;12;48;31;38;31;4;32;28;19;34;13;4;24;23;38;47;24;1;28;20;79;85;62;34;80;65;17;58;57;42;68;48;30;57;41;1;4;13;17;19;20;23;24;24;28;30;34;34;38;41;42;47;48;57;57;58;62;65;68;79;80;85
36;14;27;10;49;48;32;30;0;31;81;74;66;51;17;13;60;46;41;43;-1;34;68;73;59;47;15;24;30;-5;61;77;42;79;63;32;-5;-1;13;15;17;24;30;31;32;34;41;42;43;46;47;51;59;60;61;63;66;68;73;74;77;79;81
0;37;34;25;25;25;43;34;2;15;23;16;40;21;-10;58;47;62;76;59;28;50;41;49;71;55;19;48;41;11;50;56;22;62;39;26;-10;11;15;16;19;21;22;23;26;28;39;40;41;41;47;48;49;50;50;55;56;58;59;62;62;71;76
18;1;40;27;2;40;0;27;48;29;0;39;5;30;49;24;-9;30;-12;13;46;54;22;70;38;52;79;9;38;56;-2;25;45;26;55;82;-12;-9;-2;0;5;9;13;22;24;25;26;29;30;30;38;38;39;45;46;49;52;54;55;56;70;79;82
28;31;0;7;0;0;21;30;1;18;18;10;46;57;15;28;25;13;38;45;27;7;-4;-10;19;17;-3;15;33;4;5;26;-2;10;24;-16;-16;-10;-4;-3;-2;4;5;7;10;10;13;15;15;17;18;18;19;24;25;26;27;28;33;38;45;46;57
24;42;43;0;42;48;37;3;38;5;47;57;43;21;53;29;71;87;59;37;74;34;78;89;79;26;62;36;-9;32;62;29;61;76;32;82;-9;5;21;26;29;29;32;32;34;36;37;43;47;53;57;59;61;62;62;71;74;76;78;79;82;87;89
6;44;45;9;49;20;39;31;23;-3;36;8;43;18;27;44;79;61;78;66;55;37;79;57;66;74;63;48;20;15;87;72;64;50;48;27;-3;8;15;18;20;27;27;36;37;43;44;48;48;50;55;57;61;63;64;66;66;72;74;78;79;79;87
5;47;22;44;36;45;26;27;0;43;22;33;15;23;-14;79;66;89;72;57;43;47;39;53;48;47;16;67;51;36;58;63;34;59;56;39;-14;15;16;22;23;33;34;36;39;39;43;43;47;47;48;51;53;56;57;58;59;63;66;67;72;79;89
22;4;25;18;28;42;30;42;34;23;48;51;46;55;48;13;28;29;16;41;23;29;44;53;54;50;58;39;55;43;53;66;44;60;84;58;13;16;23;23;28;29;29;39;41;43;44;44;46;48;48;50;51;53;53;54;55;55;58;58;60;66;84
41;14;24;26;36;46;47;7;12;66;61;69;84;29;35;27;47;47;46;7;17;50;55;64;64;29;31;54;24;20;73;27;30;87;53;55;7;17;20;24;27;27;29;29;30;31;35;46;47;47;50;53;54;55;55;61;64;64;66;69;73;84;87
48;27;17;15;10;30;20;10;47;45;52;65;57;45;75;34;20;49;46;21;60;29;21;36;32;9;48;16;18;51;25;18;42;46;27;64;9;16;18;18;20;21;21;25;27;29;32;34;36;42;45;45;46;46;48;49;51;52;57;60;64;65;75
14;7;19;39;4;17;39;1;20;50;12;26;47;2;26;32;-1;10;46;0;14;51;22;29;42;20;37;78;20;41;41;-4;12;51;4;34;-4;-1;0;2;4;10;12;12;14;20;20;22;26;26;29;32;34;37;41;41;42;46;47;50;51;51;78
31;9;14;39;27;15;32;30;39;56;47;42;57;45;67;32;25;8;26;30;42;48;39;14;39;41;40;67;53;76;47;50;61;43;45;38;8;14;25;26;30;32;38;39;39;40;41;42;42;43;45;45;47;47;48;50;53;56;57;61;67;67;76
20;13;44;40;22;7;40;40;9;43;26;10;57;41;24;40;16;3;39;44;3;64;54;35;82;64;46;70;75;38;48;60;20;28;37;8;3;3;8;10;16;20;24;26;28;35;37;38;39;40;41;43;44;46;48;54;57;60;64;64;70;75;82
39;47;15;18;37;27;33;28;15;47;70;52;59;58;52;45;64;65;63;59;50;33;39;22;42;43;23;40;27;25;69;63;34;48;35;31;22;23;25;27;31;33;34;35;39;40;42;43;45;47;48;50;52;52;58;59;59;63;63;64;65;69;70
42;15;28;29;33;11;32;3;14;67;61;47;69;30;48;42;45;23;27;8;12;38;60;31;51;16;27;46;29;28;47;29;33;37;1;14;1;8;12;14;16;23;27;27;28;29;29;30;31;33;37;38;42;45;46;47;47;48;51;60;61;67;69
43;48;28;12;9;31;20;29;35;48;43;68;63;69;65;42;57;74;65;69;78;30;32;50;37;50;50;22;21;40;14;23;32;42;42;58;14;21;22;23;30;32;32;37;40;42;42;42;43;48;50;50;50;57;58;63;65;65;68;69;69;74;78
17;37;39;6;4;30;13;26;40;17;11;36;20;39;48;31;38;49;36;55;70;43;32;58;34;54;60;17;14;46;6;10;25;38;43;52;6;10;11;14;17;17;20;25;31;32;34;36;36;38;38;39;43;43;46;48;49;52;54;55;58;60;70
38;15;17;38;4;16;45;38;46;72;26;48;74;56;69;37;10;15;47;52;59;39;3;16;61;43;53;76;73;84;37;41;32;46;53;48;3;10;15;16;26;32;37;37;39;41;43;46;47;48;48;52;53;53;56;59;61;69;72;73;74;76;84
16;44;7;37;32;9;14;49;0;37;33;11;23;46;-2;62;66;33;55;75;25;31;30;-2;12;54;-5;31;73;29;33;76;22;12;46;-9;-9;-5;-2;-2;11;12;12;22;23;25;29;30;31;31;33;33;33;37;46;46;54;55;62;66;73;75;76
2;5;0;14;14;45;39;37;22;-1;3;34;22;22;19;19;19;43;25;39;25;9;2;32;35;17;13;48;47;35;46;45;33;69;81;58;-1;2;3;9;13;17;19;19;19;22;22;25;25;32;33;34;35;35;39;43;45;46;47;48;58;69;81
29;7;33;48;5;46;49;4;34;57;15;67;66;30;59;54;9;35;37;4;37;64;28;73;80;17;50;96;36;62;42;9;38;90;41;80;4;9;9;15;17;28;30;35;36;37;37;38;41;42;50;54;57;59;62;64;66;67;73;80;80;90;96
9;48;34;3;40;12;33;16;27;5;36;11;41;15;26;48;81;60;67;45;69;21;66;34;60;34;52;30;6;15;55;39;53;27;27;25;5;6;11;15;15;21;25;26;27;27;30;34;34;36;39;41;45;48;52;53;55;60;60;66;67;69;81
45;5;0;25;26;44;33;22;47;60;55;72;61;52;91;11;24;34;32;15;50;18;12;43;29;3;29;40;33;63;56;37;54;74;56;89;3;11;12;15;18;24;29;29;32;33;34;37;40;43;50;52;54;55;56;56;60;61;63;72;74;89;91
4;12;16;14;37;4;46;22;0;0;32;-6;35;12;-12;13;39;8;40;32;12;20;33;2;57;31;1;57;26;2;68;55;19;38;22;1;-12;-6;0;1;1;2;2;8;12;12;13;19;20;22;26;31;32;32;33;35;38;39;40;55;57;57;68
36;43;17;9;29;48;23;47;38;34;55;81;45;83;69;47;64;72;56;83;75;20;31;65;22;54;35;24;46;39;51;73;67;54;90;75;20;22;24;31;34;35;39;45;46;47;51;54;54;55;56;64;65;67;69;72;73;75;75;81;83;83;90
21;24;15;17;31;31;33;39;48;34;52;52;35;51;50;39;39;42;44;53;61;32;41;45;40;41;43;44;53;61;46;56;69;52;65;65;32;34;35;39;39;40;41;41;42;43;44;44;45;46;50;51;52;52;52;53;53;56;61;61;65;65;69
45;40;10;20;45;24;41;1;39;47;81;67;71;30;73;42;84;46;68;40;78;17;39;17;43;1;33;58;3;39;84;36;68;49;12;61;1;3;12;17;17;30;33;36;39;39;40;42;43;46;47;49;58;61;67;68;68;71;73;78;81;84;84
32;30;0;21;11;11;13;6;34;50;34;43;30;31;54;36;41;25;32;27;46;11;11;1;13;-5;31;30;8;44;17;6;30;14;1;40;-5;1;1;6;8;11;11;13;14;17;25;27;30;30;30;31;31;32;34;36;40;41;43;44;46;50;54
0;25;31;34;1;4;13;24;27;23;-14;-11;4;23;8;48;7;16;27;43;38;48;17;18;41;48;48;38;40;53;-4;15;28;-3;23;25;-14;-11;-4;-3;4;7;8;15;16;17;18;23;23;23;25;27;28;38;38;40;41;43;48;48;48;48;53
23;17;19;42;14;35;44;16;8;64;37;55;67;37;28;44;26;34;55;20;13;51;22;50;45;20;14;77;40;30;57;19;3;64;38;26;3;13;14;19;20;20;22;26;26;28;30;34;37;37;38;40;44;45;50;51;55;55;57;64;64;67;77
19;27;42;7;23;46;36;5;21;9;32;47;41;5;39;18;42;69;55;25;48;38;65;81;68;29;49;23;-4;8;50;26;42;72;36;51;-4;5;8;9;18;23;25;26;29;32;36;38;39;41;42;42;47;48;49;50;51;55;65;68;69;72;81
6;4;17;20;27;47;13;0;36;16;25;37;16;-3;25;11;13;50;17;-11;39;36;25;55;25;6;36;17;9;36;22;17;46;47;46;77;-11;-3;6;9;11;13;16;16;17;17;17;22;25;25;25;25;36;36;36;37;39;46;46;47;50;55;77
27;0;1;32;9;25;46;18;25;45;22;45;70;32;42;18;4;23;33;17;5;30;-5;15;46;7;12;71;34;46;40;23;17;54;37;44;-5;4;5;7;12;15;17;17;18;22;23;23;30;32;33;34;37;40;42;44;45;45;46;46;54;70;71
33;16;48;34;31;38;36;42;4;65;64;63;62;68;35;32;46;45;36;41;0;77;65;85;68;84;42;67;75;22;53;66;21;64;66;30;0;21;22;30;32;35;36;41;42;45;46;53;62;63;64;64;65;65;66;66;67;68;68;75;77;84;85
36;34;23;4;13;31;46;17;16;21;45;52;82;52;40;21;33;50;75;33;43;12;18;50;50;28;34;49;12;20;53;11;19;67;45;39;11;12;12;18;19;20;21;21;28;33;33;34;39;40;43;45;45;49;50;50;50;52;52;53;67;75;82
34;13;26;13;49;4;41;45;20;43;81;29;62;67;46;13;60;7;39;49;13;29;61;20;55;59;32;34;44;30;85;88;64;25;42;17;7;13;13;17;20;25;29;29;30;32;34;39;42;43;44;46;49;55;59;60;61;62;64;67;81;85;88
41;33;8;47;33;37;26;18;1;81;66;76;48;40;36;71;59;65;57;38;24;53;21;41;24;11;5;56;63;47;58;36;20;54;37;18;5;11;18;20;21;24;24;36;36;37;38;40;41;47;48;53;54;56;57;58;59;63;65;66;71;76;81
13;7;48;15;34;11;13;24;19;10;38;24;12;25;27;13;40;9;8;18;9;58;68;44;60;69;57;12;19;29;43;40;47;17;20;29;8;9;9;10;12;12;13;17;18;19;20;24;25;27;29;29;38;40;40;43;44;47;57;58;60;68;69
48;6;43;19;48;30;22;0;29;57;92;74;56;35;72;16;35;16;23;-13;18;54;86;59;51;35;61;34;4;39;53;43;62;33;21;47;-13;4;16;16;18;21;23;33;34;35;35;35;39;43;47;51;53;54;56;57;59;61;62;72;74;86;92
29;34;6;29;4;19;5;7;32;53;32;47;20;29;59;56;28;39;32;32;62;32;2;21;-6;-6;20;29;23;50;-1;-5;33;14;19;46;-6;-6;-5;-1;2;14;19;20;20;21;23;28;29;29;32;32;32;32;33;39;46;47;50;53;56;59;62
49;14;3;30;28;13;27;40;28;60;65;42;73;88;65;41;24;8;29;53;39;24;23;4;25;42;11;42;69;38;42;58;41;31;35;28;4;8;11;23;24;24;25;28;29;31;35;38;39;41;41;42;42;42;42;53;58;60;65;65;69;73;88
9;12;19;17;29;29;7;40;43;9;22;37;16;34;36;9;40;39;14;37;52;31;40;32;12;41;62;8;50;58;23;49;66;34;61;71;8;9;9;12;14;16;22;23;31;32;34;34;36;37;37;39;40;40;41;49;50;52;58;61;62;66;71
37;8;6;16;4;41;21;17;43;49;26;66;40;38;67;20;8;29;29;7;31;7;-1;45;17;12;35;18;17;51;18;8;40;45;50;67;-1;7;7;8;8;12;17;17;18;18;20;26;29;29;31;35;38;40;40;45;45;49;50;51;66;67;67
35;12;36;22;44;11;42;1;2;47;63;27;65;31;37;26;54;15;53;1;9;56;71;41;69;25;34;61;10;22;71;41;30;37;-2;3;-2;1;3;9;10;15;22;25;26;27;30;31;34;37;37;41;41;47;53;54;56;61;63;65;69;71;71
23;13;47;25;13;42;15;39;8;36;26;61;33;42;18;20;23;53;24;40;14;52;59;73;51;73;37;33;47;27;8;41;1;57;80;49;1;8;14;18;20;23;24;26;27;33;33;36;37;40;41;42;47;49;51;52;53;57;59;61;73;73;80
32;40;37;49;13;46;30;40;17;70;34;60;61;60;32;86;48;66;54;80;40;78;47;76;66;68;39;77;72;63;36;33;14;65;67;44;14;32;33;34;36;39;40;44;47;48;54;60;60;61;63;65;66;66;67;68;70;72;76;77;78;80;86
45;34;11;42;12;25;31;49;22;73;49;66;59;88;51;62;45;49;56;71;56;53;18;22;23;56;13;55;90;50;33;56;24;54;67;37;13;18;22;23;24;33;37;45;49;49;50;51;53;54;55;56;56;56;56;59;62;66;67;71;73;88;90
19;9;35;3;0;10;19;43;8;5;19;22;25;54;11;6;7;2;28;52;6;37;22;32;39;65;33;16;35;2;3;26;0;18;41;6;0;2;2;3;5;6;6;6;7;11;16;18;19;22;22;25;26;28;32;33;35;37;39;41;52;54;65
36;9;23;18;38;25;36;43;34;37;71;59;71;71;51;11;46;31;38;32;25;38;42;34;54;49;41;36;41;48;55;68;59;44;52;56;11;25;31;32;34;36;37;38;38;41;41;42;44;46;48;49;51;52;54;55;56;59;59;68;71;71;71
17;8;47;48;9;14;0;22;38;52;10;15;-3;24;53;53;3;13;-11;20;45;80;42;45;42;67;70;33;61;70;6;31;33;5;19;43;-11;-3;3;5;6;10;13;15;19;20;24;31;33;33;42;42;43;45;45;52;53;53;61;67;70;70;80
26;21;11;40;3;25;32;17;47;46;12;50;47;40;68;52;8;43;34;20;67;44;7;21;25;11;46;67;54;67;30;7;34;47;32;58;7;7;8;11;12;20;21;25;30;32;34;34;40;43;44;46;46;47;47;50;52;54;58;67;67;67;68
48;7;27;11;17;10;8;6;27;59;64;39;46;49;57;17;10;10;-5;-6;28;18;28;19;18;19;53;16;7;18;8;12;32;3;5;22;-6;-5;3;5;7;8;10;10;12;16;17;18;18;18;19;19;22;28;28;32;39;46;49;53;57;59;64
15;48;12;3;13;42;34;49;46;17;18;50;32;55;58;51;59;89;75;85;85;1;21;48;39;54;57;21;50;41;39;47;44;73;83;79;1;17;18;21;21;32;39;39;41;44;47;48;50;50;51;54;55;57;58;59;73;75;79;83;85;85;89
0;29;2;18;22;37;46;37;28;14;16;20;41;31;20;44;47;47;66;46;40;3;24;37;35;33;21;60;45;36;56;49;45;70;60;46;3;14;16;20;20;21;24;31;33;35;36;37;40;41;44;45;45;46;46;47;47;49;56;60;60;66;70
37;11;49;31;21;42;10;25;12;60;47;61;34;61;29;40;21;46;20;16;16;79;50;77;57;64;47;41;43;25;29;32;29;48;51;36;16;16;20;21;25;29;29;29;32;34;36;40;41;43;46;47;47;48;50;51;57;60;61;61;64;77;79
23;13;23;1;9;46;8;13;39;21;30;61;23;20;43;8;6;51;4;9;34;8;21;59;22;17;47;3;13;40;9;19;33;46;49;80;3;4;6;8;8;9;9;13;17;19;20;21;21;22;23;30;33;34;40;43;46;47;49;51;59;61;80
37;40;37;28;20;43;20;25;35;63;41;72;40;51;58;62;54;65;41;52;58;49;43;80;41;53;57;28;53;45;39;29;48;55;57;76;28;29;39;40;41;41;41;43;45;48;49;51;52;53;53;54;55;57;57;58;58;62;63;65;72;76;80
18;12;19;2;44;26;43;30;41;18;47;37;52;30;59;6;45;35;37;37;38;14;52;38;62;48;53;26;29;26;87;58;74;63;39;67;6;14;18;26;26;29;30;35;37;37;37;38;38;39;45;47;48;52;52;53;58;59;62;63;67;74;87
20;45;17;1;35;46;48;21;43;13;41;47;61;27;44;30;66;85;74;62;74;9;51;46;48;38;40;43;11;30;64;36;64;89;50;74;9;11;13;27;30;30;36;38;40;41;43;44;46;47;48;50;51;61;62;64;64;66;74;74;74;85;89
28;7;0;4;12;35;25;31;7;18;28;57;45;58;30;1;4;29;22;22;9;-3;-7;27;12;14;-13;14;17;-9;27;30;19;59;63;31;-13;-9;-7;-3;1;4;9;12;14;14;17;18;19;22;22;27;27;28;29;30;30;31;45;57;58;59;63
23;45;13;36;49;10;7;47;46;58;56;18;25;60;60;65;77;36;45;89;79;31;59;16;7;57;39;29;80;67;56;82;84;3;41;41;3;7;16;18;25;29;31;36;39;41;41;45;56;56;57;58;59;60;60;65;67;77;79;80;82;84;89
32;2;30;35;46;26;9;39;1;61;64;40;27;56;23;21;44;22;-4;27;-8;48;74;39;25;67;11;36;70;35;54;85;45;19;65;13;-8;-4;11;13;19;21;22;23;25;27;27;35;36;39;40;44;45;48;54;56;61;64;65;67;70;74;85
46;41;34;33;43;9;5;33;35;78;69;40;32;73;64;67;66;33;42;69;74;53;61;40;26;54;51;27;58;58;39;62;65;13;27;26;13;26;26;27;27;32;33;39;40;40;42;51;53;54;58;58;61;62;64;65;66;67;69;69;73;74;78
15;48;45;25;13;44;15;47;47;22;15;44;11;44;50;73;56;90;50;86;87;58;54;81;46;80;85;25;71;58;18;43;47;55;90;83;11;15;18;22;25;43;44;44;46;47;50;50;54;55;56;58;58;71;73;80;81;83;85;86;87;90;90
2;33;4;13;28;40;0;17;18;9;23;36;0;12;2;37;61;72;33;49;46;5;28;40;2;7;8;-7;24;26;16;38;42;31;57;41;-7;0;2;2;5;7;8;9;12;16;23;24;26;28;31;33;36;37;38;40;41;42;46;49;57;61;72
16;20;28;3;48;13;4;37;40;14;61;21;8;37;48;17;58;22;16;39;56;19;71;34;14;64;60;-6;32;43;33;80;84;-1;47;45;-6;-1;8;14;14;16;17;19;21;22;32;33;34;37;39;43;45;47;48;56;58;60;61;64;71;80;84
22;2;33;23;15;46;35;34;7;28;23;54;42;50;26;15;3;45;33;33;-11;43;34;66;61;67;39;40;37;24;40;41;15;70;79;38;-11;3;15;15;23;24;26;28;33;33;34;37;38;39;40;40;41;42;43;45;50;54;61;66;67;70;79
41;30;13;6;30;42;49;27;15;38;70;72;72;66;44;34;50;58;71;43;31;0;40;51;46;35;22;35;31;6;63;42;37;85;60;57;0;6;22;31;31;34;35;35;37;38;40;42;43;44;46;50;51;57;58;60;63;66;70;71;72;72;85
31;3;11;5;30;47;27;1;0;32;43;78;43;23;28;-3;24;47;20;-13;-17;16;41;50;32;10;7;20;-12;-2;52;27;25;74;42;30;-17;-13;-12;-3;-2;7;10;16;20;20;23;24;25;27;28;30;32;32;41;42;43;43;47;50;52;74;78
47;18;19;24;38;20;0;1;48;64;69;65;42;40;88;40;39;34;7;19;61;39;50;19;10;13;48;22;17;58;35;33;79;6;20;54;6;7;10;13;17;19;19;20;22;33;34;35;39;39;40;40;42;48;50;54;58;61;64;65;69;79;88
26;32;49;48;16;37;44;42;26;57;22;60;54;63;46;62;44;67;61;70;57;82;51;78;89;77;74;72;75;69;47;58;35;79;70;48;22;35;44;46;47;48;51;54;57;57;58;60;61;62;63;67;69;70;70;72;74;75;77;78;79;82;89
4;1;46;24;45;24;20;35;44;25;32;10;12;36;39;8;36;22;20;26;34;58;83;50;61;75;89;34;59;48;50;74;88;35;56;49;8;10;12;20;22;25;26;32;34;34;35;36;36;39;48;49;50;50;56;58;59;61;74;75;83;88;89
46;49;36;1;6;8;8;19;31;42;32;37;36;56;57;37;52;50;48;56;66;30;23;41;40;48;63;-1;11;16;9;13;27;10;19;38;-1;9;10;11;13;16;19;23;27;30;32;36;37;37;38;40;41;42;48;48;50;52;56;56;57;63;66
3;7;42;20;32;41;28;48;38;10;15;37;31;38;28;9;23;42;30;49;40;42;60;73;55;90;61;46;64;53;50;77;59;53;75;76;9;10;15;23;28;30;31;37;38;40;42;42;46;49;50;53;53;55;59;60;61;64;73;75;76;77;90
32;47;41;43;35;11;30;45;47;69;62;26;54;71;59;89;74;41;73;84;92;82;60;45;66;84;71;55;79;84;58;63;80;30;48;56;26;30;41;45;48;54;55;56;58;59;60;62;63;66;69;71;71;73;74;79;80;82;84;84;84;89;92
