q0p0;q0p1;q0p2;q0p3;q1p0;q1p1;q1p2;s[0, 4];s[0, 5];s[0, 6];s[1, 4];s[1, 5];s[1, 6];s[2, 4];s[2, 5];s[2, 6];s[3, 4];s[3, 5];s[3, 6];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11
34;49;3;36;31;31;12;51;65;42;80;66;42;15;16;9;56;66;31;9;15;16;31;42;42;51;56;65;66;66;80
43;43;19;40;4;14;26;34;38;50;45;52;55;22;18;30;37;35;54;18;22;30;34;35;37;38;45;50;52;54;55
21;17;0;37;42;3;10;47;6;24;47;9;8;35;-3;-4;73;21;33;-4;-3;6;8;9;21;24;33;35;47;47;73
0;39;49;21;23;23;23;6;10;11;52;42;44;68;60;71;39;26;32;6;10;11;26;32;39;42;44;52;60;68;71
9;36;15;5;30;29;8;21;22;9;48;56;41;33;24;7;32;33;-3;-3;7;9;21;22;24;32;33;33;41;48;56
41;49;30;40;36;1;48;68;40;88;81;31;79;56;24;76;75;32;88;24;31;32;40;56;68;75;76;79;81;88;88
30;19;33;15;49;8;45;59;25;69;68;20;46;74;40;66;45;14;55;14;20;25;40;45;46;55;59;66;68;69;74
37;24;43;49;38;1;20;62;32;39;42;7;43;64;36;50;70;30;60;7;30;32;36;39;42;43;50;60;62;64;70
10;4;47;28;30;25;18;38;17;12;19;17;4;62;72;54;55;34;27;4;12;17;17;19;27;34;38;54;55;62;72
8;46;20;35;35;44;49;31;42;43;62;78;78;51;48;50;54;72;73;31;42;43;48;50;51;54;62;72;73;78;78
13;32;9;25;8;24;35;4;35;34;29;49;65;9;27;44;13;35;46;4;9;13;27;29;34;35;35;44;46;49;65
43;26;49;1;40;22;24;78;63;55;60;44;39;89;56;67;40;12;13;12;13;39;40;44;55;56;60;63;67;78;89
8;15;26;25;14;3;4;8;-4;-6;13;11;12;30;25;21;27;19;18;-6;-4;8;11;12;13;18;19;21;25;27;30
38;36;31;7;11;8;21;30;34;54;43;41;47;33;23;45;18;14;27;14;18;23;27;30;33;34;41;43;45;47;54
30;3;36;17;8;45;24;32;56;46;2;33;23;34;70;49;7;58;28;2;7;23;28;32;33;34;46;49;56;58;70
5;23;26;4;9;40;7;4;27;-7;16;44;28;16;56;21;13;37;-8;-8;-7;4;13;16;16;21;27;28;37;44;56
16;47;6;45;9;38;49;13;36;57;44;83;94;5;39;46;42;77;82;5;13;36;39;42;44;46;57;77;82;83;94
32;16;43;7;40;24;38;66;38;55;46;20;53;71;53;66;38;21;44;20;21;38;38;44;46;53;53;55;66;66;71
7;21;23;36;29;43;42;31;31;43;50;57;44;38;66;46;64;77;62;31;31;38;43;44;46;50;57;62;64;66;77
11;18;38;32;9;31;27;9;40;26;19;43;34;45;49;53;22;47;47;9;19;22;26;34;40;43;45;47;47;49;53
12;23;28;46;43;7;2;41;7;10;54;29;22;54;29;29;86;46;36;7;10;22;29;29;29;36;41;46;54;54;86
6;9;8;49;20;7;17;8;11;20;29;6;16;11;11;15;62;56;62;6;8;11;11;11;15;16;20;29;56;62;62
48;46;41;21;20;24;8;67;53;56;48;53;46;60;53;45;31;42;24;24;31;42;45;46;48;53;53;53;56;60;67
4;26;19;6;48;21;14;34;12;0;65;36;40;55;26;14;42;14;15;0;12;14;14;15;26;34;36;40;42;55;65
31;28;45;7;14;41;48;43;55;71;33;54;57;41;67;82;9;39;37;9;33;37;39;41;43;54;55;57;67;71;82
39;37;8;20;14;48;16;46;83;39;46;84;38;15;49;24;34;63;19;15;19;24;34;38;39;46;46;49;63;83;84
27;40;22;32;34;30;18;50;48;39;64;70;48;47;50;21;53;44;43;21;39;43;44;47;48;48;50;50;53;64;70
48;36;32;37;27;46;47;55;82;79;59;68;71;40;68;70;61;63;69;40;55;59;61;63;68;68;69;70;71;79;82
45;49;43;43;42;36;5;70;65;47;83;83;41;79;70;39;75;70;35;35;39;41;47;65;70;70;70;75;79;83;83
18;9;13;8;8;46;3;16;52;19;14;35;1;1;39;-4;8;54;7;-4;1;1;7;8;14;16;19;35;39;52;54
15;25;41;41;34;30;36;30;37;47;51;35;60;65;60;77;68;51;68;30;35;37;47;51;51;60;60;65;68;68;77
38;11;16;10;30;19;38;52;47;68;22;22;47;31;34;36;33;24;45;22;22;24;31;33;34;36;45;47;47;52;68
10;22;13;10;39;8;4;40;0;2;49;15;20;35;19;14;44;-2;2;-2;0;2;2;14;15;19;20;35;40;44;49
44;23;25;32;37;40;30;76;78;64;47;51;44;56;47;44;63;64;58;44;44;47;47;51;56;58;63;64;64;76;78
25;15;5;32;33;4;8;52;15;21;39;16;22;24;-1;-3;54;29;37;-3;-1;15;16;21;22;24;29;37;39;52;54
15;0;18;34;9;49;27;24;45;41;-6;34;20;23;61;30;41;63;44;-6;20;23;24;30;34;41;41;44;45;61;63
48;43;5;41;7;49;30;46;84;62;38;74;59;11;52;22;46;90;62;11;22;38;46;46;52;59;62;62;74;84;90
26;7;35;32;6;40;27;26;60;34;11;36;24;27;68;56;24;70;53;11;24;24;26;27;34;36;53;56;60;68;70
14;37;35;20;20;30;3;15;27;6;47;62;38;46;65;22;22;42;11;6;11;15;22;22;27;38;42;46;47;62;65
9;42;9;11;17;20;34;19;12;28;55;48;56;23;24;38;20;12;35;12;12;19;20;23;24;28;35;38;48;55;56
48;7;33;2;34;18;18;62;55;53;25;24;22;57;31;38;28;9;16;9;16;22;24;25;28;31;38;53;55;57;62
26;1;44;7;26;41;30;35;51;47;21;22;30;50;70;71;17;42;19;17;19;21;22;30;35;42;47;50;51;70;71
38;43;45;25;16;28;47;46;54;83;47;66;71;61;57;78;40;37;71;37;40;46;47;54;57;61;66;71;71;78;83
2;12;9;25;35;33;22;27;28;14;39;45;27;27;33;14;56;49;37;14;14;27;27;27;28;33;37;39;45;49;56
13;45;40;4;42;11;3;36;12;0;70;37;31;78;47;29;27;8;-13;-13;0;8;12;27;29;31;36;37;47;70;78
4;24;28;14;45;0;13;37;0;17;56;5;22;64;13;36;54;0;20;0;0;5;13;17;20;22;36;37;54;56;64
1;30;43;21;29;29;35;19;27;16;57;57;62;68;55;69;35;47;53;16;19;27;35;47;53;55;57;57;62;68;69
47;43;44;21;49;49;37;90;90;65;72;80;63;91;85;69;57;56;50;50;56;57;63;65;69;72;80;85;90;90;91
29;3;44;16;49;26;42;68;53;55;44;15;40;79;58;86;55;30;42;15;30;40;42;44;53;55;55;58;68;79;86
8;3;36;20;16;7;21;22;-3;11;19;0;10;38;27;40;27;12;37;-3;0;10;11;12;19;22;27;27;37;38;40
2;47;38;15;38;22;32;29;15;32;70;64;67;76;60;57;36;29;47;15;29;29;32;36;47;57;60;64;67;70;76
32;43;16;10;42;31;8;55;49;36;80;65;48;39;38;18;40;38;15;15;18;36;38;38;39;40;48;49;55;65;80
33;23;37;2;35;46;4;52;70;18;55;61;15;66;70;32;36;41;-9;-9;15;18;32;36;41;52;55;61;66;70;70
13;46;32;12;5;12;29;17;16;32;39;43;61;17;43;60;9;4;26;4;9;16;17;17;26;32;39;43;43;60;61
23;0;16;39;29;7;46;32;23;57;19;-10;42;33;23;45;64;41;67;-10;19;23;23;32;33;41;42;45;57;64;67
46;49;1;6;34;14;18;62;51;60;78;47;56;15;5;9;21;10;16;5;9;10;15;16;21;47;51;56;60;62;78
2;8;19;7;44;15;29;32;17;20;50;18;19;56;18;45;51;13;33;13;17;18;18;19;20;32;33;45;50;51;56
37;4;47;6;20;22;18;37;50;46;23;18;12;61;60;61;15;16;9;9;12;15;16;18;23;37;46;50;60;61;61
6;43;48;14;45;5;8;47;-3;8;86;41;34;87;42;50;51;19;20;-3;8;19;20;34;41;42;47;50;51;86;87
15;9;3;2;48;37;27;51;49;26;45;29;35;33;31;11;35;27;12;11;12;26;27;29;31;33;35;35;45;49;51
26;4;16;8;3;47;21;9;73;38;2;36;10;10;57;25;8;47;22;2;8;9;10;10;22;25;36;38;47;57;73
41;32;27;0;48;3;7;85;37;48;68;23;31;71;13;17;38;-4;0;-4;0;13;17;23;31;37;38;48;68;71;85
31;7;24;22;37;47;45;63;61;68;24;38;34;61;65;64;57;61;60;24;34;38;57;60;61;61;61;63;64;65;68
10;14;45;11;12;44;45;20;36;44;21;45;42;39;71;85;13;52;53;13;20;21;36;39;42;44;45;52;53;71;85
11;17;2;39;16;15;44;18;7;44;14;17;47;15;11;43;52;40;65;7;11;14;15;17;18;40;43;44;47;52;65
4;14;2;0;19;3;24;23;-13;13;32;7;21;10;-12;17;8;-15;11;-15;-13;-12;7;8;10;11;13;17;21;23;32
40;40;0;33;11;49;14;35;82;41;46;79;48;-4;45;-3;44;79;29;-4;-3;29;35;41;44;45;46;48;79;79;82
13;35;6;16;12;43;1;18;51;8;29;77;17;8;37;4;27;41;10;4;8;8;10;17;18;27;29;37;41;51;77
15;23;23;0;2;10;10;2;7;5;6;33;31;10;33;15;-17;-5;1;-17;-5;1;2;5;6;7;10;15;31;33;33
41;25;34;23;35;5;15;63;31;40;49;25;39;58;28;38;54;21;21;21;21;25;28;31;38;39;40;49;54;58;63
41;34;29;38;26;1;3;67;27;37;59;32;36;40;16;32;64;25;25;16;25;25;27;32;32;36;37;40;59;64;67
36;42;30;33;19;20;21;40;52;56;44;49;60;38;36;47;46;39;51;36;38;39;40;44;46;47;49;51;52;56;60
12;8;39;29;36;29;27;48;23;33;32;29;22;64;54;57;54;45;53;22;23;29;32;33;45;48;53;54;54;57;64
3;35;12;21;48;4;19;42;7;13;71;35;46;52;9;24;51;19;35;7;9;13;19;24;35;35;42;46;51;52;71
35;3;19;9;20;5;36;40;27;61;6;-2;36;21;18;47;12;2;26;-2;2;6;12;18;21;26;27;36;40;47;61
43;31;8;41;39;33;21;77;65;52;59;63;40;36;37;23;79;59;61;23;36;37;40;52;59;59;61;63;65;77;79
34;47;46;46;23;42;17;57;58;50;69;69;45;60;85;50;60;88;60;45;50;50;57;58;60;60;60;69;69;85;88
24;36;17;31;4;14;36;21;31;40;25;46;53;10;14;37;22;29;62;10;14;21;22;25;29;31;37;40;46;53;62
16;8;43;7;6;48;35;10;59;41;5;47;39;42;89;63;-2;49;35;-2;5;10;35;39;41;42;47;49;59;63;89
8;24;10;14;26;41;39;20;43;33;43;63;54;19;37;36;35;43;34;19;20;33;34;35;36;37;43;43;43;54;63
47;20;0;27;35;35;6;75;65;53;38;48;14;34;24;5;55;56;32;5;14;24;32;34;38;48;53;55;56;65;75
40;3;40;38;0;1;33;32;24;56;3;3;17;30;41;58;28;24;63;3;3;17;24;24;28;30;32;41;56;58;63
20;5;6;25;46;48;38;46;67;38;47;34;28;39;49;42;54;61;44;28;34;38;39;42;44;46;47;49;54;61;67
26;17;3;4;48;6;48;74;19;61;59;22;58;44;3;33;44;-6;34;-6;3;19;22;33;34;44;44;58;59;61;74
4;22;29;16;37;2;25;41;3;29;50;16;43;52;12;47;47;16;36;3;12;16;16;29;36;41;43;47;47;50;52
18;12;31;33;48;7;33;63;21;49;53;9;45;77;33;58;69;27;66;9;21;27;33;45;49;53;58;63;66;69;77
6;33;6;46;10;34;35;16;35;24;24;48;65;2;37;32;50;63;79;2;16;24;24;32;35;37;48;50;63;65;79
29;46;36;26;21;16;10;49;34;22;56;50;36;56;43;26;37;41;16;16;22;26;34;36;37;41;43;49;50;56;56
42;45;15;39;24;14;8;48;43;42;64;58;45;37;22;15;51;47;36;15;22;36;37;42;43;45;47;48;51;58;64
16;46;2;16;29;26;30;29;24;41;75;71;74;28;17;13;43;39;43;13;17;24;28;29;39;41;43;43;71;74;75
45;44;49;30;48;42;33;83;77;74;87;70;60;87;91;64;68;69;44;44;60;64;68;69;70;74;77;83;87;87;91
16;29;15;25;35;5;31;43;3;40;62;24;47;32;13;41;40;13;55;3;13;13;24;32;40;40;41;43;47;55;62
44;34;6;29;14;17;38;45;59;75;46;31;69;18;6;30;32;39;66;6;18;30;31;32;39;45;46;59;66;69;75
43;26;7;10;0;46;21;43;69;55;12;59;44;-2;43;26;5;49;23;-2;5;12;23;26;43;43;44;49;55;59;69
8;30;13;6;37;24;7;45;28;11;61;51;19;46;37;6;38;19;-6;-6;6;11;19;19;28;37;38;45;46;51;61
15;13;25;31;5;6;43;10;9;52;5;16;48;12;31;58;20;33;64;5;9;10;12;16;20;31;33;48;52;58;64
46;21;39;39;23;38;35;65;74;67;36;51;49;43;70;56;59;59;65;36;43;49;51;56;59;59;65;65;67;70;74
40;11;44;38;24;40;5;61;61;28;30;45;3;63;82;47;61;70;23;3;23;28;30;45;47;61;61;61;63;70;82
20;14;6;43;20;32;42;39;48;49;25;41;47;26;25;40;59;56;75;25;25;26;39;40;41;47;48;49;56;59;75
26;20;38;9;5;1;15;19;11;23;7;10;22;42;24;44;4;3;23;3;4;7;10;11;19;22;23;23;24;42;44
45;30;5;31;17;45;10;47;77;50;41;64;39;2;35;4;38;70;33;2;4;33;35;38;39;41;47;50;64;70;77
15;33;0;33;20;2;12;18;15;12;37;35;34;8;-17;5;40;31;39;-17;5;8;12;15;18;31;34;35;37;39;40
9;4;26;49;15;43;18;18;35;26;17;38;4;25;54;38;45;91;53;4;17;18;25;26;35;38;38;45;53;54;91
16;12;49;26;37;31;26;36;29;38;43;41;26;70;68;74;45;56;38;26;29;36;38;38;41;43;45;56;68;70;74
0;23;26;1;7;4;5;-1;-9;3;24;12;13;26;28;12;-11;-10;-5;-11;-10;-9;-5;-1;3;12;12;13;24;26;28
38;45;0;19;22;19;21;46;40;55;60;55;66;18;8;7;32;25;40;7;8;18;25;32;40;40;46;55;55;60;66
36;26;9;4;5;47;21;37;75;45;11;58;36;7;41;14;-6;34;18;-6;7;11;14;18;34;36;37;41;45;58;75
39;19;18;32;21;11;45;53;46;65;39;24;64;35;26;60;51;34;59;24;26;34;35;39;46;51;53;59;60;64;65
49;19;36;49;15;36;5;44;68;49;26;47;16;39;58;41;62;67;48;16;26;39;41;44;47;48;49;58;62;67;68
48;8;38;12;43;5;19;81;37;60;51;3;16;66;38;54;49;-1;11;-1;3;11;16;37;38;49;51;54;60;66;81
39;44;17;49;29;3;47;59;35;67;69;38;76;36;16;58;73;52;92;16;35;36;38;52;58;59;67;69;73;76;92
9;2;24;12;31;21;2;22;13;-8;28;7;-16;47;43;25;33;17;4;-16;-8;4;7;13;17;22;25;28;33;43;47
40;22;8;1;19;48;15;42;87;53;39;51;19;9;52;21;8;35;10;8;9;10;19;21;35;39;42;51;52;53;87
42;36;33;14;42;33;16;78;70;39;77;66;51;63;64;48;48;45;12;12;39;45;48;48;51;63;64;66;70;77;78
8;49;0;34;37;0;24;26;-8;23;77;32;54;20;-7;5;62;17;40;-8;-7;5;17;20;23;26;32;40;54;62;77
21;49;42;11;23;47;9;36;62;27;63;91;49;63;69;39;29;38;14;14;27;29;36;38;39;49;62;63;63;69;91
29;16;42;4;32;33;43;51;54;70;38;39;57;73;60;75;21;33;34;21;33;34;38;39;51;54;57;60;70;73;75
1;42;22;38;8;12;35;3;2;32;34;49;69;14;33;55;44;36;56;2;3;14;32;33;34;36;44;49;55;56;69
7;48;12;13;26;26;40;24;14;47;68;70;83;35;26;37;31;38;40;14;24;26;31;35;37;38;40;47;68;70;83
1;35;16;12;25;7;32;16;1;13;46;32;48;36;7;47;29;17;42;1;7;13;16;17;29;32;36;42;46;47;48
38;29;44;20;27;31;4;56;50;27;43;46;21;59;67;41;45;43;20;20;21;27;41;43;43;45;46;50;56;59;67
43;15;27;9;13;11;48;54;39;79;25;22;43;22;24;61;14;18;47;14;18;22;22;24;25;39;43;47;54;61;79
1;34;43;5;31;33;16;28;31;-1;55;47;41;69;57;41;33;21;12;-1;12;21;28;31;33;41;41;47;55;57;69
35;28;15;37;20;34;7;35;52;34;37;60;30;18;40;20;44;59;26;18;20;26;30;34;35;37;40;44;52;59;60
20;15;39;4;34;43;33;50;46;52;48;42;37;54;66;57;30;44;21;21;30;37;42;44;46;48;50;52;54;57;66
48;20;10;25;6;37;46;53;80;74;13;50;64;9;46;50;15;53;66;9;13;15;46;50;50;53;53;64;66;74;80
26;44;12;44;19;46;0;34;59;23;54;70;28;28;41;1;59;87;34;1;23;28;28;34;34;41;54;59;59;70;87
23;41;33;37;30;16;13;34;23;27;67;57;37;56;29;34;59;36;38;23;27;29;34;34;36;37;38;56;57;59;67
34;31;23;29;39;26;8;68;52;39;58;43;20;62;35;18;55;52;34;18;20;34;35;39;43;52;52;55;58;62;68
1;13;21;40;1;46;30;-18;33;20;6;47;36;4;58;33;32;74;64;-18;4;6;20;32;33;33;36;47;58;64;74
4;24;47;30;8;49;20;-8;46;6;20;71;26;40;93;62;33;67;37;-8;6;20;26;33;37;40;46;62;67;71;93
36;44;18;9;48;28;37;78;44;69;84;52;78;58;27;35;53;35;46;27;35;35;44;46;52;53;58;69;78;78;84
25;21;18;24;26;38;17;42;58;34;45;55;23;40;53;19;34;54;22;19;22;23;34;34;40;42;45;53;54;55;58
27;48;4;4;1;44;38;16;64;45;29;80;69;1;44;42;-2;41;24;-2;1;16;24;29;41;42;44;45;64;69;80
28;10;24;46;18;7;11;33;22;37;20;9;17;42;30;24;44;47;51;9;17;20;22;24;30;33;37;42;44;47;51
0;21;45;0;48;3;25;39;1;6;51;14;34;79;28;67;36;-10;24;-10;1;6;14;24;28;34;36;39;51;67;79
0;16;40;14;44;20;34;24;12;28;57;18;35;71;51;66;49;30;47;12;18;24;28;30;35;47;49;51;57;66;71
34;31;18;3;8;45;28;39;78;57;23;65;53;26;62;33;5;28;20;5;20;23;26;28;33;39;53;57;62;65;78
38;45;17;10;1;20;28;36;53;65;42;50;60;10;35;34;3;16;30;3;10;16;30;34;35;36;42;50;53;60;65
4;34;17;9;5;36;26;1;32;26;29;66;50;18;36;33;-2;26;31;-2;1;18;26;26;29;31;32;33;36;50;66
38;35;14;19;21;9;46;50;44;78;46;39;77;25;23;56;35;19;64;19;23;25;35;39;44;46;50;56;64;77;78
42;16;48;20;16;40;35;45;80;76;15;41;36;63;82;72;24;50;50;15;24;36;41;45;50;50;63;72;76;80;82
16;1;48;10;39;1;1;47;8;7;30;-12;-5;86;37;33;33;0;-6;-12;-6;-5;0;7;8;30;33;33;37;47;86
12;17;3;46;28;25;14;31;23;16;43;37;14;31;20;9;69;68;60;9;14;16;20;23;31;31;37;43;60;68;69
25;13;35;29;2;5;14;11;14;27;-1;5;13;22;26;40;24;17;29;-1;5;11;13;14;17;22;24;26;27;29;40
36;41;27;45;31;5;10;61;24;36;57;29;35;47;28;32;72;40;35;24;28;29;32;35;35;36;40;47;57;61;72
4;25;15;28;1;24;8;4;9;1;14;45;27;8;38;8;19;34;23;1;4;8;8;9;14;19;23;27;34;38;45
11;27;2;29;5;10;27;11;3;20;23;29;39;-3;-2;20;23;35;37;-3;-2;3;11;20;20;23;23;29;35;37;39
19;23;0;23;35;27;45;42;39;44;52;41;64;22;7;29;42;45;54;7;22;29;39;41;42;42;44;45;52;54;64
33;45;25;41;25;19;1;44;40;34;54;61;45;31;33;21;46;50;42;21;31;33;34;40;42;44;45;46;50;54;61
41;5;22;1;21;35;9;43;58;34;12;24;7;43;51;19;11;17;7;7;7;11;12;17;19;24;34;43;43;51;58
46;9;12;5;19;31;14;55;71;59;28;35;5;19;25;8;22;22;17;5;8;17;19;22;22;25;28;35;55;59;71
34;3;46;27;44;4;36;65;34;65;40;-13;27;90;44;75;62;11;51;-13;11;27;34;40;44;51;62;65;65;75;90
28;7;21;1;49;16;29;74;30;45;46;23;17;50;34;46;36;1;14;1;14;17;23;30;34;36;45;46;46;50;74
39;5;29;42;13;35;5;32;60;40;6;37;8;30;48;28;49;75;36;6;8;28;30;32;36;37;40;48;49;60;75
40;48;48;33;9;11;21;30;42;53;53;51;64;45;59;53;26;32;44;26;30;32;42;44;45;51;53;53;53;59;64
33;36;29;5;25;17;2;44;39;27;45;47;28;37;42;14;10;9;5;5;9;10;14;27;28;37;39;42;44;45;47
43;14;8;31;32;17;12;60;40;39;46;15;25;23;19;13;58;45;34;13;15;19;23;25;34;39;40;45;46;58;60
47;33;49;8;24;5;30;56;47;70;41;37;59;62;44;69;18;5;21;5;18;21;37;41;44;47;56;59;62;69;70
43;12;39;9;40;23;7;76;55;44;33;24;-1;64;48;46;41;14;-2;-2;-1;14;24;33;41;44;46;48;55;64;76
38;5;49;24;43;40;39;77;65;73;36;39;38;77;89;73;52;51;55;36;38;39;51;52;55;65;73;73;77;77;89
44;40;14;27;12;33;13;50;59;46;34;60;35;22;29;10;37;60;23;10;22;23;29;34;35;37;46;50;59;60;60
32;43;31;43;6;33;46;37;54;60;35;62;78;27;63;63;32;62;80;27;32;35;37;54;60;62;62;63;63;78;80
32;45;19;15;45;18;37;61;30;49;86;46;65;51;26;39;41;14;32;14;26;30;32;39;41;46;49;51;61;65;86
3;20;39;25;19;24;47;8;13;46;23;28;56;44;46;68;38;48;53;8;13;23;28;38;44;46;46;48;53;56;68
6;8;14;23;33;28;26;21;15;15;28;25;21;36;29;27;37;48;44;15;15;21;21;25;27;28;29;36;37;44;48
15;5;34;22;1;45;15;6;44;12;2;35;14;29;76;48;22;65;31;2;6;12;14;22;29;31;35;44;48;65;76
24;42;38;17;16;47;40;26;69;44;41;71;81;40;69;71;31;50;38;26;31;38;40;41;44;50;69;69;71;71;81
46;32;3;47;18;4;44;56;31;86;37;31;56;4;2;33;51;38;75;2;4;31;31;33;37;38;51;56;56;75;86
39;39;27;39;38;7;4;70;40;29;59;37;24;65;21;31;66;27;42;21;24;27;29;31;37;40;42;59;65;66;70
5;12;33;36;38;23;44;24;10;41;38;17;53;56;50;63;73;55;74;10;17;24;38;41;50;53;55;56;63;73;74
40;41;13;27;10;4;16;49;43;39;49;44;38;20;-2;28;23;24;31;-2;20;23;24;28;31;38;39;43;44;49;49
12;11;35;20;34;37;4;31;32;4;38;39;8;65;67;30;34;57;4;4;4;8;30;31;32;34;38;39;57;65;67
3;47;24;30;47;32;37;36;21;31;88;59;82;64;52;47;70;54;54;21;31;36;47;52;54;54;59;64;70;82;88
47;15;4;43;5;8;40;34;38;67;10;9;43;1;-1;32;45;46;75;-1;1;9;10;32;34;38;43;45;46;67;75
15;26;32;8;28;16;0;33;30;4;37;30;17;47;36;27;35;13;-10;-10;4;13;17;27;30;30;33;35;36;37;47
15;17;30;48;26;48;38;31;49;53;23;63;45;51;59;58;63;84;83;23;31;45;49;51;53;58;59;63;63;83;84
26;11;6;27;41;43;26;63;65;45;35;49;24;38;29;20;58;58;34;20;24;29;34;35;38;45;49;58;58;63;65
35;42;14;47;4;21;10;25;42;36;34;57;46;7;24;11;40;56;40;7;11;24;25;34;36;40;40;42;46;56;57
16;2;7;16;41;13;27;43;13;40;32;13;10;38;17;17;50;17;23;10;13;13;17;17;17;23;32;38;40;43;50
15;23;15;10;6;10;7;18;7;22;12;27;11;3;14;19;-1;7;15;-1;3;7;7;11;12;14;15;18;19;22;27
42;23;36;39;48;28;45;77;50;84;53;48;58;78;55;81;67;58;67;48;50;53;55;58;58;67;67;77;78;81;84
48;21;28;11;36;45;15;80;84;59;50;50;18;56;70;38;42;45;14;14;18;38;42;45;50;50;56;59;70;80;84
43;22;45;7;28;35;22;53;68;46;41;44;27;68;64;66;24;23;27;23;24;27;27;41;44;46;53;64;66;68;68
3;40;36;22;47;41;28;50;41;25;73;72;65;69;58;59;68;48;43;25;41;43;48;50;58;59;65;68;69;72;73
49;1;29;42;19;22;13;57;67;49;3;4;12;30;34;41;45;47;48;3;4;12;30;34;41;45;47;48;49;57;67
38;34;18;25;34;3;22;61;29;47;65;21;52;51;9;20;43;11;28;9;11;20;21;28;29;43;47;51;52;61;65
6;4;30;25;36;32;43;28;26;39;25;28;37;52;61;56;52;39;52;25;26;28;28;37;39;39;52;52;52;56;61
18;30;25;12;37;0;49;49;6;66;60;27;77;43;18;72;36;2;60;2;6;18;27;36;43;49;60;60;66;72;77
26;19;21;24;16;0;47;31;9;65;23;10;53;34;2;53;33;11;69;2;9;10;11;23;31;33;34;53;53;65;69
35;7;27;3;26;27;34;49;47;69;16;30;35;49;44;45;19;16;26;16;16;19;26;30;35;44;45;47;49;49;69
34;49;19;42;46;48;44;67;74;62;94;96;93;54;59;49;80;72;71;49;54;59;62;67;71;72;74;80;93;94;96
11;3;9;0;17;26;8;14;31;6;9;14;8;14;15;9;13;10;0;0;6;8;9;9;10;13;14;14;14;15;31
24;36;7;23;38;4;36;60;16;41;73;30;55;36;-8;26;46;21;51;-8;16;21;26;30;36;41;46;51;55;60;73
22;49;23;39;34;46;25;47;67;39;64;78;60;42;66;39;53;81;48;39;39;42;47;48;53;60;64;66;67;78;81
